Orthogroup	CQUI.longest_only	DMIR.longest_only
OG0000001	LOC119770743|XP_038122101.1|CQUI	LOC108161272|XP_033251779.1|DMIR
OG0000001	LOC119766017|XP_038106276.1|CQUI	LOC117188126|XP_033247368.1|DMIR, LOC117186570|XP_033243418.1|DMIR, LOC117189960|XP_033250935.1|DMIR, LOC117186559|XP_033243395.1|DMIR, LOC117189228|XP_033250247.1|DMIR, LOC117186732|XP_033243774.1|DMIR, LOC117186566|XP_033243405.1|DMIR, LOC117188268|XP_033247713.1|DMIR, LOC117193495|XP_033254138.1|DMIR, LOC117186602|XP_033243477.1|DMIR
OG0000001	LOC119769711|XP_038119095.1|CQUI	LOC117187188|XP_033245213.1|DMIR, LOC117187189|XP_033245214.1|DMIR, LOC117192881|XP_033253519.1|DMIR
OG0000001	LOC119766274|XP_038106647.1|CQUI, LOC119770072|XP_038120200.1|CQUI, LOC119769081|XP_038116908.1|CQUI, LOC119769227|XP_038117081.1|CQUI, LOC119769183|XP_038117016.1|CQUI, LOC119766452|XP_038106937.1|CQUI, LOC119766021|XP_038106282.1|CQUI, LOC119766137|XP_038106464.1|CQUI, LOC119769333|XP_038117277.1|CQUI, LOC119766281|XP_038106656.1|CQUI, LOC119765939|XP_038106148.1|CQUI, LOC119769072|XP_038116898.1|CQUI	LOC117192523|XP_033253108.1|DMIR, LOC117189926|XP_033250889.1|DMIR
OG0000001	LOC119770249|XP_038120685.1|CQUI	LOC117190783|XP_033251735.1|DMIR
OG0000002	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI	LOC108152350|XP_017137109.1|DMIR
OG0000002	LOC6031922|XP_001842608.2|CQUI, LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI, LOC6038017|XP_038110782.1|CQUI	LOC108161232|XP_017150945.1|DMIR
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC117187299|XP_033245560.1|DMIR, LOC117187301|XP_033245562.1|DMIR, LOC117187300|XP_033245561.1|DMIR
OG0000006	LOC6045329|XP_001862718.1|CQUI, LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI	LOC108156704|XP_017143842.2|DMIR
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI	LOC108153040|XP_017138288.1|DMIR, LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR, LOC108152481|XP_017137344.1|DMIR, LOC108152482|XP_017137345.1|DMIR, LOC108163948|XP_017154978.1|DMIR, LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR, LOC117187389|XP_033245847.1|DMIR, LOC117187383|XP_033245816.1|DMIR, LOC108157498|XP_033245840.1|DMIR, LOC108157499|XP_017145088.2|DMIR, LOC108164248|XP_017155372.1|DMIR, LOC108165521|XP_017157067.1|DMIR, LOC108164169|XP_017155268.2|DMIR, LOC108152483|XP_017137346.1|DMIR, LOC108152484|XP_017137347.1|DMIR
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC108154982|XP_017141010.1|DMIR
OG0000008	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI	LOC108151537|XP_017135681.1|DMIR
OG0000008	LOC6035807|XP_001845929.1|CQUI	LOC108151536|XP_017135679.1|DMIR
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC108161577|XP_017151355.1|DMIR
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC108151539|XP_017135683.2|DMIR
OG0000009	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC108157813|XP_017145500.1|DMIR, LOC108154360|XP_017140115.1|DMIR, LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR, LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR, LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR, LOC108154377|XP_017140130.1|DMIR, LOC108160943|XP_017150721.1|DMIR, LOC108158336|XP_017146065.1|DMIR
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC117187313|XP_033245577.1|DMIR, LOC108156407|XP_017143340.1|DMIR, LOC117187311|XP_033245575.1|DMIR, LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR, LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR
OG0000010	LOC6048215|XP_038112551.1|CQUI	LOC117187312|XP_033245576.1|DMIR
OG0000010	LOC6048602|XP_038111058.1|CQUI	LOC117187316|XP_033245580.1|DMIR
OG0000010	LOC119765466|XP_038105274.1|CQUI	LOC117187314|XP_033245578.1|DMIR
OG0000011	LOC6034029|XP_038120227.1|CQUI	LOC117185903|XP_033249904.1|DMIR
OG0000012	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC108159199|XP_017147755.1|DMIR, LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR, LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR, LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR, LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR, LOC108160910|XP_017150675.1|DMIR, LOC108158925|XP_017147218.1|DMIR, LOC108158929|XP_017147224.1|DMIR, LOC108158928|XP_017147221.1|DMIR, LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR, LOC108158927|XP_017147219.1|DMIR
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC108152903|XP_017138042.1|DMIR
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR
OG0000013	LOC6038413|XP_001848218.2|CQUI	LOC108151516|XP_033243870.1|DMIR
