Orthogroup	CQUI.longest_only	ASTE.longest_only
OG0000001	LOC119766275|XP_038106648.1|CQUI	LOC118517068|XP_035918818.1|ASTE
OG0000001	LOC119766040|XP_038106322.1|CQUI, LOC119766283|XP_038106661.1|CQUI, LOC119770479|XP_038121387.1|CQUI	LOC118515168|XP_035917767.1|ASTE
OG0000001	LOC119769226|XP_038117080.1|CQUI	LOC118516690|XP_035918528.1|ASTE
OG0000001	LOC119769071|XP_038116897.1|CQUI, LOC119766280|XP_038106655.1|CQUI	LOC118502349|XP_035890818.1|ASTE
OG0000001	LOC119769590|XP_038118548.1|CQUI, LOC119766486|XP_038106987.1|CQUI, LOC119766442|XP_038106923.1|CQUI, LOC119769517|XP_038118237.1|CQUI, LOC119769314|XP_038117230.1|CQUI, LOC119769852|XP_038119509.1|CQUI, LOC119769040|XP_038116852.1|CQUI, LOC119769470|XP_038117961.1|CQUI	LOC118504405|XP_035894731.1|ASTE, LOC118503875|XP_035893512.1|ASTE, LOC118507768|XP_035902679.1|ASTE, LOC118510037|XP_035907317.1|ASTE, LOC118507447|XP_035901824.1|ASTE, LOC118510506|XP_035908305.1|ASTE, LOC118516280|XP_035918010.1|ASTE, LOC118509201|XP_035905364.1|ASTE, LOC118508058|XP_035903402.1|ASTE, LOC118507156|XP_035901093.1|ASTE, LOC118515238|XP_035917815.1|ASTE, LOC118506429|XP_035899473.1|ASTE, LOC118515156|XP_035917754.1|ASTE, LOC118516913|XP_035918643.1|ASTE, LOC118504590|XP_035895140.1|ASTE, LOC118513004|XP_035914158.1|ASTE, LOC118504456|XP_035894844.1|ASTE, LOC118510509|XP_035908311.1|ASTE, LOC118510510|XP_035908312.1|ASTE, LOC118517310|XP_035919189.1|ASTE, LOC118510508|XP_035908310.1|ASTE, LOC118510511|XP_035908314.1|ASTE, LOC118516612|XP_035918479.1|ASTE, LOC118503311|XP_035892328.1|ASTE, LOC118517032|XP_035918786.1|ASTE, LOC118508012|XP_035903290.1|ASTE, LOC118516961|XP_035918682.1|ASTE, LOC118514435|XP_035917228.1|ASTE
OG0000001	LOC119769325|XP_038117259.1|CQUI, LOC119766508|XP_038107025.1|CQUI, LOC119769297|XP_038117200.1|CQUI, LOC119770379|XP_038121043.1|CQUI, LOC119766157|XP_038106485.1|CQUI, LOC119769097|XP_038116927.1|CQUI, LOC119766449|XP_038106933.1|CQUI, LOC119767864|XP_038113516.1|CQUI	LOC118516686|XP_035918524.1|ASTE
OG0000001	LOC119769172|XP_038117006.1|CQUI, LOC119770284|XP_038120806.1|CQUI, LOC119767772|XP_038113157.1|CQUI	LOC118502364|XP_035890475.1|ASTE, LOC118515186|XP_035917778.1|ASTE
OG0000001	LOC119766223|XP_038106590.1|CQUI, LOC119769035|XP_038116846.1|CQUI, LOC119768980|XP_038116774.1|CQUI, LOC119766470|XP_038106956.1|CQUI	LOC118511405|XP_035910349.1|ASTE, LOC118515143|XP_035917737.1|ASTE
OG0000001	LOC119766322|XP_038106731.1|CQUI, LOC119766311|XP_038106708.1|CQUI, LOC119766331|XP_038106740.1|CQUI, LOC119769278|XP_038117171.1|CQUI, LOC119769111|XP_038116940.1|CQUI, LOC119769290|XP_038117195.1|CQUI, LOC119769016|XP_038116822.1|CQUI	LOC118511401|XP_035910333.1|ASTE, LOC118508414|XP_035904078.1|ASTE, LOC118513244|XP_035914695.1|ASTE, LOC118507667|XP_035902343.1|ASTE, LOC118507990|XP_035903252.1|ASTE, LOC118513120|XP_035914412.1|ASTE
OG0000001	LOC119770249|XP_038120685.1|CQUI	LOC118510932|XP_035909246.1|ASTE
OG0000002	LOC119770491|XP_038121412.1|CQUI	LOC118508220|XP_035903701.1|ASTE
OG0000002	LOC6031922|XP_001842608.2|CQUI	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE
OG0000002	LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI	LOC118511460|XP_035910455.1|ASTE
OG0000002	LOC6038017|XP_038110782.1|CQUI	LOC118509867|XP_035906983.1|ASTE
OG0000003	LOC6050719|XP_001867281.2|CQUI	LOC118510054|XP_035907336.1|ASTE, LOC118517143|XP_035918894.1|ASTE
OG0000003	LOC6051441|XP_038112246.1|CQUI, LOC6050716|XP_038110657.1|CQUI, LOC6037852|XP_038108088.1|CQUI, LOC6050718|XP_001867280.2|CQUI	LOC118513635|XP_035915594.1|ASTE, LOC118517142|XP_035918893.1|ASTE
OG0000003	LOC6054221|XP_038110656.1|CQUI	LOC118513634|XP_035915592.1|ASTE
OG0000003	LOC119766556|XP_038107240.1|CQUI, LOC6034501|XP_001844806.2|CQUI, LOC6034518|XP_001844820.2|CQUI, LOC6034534|XP_001844834.2|CQUI, LOC6034520|XP_001844821.2|CQUI, LOC6034522|XP_038114383.1|CQUI, LOC6034521|XP_001844822.2|CQUI	LOC118503800|XP_035893388.1|ASTE
OG0000003	LOC6054224|XP_001870172.2|CQUI, LOC6050709|XP_001867273.2|CQUI	LOC118513637|XP_035915596.1|ASTE, LOC118517132|XP_035918884.1|ASTE, LOC118513636|XP_035915595.1|ASTE, LOC118517131|XP_035918883.1|ASTE
OG0000003	LOC6054222|XP_038106984.1|CQUI	LOC118513639|XP_035915598.1|ASTE, LOC118517134|XP_035918886.1|ASTE
OG0000003	LOC6050720|XP_001867282.2|CQUI	LOC118517145|XP_035918898.1|ASTE, LOC118513633|XP_035915591.1|ASTE, LOC118513638|XP_035915597.1|ASTE, LOC118517133|XP_035918885.1|ASTE
OG0000003	LOC6037497|XP_001847407.2|CQUI, LOC6037496|XP_038105707.1|CQUI, LOC6037495|XP_001847405.2|CQUI	LOC118504412|XP_035894738.1|ASTE
OG0000004	LOC6045322|XP_038104645.1|CQUI, LOC6045318|XP_038105272.1|CQUI, LOC6045334|XP_038105149.1|CQUI	LOC118508090|XP_035903462.1|ASTE, LOC118508092|XP_035903464.1|ASTE, LOC118508091|XP_035903463.1|ASTE
OG0000004	LOC6048217|XP_001865170.2|CQUI, LOC119767631|XP_038112541.1|CQUI	LOC118508233|XP_035903731.1|ASTE, LOC118508227|XP_035903726.1|ASTE, LOC118508232|XP_035903730.1|ASTE, LOC118508230|XP_035903728.1|ASTE, LOC118508231|XP_035903729.1|ASTE, LOC118508228|XP_035903727.1|ASTE
OG0000005	LOC119770425|XP_038121228.1|CQUI, LOC119770423|XP_038121218.1|CQUI	LOC118516497|XP_035918320.1|ASTE, LOC118516487|XP_035918309.1|ASTE, LOC118516495|XP_035918318.1|ASTE, LOC118516498|XP_035918321.1|ASTE, LOC118516500|XP_035918322.1|ASTE, LOC118516491|XP_035918313.1|ASTE, LOC118516493|XP_035918316.1|ASTE, LOC118516494|XP_035918317.1|ASTE, LOC118516492|XP_035918315.1|ASTE, LOC118516490|XP_035918312.1|ASTE, LOC118516496|XP_035918319.1|ASTE, LOC118517635|XP_035919840.1|ASTE
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC118517636|XP_035919841.1|ASTE
OG0000006	LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI	LOC118508036|XP_035903331.1|ASTE
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC6035812|XP_001845934.1|CQUI	LOC118506770|XP_035900259.1|ASTE
OG0000008	LOC6035813|XP_038119147.1|CQUI	LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC118509007|XP_035904915.1|ASTE
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC118506772|XP_035900260.1|ASTE
OG0000009	LOC6048808|XP_001865675.2|CQUI	LOC118514549|XP_035917433.1|ASTE
OG0000009	LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI	LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE
OG0000009	LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI	LOC118513525|XP_035915292.1|ASTE
OG0000009	LOC6053772|XP_001869801.2|CQUI	LOC118510358|XP_035907960.1|ASTE
OG0000009	LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC118503659|XP_035893081.1|ASTE
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC118503730|XP_035893236.1|ASTE
OG0000010	LOC6048215|XP_038112551.1|CQUI	LOC118509785|XP_035906820.1|ASTE
OG0000011	LOC6033828|XP_038121046.1|CQUI	LOC118513952|XP_035916240.1|ASTE
OG0000012	LOC6046845|XP_001863980.2|CQUI	LOC118508901|XP_035904653.1|ASTE
OG0000012	LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000014	LOC119769177|XP_038117010.1|CQUI, LOC119767876|XP_038113576.1|CQUI	LOC118503306|XP_035892319.1|ASTE, LOC118515162|XP_035917761.1|ASTE
OG0000014	LOC119765962|XP_038106183.1|CQUI, LOC6048315|XP_038106468.1|CQUI, LOC119769127|XP_038116954.1|CQUI	LOC118513701|XP_035915722.1|ASTE
OG0000014	LOC119766248|XP_038106615.1|CQUI, LOC119765908|XP_038106039.1|CQUI	LOC118506592|XP_035899843.1|ASTE, LOC118513377|XP_035914925.1|ASTE, LOC118509085|XP_035905110.1|ASTE, LOC118502817|XP_035891359.1|ASTE, LOC118510097|XP_035907419.1|ASTE, LOC118516573|XP_035918430.1|ASTE
OG0000014	LOC119769264|XP_038117142.1|CQUI, LOC119769824|XP_038119441.1|CQUI, LOC119769792|XP_038119346.1|CQUI, LOC119770300|XP_038120852.1|CQUI, LOC119766411|XP_038106872.1|CQUI, LOC119769083|XP_038116910.1|CQUI, LOC119768999|XP_038116798.1|CQUI, LOC119769462|XP_038117930.1|CQUI, LOC119770313|XP_038120894.1|CQUI, LOC119771022|XP_038122400.1|CQUI, LOC6049375|XP_038106666.1|CQUI	LOC118505923|XP_035898309.1|ASTE
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC6050225|XP_001866863.1|CQUI	LOC118509720|XP_035906702.1|ASTE
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC6037347|XP_001847270.2|CQUI	LOC118502963|XP_035891620.1|ASTE
OG0000016	LOC6044918|XP_001862348.1|CQUI	LOC118505225|XP_035896646.1|ASTE
OG0000016	LOC6045437|XP_001862808.1|CQUI	LOC118503559|XP_035892861.1|ASTE
OG0000016	LOC6045438|XP_001862809.2|CQUI	LOC118503558|XP_035892859.1|ASTE
OG0000016	LOC6045432|XP_038109584.1|CQUI	LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC118513024|XP_035914194.1|ASTE
OG0000018	LOC6049801|XP_001866507.1|CQUI	LOC118513028|XP_035914198.1|ASTE
OG0000018	LOC6049798|XP_001866504.2|CQUI	LOC118513023|XP_035914193.1|ASTE
OG0000018	LOC6049794|XP_001866500.1|CQUI, LOC6051402|XP_001867843.2|CQUI, LOC6051397|XP_001867844.1|CQUI, LOC6049799|XP_001866505.1|CQUI	LOC118513026|XP_035914196.1|ASTE
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE
OG0000019	LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI	LOC118505911|XP_035898263.1|ASTE
OG0000019	LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI	LOC118507102|XP_035900997.1|ASTE
OG0000019	LOC6035725|XP_001845796.2|CQUI	LOC118505907|XP_035898258.1|ASTE
OG0000019	LOC6050287|XP_038119254.1|CQUI	LOC118506335|XP_035899208.1|ASTE
OG0000019	LOC6044518|XP_038116745.1|CQUI	LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC6039902|XP_038113936.1|CQUI, LOC6039901|XP_038113915.1|CQUI	LOC118502378|XP_035890492.1|ASTE
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC118509588|XP_035906253.1|ASTE
OG0000020	LOC6032569|XP_038117444.1|CQUI	LOC118507693|XP_035902420.1|ASTE
OG0000020	LOC6044312|XP_038117451.1|CQUI	LOC118507694|XP_035902424.1|ASTE
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC118505404|XP_035897036.1|ASTE
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC6037178|XP_001847112.1|CQUI	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC6047250|XP_001864331.2|CQUI	LOC118511284|XP_035910083.1|ASTE
OG0000023	LOC6047249|XP_038118268.1|CQUI	LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC118514136|XP_035916629.1|ASTE
