Orthogroup	CQUI.longest_only	DKIK.longest_only
OG0000002	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK
OG0000002	LOC6031922|XP_001842608.2|CQUI, LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI, LOC6038017|XP_038110782.1|CQUI	LOC108082669|XP_017033655.1|DKIK
OG0000005	LOC6054619|XP_001870506.1|CQUI, LOC6042909|XP_001853966.2|CQUI, LOC6042917|XP_001854001.1|CQUI, LOC119767402|XP_038111852.1|CQUI, LOC6037816|XP_038107337.1|CQUI	LOC108071382|XP_017017614.1|DKIK, LOC108085758|XP_017037990.1|DKIK
OG0000006	LOC6045308|XP_001862656.1|CQUI, LOC6045299|XP_001862688.1|CQUI, LOC6045337|XP_001862726.1|CQUI, LOC6045306|XP_001862695.1|CQUI, LOC6045277|XP_001862666.1|CQUI	LOC108072846|XP_017019650.1|DKIK
OG0000006	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI	LOC108071918|XP_017018366.1|DKIK, LOC108071584|XP_017017854.1|DKIK, LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK, LOC108086265|XP_017038640.1|DKIK, LOC108078491|XP_017027862.1|DKIK, LOC108073664|XP_017020878.1|DKIK, LOC108073665|XP_017020880.1|DKIK, LOC108077603|XP_017026488.1|DKIK, LOC108086266|XP_017038642.1|DKIK, LOC108078726|XP_017028216.1|DKIK, LOC108078727|XP_017028217.1|DKIK, LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK, LOC108071626|XP_017017898.1|DKIK, LOC108071627|XP_017017899.1|DKIK
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC108081759|XP_017032449.1|DKIK
OG0000008	LOC6035807|XP_001845929.1|CQUI	LOC108072724|XP_017019474.1|DKIK
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC108075890|XP_017023993.1|DKIK
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC108072727|XP_017019476.1|DKIK
