Orthogroup	CQUI.longest_only	BTRY.longest_only
OG0000001	LOC119770310|XP_038120887.1|CQUI	LOC120779349|XP_039967479.1|BTRY, LOC120768684|XP_039951395.1|BTRY, LOC120769217|XP_039952045.1|BTRY, LOC120780712|XP_039968906.1|BTRY
OG0000001	LOC119766512|XP_038107029.1|CQUI, LOC119766149|XP_038106477.1|CQUI, LOC119769328|XP_038117267.1|CQUI, LOC119769161|XP_038116992.1|CQUI, LOC119766216|XP_038106583.1|CQUI, LOC119769525|XP_038118272.1|CQUI, LOC119769104|XP_038116932.1|CQUI, LOC119766097|XP_038106417.1|CQUI, LOC119769107|XP_038116936.1|CQUI, LOC119766391|XP_038106832.1|CQUI, LOC119766147|XP_038106475.1|CQUI, LOC119766225|XP_038106592.1|CQUI, LOC119770193|XP_038120567.1|CQUI, LOC119769976|XP_038119868.1|CQUI, LOC119766184|XP_038106543.1|CQUI, LOC119766189|XP_038106548.1|CQUI, LOC119766143|XP_038106470.1|CQUI, LOC119769526|XP_038118276.1|CQUI, LOC119769527|XP_038118287.1|CQUI, LOC119769364|XP_038117339.1|CQUI, LOC119769063|XP_038116884.1|CQUI, LOC119770945|XP_038122397.1|CQUI, LOC119769219|XP_038117071.1|CQUI, LOC119766213|XP_038106576.1|CQUI, LOC119769340|XP_038117295.1|CQUI, LOC119768904|XP_038116618.1|CQUI, LOC119769307|XP_038117218.1|CQUI, LOC119766495|XP_038107006.1|CQUI, LOC119767919|XP_038113822.1|CQUI, LOC119769139|XP_038116969.1|CQUI, LOC6051048|XP_038117973.1|CQUI, LOC119765926|XP_038106124.1|CQUI, LOC119769896|XP_038119619.1|CQUI	LOC120781540|XP_039969706.1|BTRY, LOC120780083|XP_039968286.1|BTRY
OG0000001	LOC119765978|XP_038106214.1|CQUI	LOC120779693|XP_039967987.1|BTRY
OG0000001	LOC119766274|XP_038106647.1|CQUI, LOC119770072|XP_038120200.1|CQUI, LOC119769081|XP_038116908.1|CQUI, LOC119769227|XP_038117081.1|CQUI, LOC119769183|XP_038117016.1|CQUI, LOC119766452|XP_038106937.1|CQUI, LOC119766021|XP_038106282.1|CQUI, LOC119766137|XP_038106464.1|CQUI, LOC119769333|XP_038117277.1|CQUI, LOC119766281|XP_038106656.1|CQUI, LOC119765939|XP_038106148.1|CQUI, LOC119769072|XP_038116898.1|CQUI	LOC120781507|XP_039969664.1|BTRY, LOC120781523|XP_039969677.1|BTRY, LOC120768683|XP_039951393.1|BTRY, LOC120768702|XP_039951408.1|BTRY, LOC120768701|XP_039951407.1|BTRY, LOC120780857|XP_039969026.1|BTRY, LOC120781828|XP_039969983.1|BTRY, LOC120781123|XP_039969191.1|BTRY, LOC120779390|XP_039967521.1|BTRY, LOC120768688|XP_039951398.1|BTRY, LOC120768687|XP_039951397.1|BTRY, LOC120767769|XP_039949942.1|BTRY
OG0000001	LOC119770249|XP_038120685.1|CQUI	LOC120782119|XP_039970195.1|BTRY
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC120767503|XP_039949530.1|BTRY, LOC120767504|XP_039949531.1|BTRY, LOC120767509|XP_039949536.1|BTRY, LOC120767507|XP_039949534.1|BTRY
OG0000006	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI	LOC120781340|XP_039969478.1|BTRY
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI	LOC120778908|XP_039966889.1|BTRY, LOC120778909|XP_039966890.1|BTRY, LOC120778027|XP_039965634.1|BTRY, LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY, LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY, LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC120782797|XP_039971208.1|BTRY
OG0000008	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI	LOC120778932|XP_039966913.1|BTRY
