Orthogroup	CQUI.longest_only	DANA.longest_only
OG0000005	LOC6054619|XP_001870506.1|CQUI, LOC6042909|XP_001853966.2|CQUI, LOC6042917|XP_001854001.1|CQUI, LOC119767402|XP_038111852.1|CQUI, LOC6037816|XP_038107337.1|CQUI	LOC6501749|XP_001967750.2|DANA
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC6498689|XP_001967680.1|DANA, LOC6498692|XP_001967675.1|DANA, LOC116655429|XP_032309218.1|DANA, LOC116656005|XP_032310965.1|DANA, LOC6504886|XP_001964818.1|DANA, LOC6504919|XP_001964813.1|DANA, LOC26515522|XP_032311285.1|DANA
OG0000006	LOC6045277|XP_001862666.1|CQUI	LOC116655706|XP_032309462.1|DANA
OG0000006	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI	LOC6506066|XP_032309425.1|DANA
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI	LOC6506540|XP_001957688.2|DANA, LOC6493534|XP_001957954.1|DANA, LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA, LOC6493535|XP_001957955.2|DANA, LOC6504215|XP_001965139.1|DANA, LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA, LOC6505974|XP_001964709.1|DANA, LOC6505555|XP_001964708.1|DANA, LOC6505976|XP_032305603.1|DANA, LOC6505975|XP_001964710.1|DANA, LOC116654519|XP_032305561.1|DANA, LOC6504214|XP_001965140.1|DANA, LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA, LOC6493536|XP_001957956.2|DANA, LOC6506391|XP_001957958.1|DANA
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI	LOC6506513|XP_001957739.1|DANA
OG0000008	LOC6035807|XP_001845929.1|CQUI	LOC6493433|XP_001957742.1|DANA
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC6504295|XP_001965067.1|DANA
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC6506512|XP_001957740.2|DANA
