Orthogroup	CQUI.longest_only	AALB.longest_only
OG0000001	LOC119770898|XP_038122395.1|CQUI, LOC119769341|XP_038117296.1|CQUI, LOC119769711|XP_038119095.1|CQUI, LOC119765936|XP_038106134.1|CQUI, LOC119766511|XP_038107028.1|CQUI, LOC119768974|XP_038116762.1|CQUI, LOC119770754|XP_038122126.1|CQUI, LOC119768917|XP_038116638.1|CQUI, LOC119766026|XP_038106289.1|CQUI, LOC119771145|XP_038122496.1|CQUI, LOC119770320|XP_038120912.1|CQUI, LOC119769345|XP_038117303.1|CQUI, LOC119766211|XP_038106574.1|CQUI, LOC119766295|XP_038106683.1|CQUI, LOC119769000|XP_038116799.1|CQUI, LOC119769267|XP_038117148.1|CQUI, LOC119768903|XP_038116616.1|CQUI, LOC119766456|XP_038106940.1|CQUI, LOC119770306|XP_038120868.1|CQUI, LOC119768973|XP_038116761.1|CQUI, LOC119766434|XP_038106910.1|CQUI, LOC119765978|XP_038106214.1|CQUI	LOC118468339|XP_035794991.1|AALB
OG0000001	LOC119770249|XP_038120685.1|CQUI	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB
OG0000002	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI	LOC118458183|XP_035776304.1|AALB
OG0000002	LOC119770491|XP_038121412.1|CQUI	LOC118465266|XP_035789187.1|AALB
OG0000002	LOC6031922|XP_001842608.2|CQUI	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB
OG0000002	LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI	LOC118464651|XP_035788010.1|AALB
OG0000002	LOC6038017|XP_038110782.1|CQUI	LOC118462019|XP_035783868.1|AALB
OG0000003	LOC6050719|XP_001867281.2|CQUI	LOC118460891|XP_035781527.1|AALB, LOC118460889|XP_035781525.1|AALB
OG0000003	LOC6051441|XP_038112246.1|CQUI, LOC6050716|XP_038110657.1|CQUI, LOC6037852|XP_038108088.1|CQUI, LOC6050718|XP_001867280.2|CQUI	LOC118460897|XP_035781532.1|AALB
OG0000003	LOC6054221|XP_038110656.1|CQUI	LOC118460890|XP_035781526.1|AALB
OG0000003	LOC6050707|XP_001867275.2|CQUI	LOC118460888|XP_035781524.1|AALB
OG0000003	LOC119766556|XP_038107240.1|CQUI, LOC6034501|XP_001844806.2|CQUI, LOC6034518|XP_001844820.2|CQUI, LOC6034534|XP_001844834.2|CQUI, LOC6034520|XP_001844821.2|CQUI, LOC6034522|XP_038114383.1|CQUI, LOC6034521|XP_001844822.2|CQUI	LOC118464960|XP_035788648.1|AALB
OG0000003	LOC6054224|XP_001870172.2|CQUI, LOC6050709|XP_001867273.2|CQUI	LOC118460892|XP_035781528.1|AALB, LOC118460896|XP_035781530.1|AALB
OG0000003	LOC6054222|XP_038106984.1|CQUI	LOC118460894|XP_035781529.1|AALB
OG0000003	LOC6050720|XP_001867282.2|CQUI	LOC118468410|XP_035795067.1|AALB
OG0000003	LOC6037497|XP_001847407.2|CQUI, LOC6037496|XP_038105707.1|CQUI, LOC6037495|XP_001847405.2|CQUI	LOC118457004|XP_035774122.1|AALB, LOC118457009|XP_035774130.1|AALB
OG0000004	LOC6045322|XP_038104645.1|CQUI, LOC6045318|XP_038105272.1|CQUI, LOC6045334|XP_038105149.1|CQUI	LOC118463610|XP_035786183.1|AALB, LOC118465226|XP_035789114.1|AALB, LOC118463579|XP_035786113.1|AALB, LOC118463558|XP_035786086.1|AALB, LOC118463591|XP_035786144.1|AALB, LOC118463589|XP_035786142.1|AALB, LOC118463472|XP_035785954.1|AALB, LOC118463583|XP_035786116.1|AALB, LOC118463474|XP_035785956.1|AALB, LOC118465227|XP_035789115.1|AALB, LOC118462788|XP_035784672.1|AALB, LOC118463093|XP_035785266.1|AALB, LOC118465695|XP_035790016.1|AALB, LOC118467952|XP_035794816.1|AALB, LOC118465367|XP_035789455.1|AALB, LOC118465368|XP_035789456.1|AALB
OG0000004	LOC6048217|XP_001865170.2|CQUI, LOC119767631|XP_038112541.1|CQUI	LOC118463339|XP_035785747.1|AALB, LOC118463355|XP_035785764.1|AALB, LOC118467023|XP_035792868.1|AALB, LOC118463407|XP_035785852.1|AALB, LOC118467022|XP_035792867.1|AALB
OG0000005	LOC119767184|XP_038111057.1|CQUI, LOC6048601|XP_001865496.2|CQUI, LOC6045278|XP_001862667.1|CQUI, LOC6045266|XP_001862657.1|CQUI, LOC6045300|XP_001862689.1|CQUI, LOC119770425|XP_038121228.1|CQUI, LOC119770423|XP_038121218.1|CQUI	LOC118463672|XP_035786322.1|AALB, LOC118465116|XP_035788956.1|AALB, LOC118467850|XP_035794648.1|AALB, LOC118467567|XP_035794087.1|AALB
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC118464040|XP_035786990.1|AALB, LOC118465125|XP_035788959.1|AALB
OG0000006	LOC6054467|XP_038113044.1|CQUI	LOC118465084|XP_035788881.1|AALB
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC6035812|XP_001845934.1|CQUI	LOC118460625|XP_035780966.1|AALB
OG0000008	LOC6035813|XP_038119147.1|CQUI	LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC6035807|XP_001845929.1|CQUI	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC6048808|XP_001865675.2|CQUI	LOC118457984|XP_035775939.1|AALB
OG0000009	LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI	LOC118459109|XP_035778066.1|AALB
OG0000009	LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI	LOC118464365|XP_035787590.1|AALB
OG0000009	LOC6053772|XP_001869801.2|CQUI	LOC118463211|XP_035785546.1|AALB
OG0000009	LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC118460748|XP_035781232.1|AALB
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC118464058|XP_035786998.1|AALB, LOC118465369|XP_035789457.1|AALB, LOC118465138|XP_035788969.1|AALB, LOC118465131|XP_035788963.1|AALB, LOC118464057|XP_035786996.1|AALB, LOC118464063|XP_035787003.1|AALB, LOC118465132|XP_035788964.1|AALB, LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB, LOC118467569|XP_035794089.1|AALB, LOC118464062|XP_035787002.1|AALB, LOC118467568|XP_035794088.1|AALB, LOC118465135|XP_035788966.1|AALB
OG0000010	LOC6048215|XP_038112551.1|CQUI	LOC118464060|XP_035787000.1|AALB, LOC118464059|XP_035786999.1|AALB
OG0000010	LOC6048602|XP_038111058.1|CQUI	LOC118465137|XP_035788967.1|AALB
OG0000011	LOC6033828|XP_038121046.1|CQUI	LOC118468649|XP_035795569.1|AALB
OG0000011	LOC6034029|XP_038120227.1|CQUI	LOC118459877|XP_035779560.1|AALB
OG0000012	LOC6046845|XP_001863980.2|CQUI	LOC118463566|XP_035786097.1|AALB
OG0000012	LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC118462971|XP_035785031.1|AALB
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC6038413|XP_001848218.2|CQUI	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC119765684|XP_038105995.1|CQUI, LOC119770823|XP_038122313.1|CQUI, LOC119769295|XP_038117199.1|CQUI, LOC119769369|XP_038117346.1|CQUI	LOC118456469|XP_035773157.1|AALB
OG0000014	LOC119769177|XP_038117010.1|CQUI, LOC119767876|XP_038113576.1|CQUI	LOC118456863|XP_035773863.1|AALB, LOC118463648|XP_035786284.1|AALB
OG0000014	LOC119765962|XP_038106183.1|CQUI, LOC6048315|XP_038106468.1|CQUI, LOC119769127|XP_038116954.1|CQUI	LOC118468421|XP_035795077.1|AALB
OG0000014	LOC119766061|XP_038106359.1|CQUI, LOC119769500|XP_038118102.1|CQUI, LOC119765189|XP_038104493.1|CQUI	LOC118456248|XP_035772743.1|AALB, LOC118458874|XP_035777754.1|AALB
OG0000014	LOC119766039|XP_038106321.1|CQUI, LOC119770148|XP_038120448.1|CQUI, LOC119766501|XP_038107015.1|CQUI, LOC119769289|XP_038117193.1|CQUI, LOC119767885|XP_038113636.1|CQUI, LOC119765953|XP_038106164.1|CQUI, LOC119769138|XP_038116967.1|CQUI, LOC119769320|XP_038117250.1|CQUI, LOC119768940|XP_038116696.1|CQUI, LOC119766254|XP_038106621.1|CQUI, LOC119770091|XP_038120243.1|CQUI, LOC119769170|XP_038117003.1|CQUI, LOC119769262|XP_038117135.1|CQUI	LOC118458427|XP_035776775.1|AALB, LOC118468815|XP_035795925.1|AALB
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC6050225|XP_001866863.1|CQUI	LOC118463956|XP_035786832.1|AALB
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC6037347|XP_001847270.2|CQUI	LOC118468981|XP_035796265.1|AALB
OG0000016	LOC6044918|XP_001862348.1|CQUI	LOC118458000|XP_035775969.1|AALB
OG0000016	LOC6045437|XP_001862808.1|CQUI	LOC118464033|XP_035786987.1|AALB
OG0000016	LOC6045438|XP_001862809.2|CQUI	LOC118464140|XP_035787136.1|AALB
OG0000016	LOC6045432|XP_038109584.1|CQUI	LOC118463980|XP_035786885.1|AALB
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC118463128|XP_035785378.1|AALB
OG0000018	LOC6049801|XP_001866507.1|CQUI	LOC118463106|XP_035785316.1|AALB
OG0000018	LOC6049798|XP_001866504.2|CQUI	LOC118465487|XP_035789683.1|AALB
OG0000018	LOC6049794|XP_001866500.1|CQUI, LOC6051402|XP_001867843.2|CQUI, LOC6051397|XP_001867844.1|CQUI, LOC6049799|XP_001866505.1|CQUI	LOC118465489|XP_035789685.1|AALB
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB
OG0000019	LOC6035725|XP_001845796.2|CQUI	LOC118467701|XP_035794377.1|AALB
OG0000019	LOC6050287|XP_038119254.1|CQUI	LOC118457590|XP_035775173.1|AALB
OG0000019	LOC6044518|XP_038116745.1|CQUI	LOC118460669|XP_035781036.1|AALB
OG0000020	LOC6039902|XP_038113936.1|CQUI, LOC6039901|XP_038113915.1|CQUI	LOC118461366|XP_035782501.1|AALB
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC118467629|XP_035794243.1|AALB
OG0000020	LOC6032569|XP_038117444.1|CQUI	LOC118457118|XP_035774313.1|AALB
OG0000020	LOC6044312|XP_038117451.1|CQUI	LOC118468857|XP_035796008.1|AALB
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC118467519|XP_035793970.1|AALB
OG0000022	LOC6037178|XP_001847112.1|CQUI	LOC118466446|XP_035791660.1|AALB
OG0000023	LOC6047250|XP_001864331.2|CQUI	LOC118465606|XP_035789874.1|AALB
OG0000023	LOC6047249|XP_038118268.1|CQUI	LOC118465607|XP_035789875.1|AALB
OG0000024	LOC6034201|XP_001844555.2|CQUI	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI	LOC118461108|XP_035781919.1|AALB
OG0000025	LOC6037566|XP_001847464.2|CQUI	LOC118467560|XP_035794083.1|AALB
OG0000026	LOC6037278|XP_001847205.2|CQUI	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB
OG0000026	LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI	LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB
OG0000027	LOC6034861|XP_001845131.1|CQUI, LOC6034862|XP_001845132.2|CQUI	LOC118458886|XP_035777730.1|AALB
OG0000027	LOC6034859|XP_001845129.1|CQUI, LOC6034858|XP_001845128.1|CQUI, LOC6034857|XP_001845127.1|CQUI	LOC118457179|XP_035774403.1|AALB
OG0000027	LOC6034855|XP_001845125.1|CQUI, LOC6034856|XP_038111639.1|CQUI	LOC118458881|XP_035777725.1|AALB, LOC118458885|XP_035777729.1|AALB, LOC118458884|XP_035777728.1|AALB, LOC118458347|XP_035776592.1|AALB, LOC118458344|XP_035776590.1|AALB, LOC118459103|XP_035778060.1|AALB, LOC118458345|XP_035776591.1|AALB, LOC118468376|XP_035795028.1|AALB, LOC118458349|XP_035776594.1|AALB
OG0000027	LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI	LOC118469008|XP_035796336.1|AALB
OG0000027	LOC6034842|XP_001845113.1|CQUI	LOC118456249|XP_035772738.1|AALB
OG0000029	LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI	LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB
OG0000029	LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI	LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
