Orthogroup	DKIK.longest_only	BTRY.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	LOC120778381|XP_039966101.1|BTRY, LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY, LOC120777544|XP_039964867.1|BTRY, LOC120774573|XP_039960240.1|BTRY
OG0000000	LOC108077905|XP_017026932.1|DKIK, LOC108084016|XP_017035518.1|DKIK, LOC108085530|XP_017037652.1|DKIK, LOC108077933|XP_017026960.1|DKIK	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY
OG0000000	LOC108078602|XP_017028011.1|DKIK, LOC108078603|XP_017028013.1|DKIK, LOC108072234|XP_017018785.1|DKIK, LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK, LOC108085307|XP_017037354.1|DKIK, LOC108080866|XP_017031258.1|DKIK, LOC108085308|XP_017037355.1|DKIK, LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK, LOC108085312|XP_017037357.1|DKIK, LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK, LOC108080870|XP_017031262.1|DKIK, LOC108080867|XP_017031259.1|DKIK, LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK, LOC108073657|XP_017020873.1|DKIK, LOC108073658|XP_017020874.1|DKIK, LOC108073660|XP_017020875.1|DKIK, LOC108073704|XP_017020929.1|DKIK, LOC108073703|XP_017020927.1|DKIK, LOC108080896|XP_017031287.1|DKIK, LOC108080463|XP_017030690.1|DKIK, LOC108070739|XP_017016824.1|DKIK, LOC108082281|XP_017033101.1|DKIK, LOC108075384|XP_017023284.1|DKIK, LOC108076851|XP_017025370.1|DKIK, LOC108086044|XP_017038352.1|DKIK	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY
OG0000000	LOC108070814|XP_017016902.1|DKIK, LOC108070634|XP_017016690.1|DKIK, LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK, LOC108078600|XP_017028009.1|DKIK, LOC108078601|XP_017028010.1|DKIK, LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK, LOC108076854|XP_017025373.1|DKIK, LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK, LOC108074035|XP_017021392.1|DKIK, LOC108074412|XP_017021929.1|DKIK	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY
OG0000002	LOC108077339|XP_017026117.1|DKIK, LOC108086114|XP_017038438.1|DKIK, LOC108086113|XP_017038437.1|DKIK, LOC108086115|XP_017038439.1|DKIK, LOC108086110|XP_017038435.1|DKIK, LOC108086111|XP_017038436.1|DKIK, LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC120773128|XP_039958058.1|BTRY
OG0000003	LOC108072446|XP_017019063.1|DKIK, LOC108072408|XP_017018999.1|DKIK, LOC108070524|XP_017016527.1|DKIK	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY
OG0000003	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK	LOC120770806|XP_039954318.1|BTRY, LOC120770808|XP_039954321.1|BTRY
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC120770285|XP_039953555.1|BTRY
OG0000003	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY
OG0000004	LOC108085733|XP_017037954.1|DKIK, LOC108083332|XP_017034568.1|DKIK, LOC108085470|XP_017037578.1|DKIK, LOC108075568|XP_017023576.1|DKIK, LOC108073963|XP_017021295.1|DKIK, LOC108074133|XP_017021525.1|DKIK	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY
OG0000005	LOC108085749|XP_017037978.1|DKIK	LOC120767523|XP_039949552.1|BTRY
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC120767506|XP_039949533.1|BTRY, LOC120767505|XP_039949532.1|BTRY, LOC120767508|XP_039949535.1|BTRY, LOC120767566|XP_039949637.1|BTRY, LOC120767503|XP_039949530.1|BTRY, LOC120767504|XP_039949531.1|BTRY, LOC120767509|XP_039949536.1|BTRY, LOC120767507|XP_039949534.1|BTRY, LOC120767475|XP_039949498.1|BTRY, LOC120767511|XP_039949538.1|BTRY
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	LOC120781340|XP_039969478.1|BTRY
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC120778027|XP_039965634.1|BTRY
OG0000007	LOC108071584|XP_017017854.1|DKIK, LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY
