Orthogroup	DKIK.longest_only	DPSE.longest_only
OG0000000	LOC108077905|XP_017026932.1|DKIK	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE
OG0000000	LOC108084016|XP_017035518.1|DKIK	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE
OG0000000	LOC108085530|XP_017037652.1|DKIK	LOC6896908|XP_033233090.1|DPSE
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC6898695|XP_002138700.2|DPSE
OG0000000	LOC108078602|XP_017028011.1|DKIK	LOC117184977|XP_033240205.1|DPSE
OG0000000	LOC108078603|XP_017028013.1|DKIK	LOC6900000|XP_002135366.3|DPSE
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK, LOC108085307|XP_017037354.1|DKIK, LOC108080866|XP_017031258.1|DKIK	LOC6896672|XP_033232290.1|DPSE
OG0000000	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK	LOC26532949|XP_015039423.1|DPSE
OG0000000	LOC108085312|XP_017037357.1|DKIK	LOC6896676|XP_033241757.1|DPSE
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE
OG0000000	LOC108080896|XP_017031287.1|DKIK, LOC108080463|XP_017030690.1|DKIK, LOC108070739|XP_017016824.1|DKIK	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE
