Orthogroup	DKIK.longest_only	DBIA.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC108077905|XP_017026932.1|DKIK	LOC108029324|XP_016957007.1|DBIA
OG0000000	LOC108084016|XP_017035518.1|DKIK	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC108078602|XP_017028011.1|DKIK	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC108078603|XP_017028013.1|DKIK	LOC108034424|XP_016964798.1|DBIA
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK	LOC108024997|XP_016950742.1|DBIA
OG0000000	LOC108085312|XP_017037357.1|DKIK	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC108073657|XP_017020873.1|DKIK, LOC108073658|XP_017020874.1|DKIK, LOC108073660|XP_017020875.1|DKIK, LOC108073704|XP_017020929.1|DKIK	LOC108025172|XP_016950938.1|DBIA
OG0000000	LOC108073703|XP_017020927.1|DKIK	LOC108025165|XP_016950931.1|DBIA
OG0000000	LOC108080896|XP_017031287.1|DKIK	LOC108032345|XP_016961644.1|DBIA
OG0000000	LOC108082281|XP_017033101.1|DKIK	LOC108028940|XP_016956448.1|DBIA
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC108086044|XP_017038352.1|DKIK	LOC108033239|XP_016962994.1|DBIA
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK	LOC108032904|XP_016962446.1|DBIA
OG0000000	LOC108078601|XP_017028010.1|DKIK	LOC108034432|XP_016964806.1|DBIA, LOC108034431|XP_016964805.1|DBIA
OG0000002	LOC108082125|XP_017032915.1|DKIK	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC108074354|XP_017021869.1|DKIK	LOC108032347|XP_016961646.1|DBIA, LOC108028911|XP_016956419.1|DBIA
OG0000002	LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA
OG0000002	LOC108077339|XP_017026117.1|DKIK	LOC108027710|XP_016954748.1|DBIA
OG0000002	LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK	LOC108029019|XP_016956553.1|DBIA
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC108030370|XP_016958727.1|DBIA
OG0000003	LOC108072446|XP_017019063.1|DKIK	LOC108030024|XP_016958053.1|DBIA
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC108072417|XP_017019010.1|DKIK	LOC108030172|XP_016958401.1|DBIA
OG0000003	LOC108072407|XP_017018998.1|DKIK	LOC108029931|XP_016957914.1|DBIA, LOC108030395|XP_016958768.1|DBIA, LOC108034850|XP_016965477.1|DBIA
OG0000003	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK	LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC108030173|XP_016958402.1|DBIA
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC108029368|XP_016957084.1|DBIA
OG0000003	LOC108070791|XP_017016879.1|DKIK	LOC108029347|XP_016957028.1|DBIA
OG0000003	LOC108070792|XP_017016880.1|DKIK	LOC108029367|XP_016957083.1|DBIA
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC108034204|XP_016964524.1|DBIA
OG0000005	LOC108085749|XP_017037978.1|DKIK	LOC108021908|XP_016946219.1|DBIA
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC108021907|XP_016946218.1|DBIA
OG0000007	LOC108071584|XP_017017854.1|DKIK	LOC108028706|XP_016956144.1|DBIA
OG0000007	LOC108086265|XP_017038640.1|DKIK	LOC108027672|XP_016954706.1|DBIA
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC108029358|XP_016957069.1|DBIA
OG0000007	LOC108073664|XP_017020878.1|DKIK, LOC108073665|XP_017020880.1|DKIK, LOC108077603|XP_017026488.1|DKIK	LOC108025042|XP_016950787.1|DBIA, LOC108025513|XP_016951523.1|DBIA
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA
OG0000007	LOC108078726|XP_017028216.1|DKIK	LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA
OG0000007	LOC108078727|XP_017028217.1|DKIK	LOC108034518|XP_016964930.1|DBIA
OG0000007	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC108027854|XP_016954941.1|DBIA
OG0000007	LOC108071626|XP_017017898.1|DKIK	LOC108028309|XP_016955521.1|DBIA
OG0000007	LOC108071627|XP_017017899.1|DKIK	LOC108028310|XP_016955522.1|DBIA
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC108072727|XP_017019476.1|DKIK	LOC108034860|XP_016965500.1|DBIA
OG0000008	LOC108070862|XP_017016987.1|DKIK	LOC108029542|XP_016957386.1|DBIA
OG0000008	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK	LOC108027365|XP_016954278.1|DBIA
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC108027095|XP_016953802.1|DBIA
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC108027071|XP_016953774.1|DBIA
OG0000009	LOC108076150|XP_017024404.1|DKIK	LOC108031158|XP_016959863.1|DBIA
OG0000009	LOC108076246|XP_017024517.1|DKIK	LOC108032245|XP_016961597.1|DBIA
OG0000009	LOC108085665|XP_017037844.1|DKIK	LOC108031027|XP_016959717.1|DBIA
OG0000009	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK	LOC108031475|XP_016960425.1|DBIA
OG0000009	LOC108075985|XP_017024164.1|DKIK	LOC108032170|XP_016961513.1|DBIA
OG0000009	LOC108070751|XP_017016837.1|DKIK	LOC108022184|XP_016946525.1|DBIA
OG0000009	LOC108080446|XP_017030671.1|DKIK	LOC108032134|XP_016961458.1|DBIA
OG0000009	LOC108082335|XP_017033154.1|DKIK	LOC108023117|XP_016947872.1|DBIA
OG0000009	LOC108082367|XP_017033197.1|DKIK	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA
OG0000009	LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK	LOC108022200|XP_016946542.1|DBIA
OG0000010	LOC108073959|XP_017021281.1|DKIK	LOC108035868|XP_016967106.1|DBIA
OG0000011	LOC108077100|XP_017025772.1|DKIK	LOC108027659|XP_016954664.1|DBIA, LOC108027849|XP_016954932.1|DBIA, LOC108027686|XP_016954724.1|DBIA, LOC108027698|XP_016954736.1|DBIA
OG0000011	LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK	LOC108027691|XP_016954727.1|DBIA, LOC108027694|XP_016954732.1|DBIA
OG0000011	LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK	LOC108030731|XP_016959262.1|DBIA, LOC108030820|XP_016959420.1|DBIA, LOC108030017|XP_016958025.1|DBIA, LOC108025089|XP_016950839.1|DBIA, LOC108027384|XP_016954306.1|DBIA, LOC108035135|XP_016966066.1|DBIA, LOC108027385|XP_016954308.1|DBIA, LOC108028835|XP_016956315.1|DBIA, LOC108027989|XP_016955104.1|DBIA, LOC108030612|XP_016959094.1|DBIA, LOC108033420|XP_016963229.1|DBIA
OG0000011	LOC108074515|XP_017022082.1|DKIK	LOC108033517|XP_016963352.1|DBIA, LOC108033630|XP_016963538.1|DBIA, LOC108035164|XP_016966113.1|DBIA, LOC108024287|XP_016949675.1|DBIA
OG0000011	LOC108075323|XP_017023218.1|DKIK	LOC108023177|XP_016947908.1|DBIA, LOC108035647|XP_016966842.1|DBIA
OG0000011	LOC108073175|XP_017020170.1|DKIK	LOC108024710|XP_016950292.1|DBIA
OG0000012	LOC108076784|XP_017025279.1|DKIK	LOC108026825|XP_016953482.1|DBIA
OG0000012	LOC108076783|XP_017025278.1|DKIK	LOC108026824|XP_016953480.1|DBIA
OG0000012	LOC108076799|XP_017025312.1|DKIK	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA
OG0000012	LOC108076590|XP_017024991.1|DKIK	LOC108026906|XP_016953604.1|DBIA
OG0000012	LOC108076575|XP_017024974.1|DKIK	LOC108026886|XP_016953577.1|DBIA
OG0000012	LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK	LOC108026520|XP_016952955.1|DBIA
OG0000012	LOC108076609|XP_017025012.1|DKIK	LOC108026941|XP_016953643.1|DBIA
OG0000012	LOC108082430|XP_017033289.1|DKIK	LOC108022093|XP_016946425.1|DBIA
OG0000012	LOC108082433|XP_017033293.1|DKIK	LOC108022195|XP_016946536.1|DBIA
OG0000012	LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK	LOC108023104|XP_016947858.1|DBIA
OG0000012	LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK	LOC108022092|XP_016946424.1|DBIA
