Orthogroup	DKIK.longest_only	DSEC.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC108084016|XP_017035518.1|DKIK	LOC6606995|XP_002031784.1|DSEC
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC108078602|XP_017028011.1|DKIK	LOC6605884|XP_032575999.1|DSEC
OG0000000	LOC108078603|XP_017028013.1|DKIK	LOC6605885|XP_032575997.1|DSEC
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC108080866|XP_017031258.1|DKIK	LOC6607083|XP_032579519.1|DSEC
OG0000000	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK	LOC6613111|XP_032569894.1|DSEC
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC6612936|XP_002037428.1|DSEC
OG0000000	LOC108080870|XP_017031262.1|DKIK	LOC6608931|XP_002033645.2|DSEC
OG0000000	LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK	LOC116801073|XP_032574487.1|DSEC
OG0000000	LOC108073703|XP_017020927.1|DKIK	LOC6612926|XP_032578042.1|DSEC
OG0000000	LOC108080896|XP_017031287.1|DKIK	LOC6611281|XP_032582965.1|DSEC
OG0000000	LOC108075384|XP_017023284.1|DKIK	LOC116801718|XP_032578762.1|DSEC
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC6614481|XP_002038914.1|DSEC
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC6612634|XP_002037138.2|DSEC
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK	LOC6613854|XP_002038323.1|DSEC
OG0000002	LOC108082125|XP_017032915.1|DKIK	LOC6609498|XP_002034183.1|DSEC
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC6615482|XP_002039862.2|DSEC
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC6615481|XP_002039861.2|DSEC
OG0000002	LOC108082094|XP_017032879.1|DKIK	LOC6610018|XP_032572286.1|DSEC
OG0000002	LOC108074354|XP_017021869.1|DKIK	LOC6611325|XP_002035872.2|DSEC
OG0000002	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	LOC6619439|XP_032575015.1|DSEC
OG0000002	LOC108082669|XP_017033655.1|DKIK	LOC6613615|XP_032570344.1|DSEC
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC6609226|XP_032570279.1|DSEC
OG0000003	LOC108072446|XP_017019063.1|DKIK	LOC6609229|XP_032570278.1|DSEC
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC6607893|XP_002032647.1|DSEC
