Orthogroup	DKIK.longest_only	DMEL.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	CG33700|NP_001027121.3|DMEL
OG0000000	LOC108084016|XP_017035518.1|DKIK	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL
OG0000000	LOC108077933|XP_017026960.1|DKIK	CG33775|NP_001027410.1|DMEL
OG0000000	LOC108078602|XP_017028011.1|DKIK	CG33687|NP_001027130.2|DMEL
OG0000000	LOC108078603|XP_017028013.1|DKIK	CG33690|NP_001368948.1|DMEL
OG0000000	LOC108072234|XP_017018785.1|DKIK	CG12849|NP_611969.2|DMEL
OG0000000	LOC108080866|XP_017031258.1|DKIK	CG33654|NP_001027165.1|DMEL
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	CG33773|NP_001027213.1|DMEL
OG0000000	LOC108080870|XP_017031262.1|DKIK	CG33798|NP_001027414.1|DMEL
OG0000000	LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK	CG33777|NP_001027108.1|DMEL
OG0000000	LOC108080896|XP_017031287.1|DKIK	CG33648|NP_001027265.2|DMEL
OG0000000	LOC108075384|XP_017023284.1|DKIK	CG33721|NP_001036743.1|DMEL
OG0000000	LOC108076851|XP_017025370.1|DKIK	CG33928|NP_001027276.1|DMEL
OG0000000	LOC108070814|XP_017016902.1|DKIK	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC108070634|XP_017016690.1|DKIK	CG14518|NP_651653.2|DMEL
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK	CG33927|NP_001027147.1|DMEL
OG0000000	LOC108078601|XP_017028010.1|DKIK	CG33796|NP_001027128.1|DMEL
OG0000002	LOC108082125|XP_017032915.1|DKIK	CG5550|NP_001246376.1|DMEL
OG0000002	LOC108085203|XP_017037209.1|DKIK	CG30281|NP_726164.1|DMEL
OG0000002	LOC108085202|XP_017037207.1|DKIK	CG30280|NP_611641.6|DMEL
OG0000002	LOC108074354|XP_017021869.1|DKIK	CG31832|NP_723894.2|DMEL
OG0000002	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	CG7668|NP_649170.1|DMEL
OG0000002	LOC108082669|XP_017033655.1|DKIK	CG9500|NP_609018.3|DMEL
OG0000003	LOC108072418|XP_017019012.1|DKIK	Cyp6a9|NP_523748.2|DMEL
OG0000003	LOC108072446|XP_017019063.1|DKIK	Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC108070524|XP_017016527.1|DKIK	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC108072417|XP_017019010.1|DKIK	Cyp6a23|NP_611000.2|DMEL
OG0000003	LOC108072407|XP_017018998.1|DKIK	Cyp6a19|NP_611001.2|DMEL
OG0000003	LOC108072419|XP_017019013.1|DKIK	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC108070794|XP_017016883.1|DKIK	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC108073603|XP_017020784.1|DKIK	Cyp6a16|NP_001285631.1|DMEL
OG0000004	LOC108083332|XP_017034568.1|DKIK	His1_CG33834|NP_001027334.1|DMEL, His1_CG33813|NP_001027299.1|DMEL, His1_CG33852|NP_001027364.1|DMEL, His1_CG33846|NP_001027354.1|DMEL, His1_CG33828|NP_001027324.1|DMEL, His1_CG33819|NP_001027309.1|DMEL, His1_CG33855|NP_001027369.1|DMEL, His1_CG33837|NP_001027339.1|DMEL, His1_CG33861|NP_001027379.1|DMEL, His1_CG33831|NP_001027329.1|DMEL, His1_CG33843|NP_001027349.1|DMEL, His1_CG33864|NP_001027384.1|DMEL, His1_CG33858|NP_001027374.1|DMEL, His1_CG33810|NP_001027295.1|DMEL, His1_CG33840|NP_001027344.1|DMEL, His1_CG33804|NP_001027286.1|DMEL, His1_CG33801|NP_001027282.1|DMEL, His1_CG33807|NP_001027290.1|DMEL, His1_CG33816|NP_001027304.1|DMEL, His1_CG33822|NP_001027314.1|DMEL, His1_CG33825|NP_001027319.1|DMEL, His1_CG33849|NP_001027359.1|DMEL, His1_CG31617|NP_724341.1|DMEL
OG0000005	LOC108085749|XP_017037978.1|DKIK	His2B_CG33880|NP_001027355.1|DMEL, His2B_CG33890|NP_001027330.1|DMEL, His2B_CG33874|NP_001027370.1|DMEL, His2B_CG33906|NP_001027291.1|DMEL, His2B_CG33910|NP_001027283.1|DMEL, His2B_CG33902|NP_001027300.1|DMEL, His2B_CG33870|NP_001027380.1|DMEL, His2B_CG33886|NP_001027340.1|DMEL, His2B_CG33888|NP_001027335.1|DMEL, His2B_CG33894|NP_001027320.1|DMEL, His2B_CG33900|NP_001027305.1|DMEL, His2B_CG33892|NP_001027325.1|DMEL, His2B_CG33908|NP_001027287.1|DMEL, His2B_CG33884|NP_001027345.1|DMEL, His2B_CG33876|NP_001027365.1|DMEL, His2B_CG33878|NP_001027360.1|DMEL, His2B_CG33898|NP_001027310.1|DMEL, His2B_CG17949|NP_724342.1|DMEL, His2B_CG33882|NP_001027350.1|DMEL, His2B_CG33904|NP_001027296.1|DMEL, His2B_CG33872|NP_001027375.1|DMEL, His2B_CG33896|NP_001027315.1|DMEL, His2B_CG33868|NP_001027385.1|DMEL
OG0000006	LOC108072846|XP_017019650.1|DKIK	His2A_CG33835|NP_001027336.1|DMEL, His2A_CG33826|NP_001027321.1|DMEL, His2A_CG33850|NP_001027361.1|DMEL, His2A_CG31618|NP_724343.1|DMEL, His2A_CG33847|NP_001027356.1|DMEL, His2A_CG33832|NP_001027331.1|DMEL, His2A_CG33820|NP_001027311.1|DMEL, His2A_CG33814|NP_001027301.1|DMEL
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL
OG0000007	LOC108071584|XP_017017854.1|DKIK	Jon65Aiii|NP_648013.1|DMEL
OG0000007	LOC108086265|XP_017038640.1|DKIK	Jon25Bii|NP_608882.1|DMEL
OG0000007	LOC108078491|XP_017027862.1|DKIK	Jon44E|NP_724699.1|DMEL
OG0000007	LOC108086266|XP_017038642.1|DKIK	Jon25Bi|NP_001033873.1|DMEL
OG0000007	LOC108078726|XP_017028216.1|DKIK	Jon66Cii|NP_648217.1|DMEL
