Orthogroup	DKIK.longest_only	DYAK.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	LOC6532541|XP_002093287.2|DYAK
OG0000000	LOC108084016|XP_017035518.1|DKIK	LOC6536475|XP_002097056.2|DYAK
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC108078602|XP_017028011.1|DKIK	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC108078603|XP_017028013.1|DKIK	LOC6535097|XP_039229817.1|DYAK
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC108080866|XP_017031258.1|DKIK	LOC6536389|XP_002096971.3|DYAK
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC108080870|XP_017031262.1|DKIK	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK
OG0000000	LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK	LOC6532990|XP_039229806.1|DYAK
OG0000000	LOC108073703|XP_017020927.1|DKIK	LOC26535595|XP_015049129.2|DYAK
OG0000000	LOC108075384|XP_017023284.1|DKIK	LOC6537714|XP_002098259.2|DYAK
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK	LOC6535316|XP_002095972.1|DYAK
OG0000000	LOC108078601|XP_017028010.1|DKIK	LOC6539519|XP_002086405.1|DYAK
OG0000002	LOC108082125|XP_017032915.1|DKIK	LOC6531354|XP_002092157.1|DYAK
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC108074354|XP_017021869.1|DKIK	LOC6528284|XP_002089337.3|DYAK
OG0000002	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	LOC26535670|XP_015050876.2|DYAK
OG0000002	LOC108082669|XP_017033655.1|DKIK	LOC6527104|XP_002088197.3|DYAK
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC6530460|XP_002091376.2|DYAK
OG0000003	LOC108072446|XP_017019063.1|DKIK	LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC108072417|XP_017019010.1|DKIK	LOC6530458|XP_002091374.1|DYAK
OG0000003	LOC108072407|XP_017018998.1|DKIK	LOC6530459|XP_002091375.1|DYAK
OG0000003	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK	LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC108070791|XP_017016879.1|DKIK	LOC6528606|XP_002089649.1|DYAK
OG0000003	LOC108070792|XP_017016880.1|DKIK	LOC120320435|XP_002089650.1|DYAK
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC6528128|XP_002089195.3|DYAK
OG0000004	LOC108083332|XP_017034568.1|DKIK	LOC120322179|XP_039233170.1|DYAK, LOC6529212|XP_002090219.3|DYAK, LOC120322177|XP_039233168.1|DYAK, LOC120322178|XP_039233169.1|DYAK, LOC6539223|XP_002086123.3|DYAK
OG0000005	LOC108085749|XP_017037978.1|DKIK	LOC120322209|XP_039233200.1|DYAK, LOC120322210|XP_039233201.1|DYAK, LOC120322206|XP_039233197.1|DYAK, LOC120321200|XP_039229119.1|DYAK, LOC120321199|XP_039229118.1|DYAK, LOC6529211|XP_002090218.1|DYAK, LOC120322207|XP_039233198.1|DYAK, LOC120322199|XP_039233190.1|DYAK, LOC120322204|XP_039233195.1|DYAK, LOC120322203|XP_039233194.1|DYAK, LOC120321241|XP_039229337.1|DYAK, LOC120321242|XP_039229338.1|DYAK, LOC120322205|XP_039233196.1|DYAK, LOC120321244|XP_039229340.1|DYAK, LOC120322201|XP_039233192.1|DYAK, LOC6539222|XP_002086121.1|DYAK, LOC6540449|XP_002087252.2|DYAK, LOC120322208|XP_039233199.1|DYAK, LOC120322200|XP_039233191.1|DYAK, LOC120321243|XP_039229339.1|DYAK, LOC120322202|XP_039233193.1|DYAK, LOC120322226|XP_039233214.1|DYAK
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC120322187|XP_039233177.1|DYAK, LOC120322192|XP_039233183.1|DYAK, LOC120321240|XP_039229336.1|DYAK, LOC120322191|XP_039233182.1|DYAK, LOC120322190|XP_039233181.1|DYAK, LOC6540215|XP_039233179.1|DYAK, LOC6540563|XP_002087349.3|DYAK, LOC120322197|XP_039233188.1|DYAK, LOC120322195|XP_039233186.1|DYAK, LOC120322196|XP_039233187.1|DYAK, LOC120321238|XP_039229334.1|DYAK, LOC120322198|XP_039233189.1|DYAK, LOC120321198|XP_039229117.1|DYAK
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	LOC26535831|XP_015045247.2|DYAK
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
OG0000007	LOC108071584|XP_017017854.1|DKIK	LOC6533143|XP_002093869.1|DYAK
OG0000007	LOC108086265|XP_017038640.1|DKIK	LOC6527619|XP_002088707.1|DYAK
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC6528628|XP_002089670.1|DYAK
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC108078726|XP_017028216.1|DKIK	LOC6532723|XP_002093465.1|DYAK
OG0000007	LOC108078727|XP_017028217.1|DKIK	LOC6532724|XP_002093466.1|DYAK
OG0000007	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC6527620|XP_002088708.1|DYAK
