Orthogroup	DKIK.longest_only	DSAN.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC108084016|XP_017035518.1|DKIK	LOC120454013|XP_039494937.1|DSAN
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC108078602|XP_017028011.1|DKIK	LOC120447883|XP_039485428.1|DSAN
OG0000000	LOC108078603|XP_017028013.1|DKIK	LOC120447886|XP_039485431.1|DSAN
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC108080866|XP_017031258.1|DKIK	LOC120453403|XP_039494026.1|DSAN
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC108080870|XP_017031262.1|DKIK	LOC120446300|XP_039483141.1|DSAN
OG0000000	LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK	LOC120447669|XP_039485129.1|DSAN
OG0000000	LOC108073703|XP_017020927.1|DKIK	LOC120454324|XP_039495461.1|DSAN
OG0000000	LOC108075384|XP_017023284.1|DKIK	LOC120453013|XP_039493463.1|DSAN
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC120444807|XP_039480688.1|DSAN
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC120454169|XP_039495171.1|DSAN
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK	LOC120453562|XP_039494248.1|DSAN
OG0000000	LOC108078601|XP_017028010.1|DKIK	LOC120447885|XP_039485430.1|DSAN
OG0000002	LOC108082125|XP_017032915.1|DKIK	LOC120446478|XP_039483414.1|DSAN
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC120444309|XP_039479784.1|DSAN
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC120444310|XP_039479789.1|DSAN
OG0000002	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	LOC120449620|XP_039488138.1|DSAN
OG0000002	LOC108082669|XP_017033655.1|DKIK	LOC120443706|XP_039478879.1|DSAN
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC120446974|XP_039484179.1|DSAN
OG0000003	LOC108072446|XP_017019063.1|DKIK	LOC120446686|XP_039483713.1|DSAN
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	LOC108072417|XP_017019010.1|DKIK	LOC120446973|XP_039484178.1|DSAN
OG0000003	LOC108072407|XP_017018998.1|DKIK	LOC120446975|XP_039484180.1|DSAN
OG0000003	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK	LOC120446688|XP_039483715.1|DSAN
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC120446977|XP_039484182.1|DSAN
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC120458379|XP_039501933.1|DSAN
OG0000003	LOC108070791|XP_017016879.1|DKIK	LOC120458377|XP_039501931.1|DSAN
OG0000003	LOC108070792|XP_017016880.1|DKIK	LOC120458378|XP_039501932.1|DSAN
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC120458775|XP_039502488.1|DSAN
OG0000005	LOC108085749|XP_017037978.1|DKIK	LOC120457954|XP_039501393.1|DSAN, LOC120445992|XP_039482658.1|DSAN, LOC120446202|XP_039482985.1|DSAN, LOC120457948|XP_039501388.1|DSAN, LOC120457682|XP_039501106.1|DSAN, LOC120457956|XP_039501395.1|DSAN, LOC120457950|XP_039501390.1|DSAN, LOC120457673|XP_039501099.1|DSAN, LOC120457947|XP_039501387.1|DSAN, LOC120457955|XP_039501394.1|DSAN, LOC120457951|XP_039501391.1|DSAN, LOC120457946|XP_039501386.1|DSAN, LOC120457671|XP_039501098.1|DSAN, LOC120457952|XP_039501392.1|DSAN, LOC120457949|XP_039501389.1|DSAN, LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC120457939|XP_039501380.1|DSAN, LOC120457941|XP_039501382.1|DSAN, LOC120457932|XP_039501372.1|DSAN, LOC120457930|XP_039501368.1|DSAN, LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN, LOC120457935|XP_039501376.1|DSAN, LOC120457934|XP_039501374.1|DSAN, LOC120457680|XP_039501103.1|DSAN
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	LOC120457670|XP_039501096.1|DSAN
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC120450299|XP_039489171.1|DSAN
OG0000007	LOC108071584|XP_017017854.1|DKIK	LOC120449309|XP_039487635.1|DSAN
OG0000007	LOC108086265|XP_017038640.1|DKIK	LOC120458533|XP_039502144.1|DSAN
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC120455948|XP_039498425.1|DSAN
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC120458508|XP_039502112.1|DSAN
OG0000007	LOC108078726|XP_017028216.1|DKIK	LOC120448335|XP_039486223.1|DSAN
OG0000007	LOC108078727|XP_017028217.1|DKIK	LOC120448331|XP_039486219.1|DSAN
OG0000007	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC120450012|XP_039488670.1|DSAN
OG0000007	LOC108071626|XP_017017898.1|DKIK	LOC120449828|XP_039488411.1|DSAN
OG0000007	LOC108071627|XP_017017899.1|DKIK	LOC120449911|XP_039488536.1|DSAN
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC120451092|XP_039490416.1|DSAN
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC120449654|XP_039488185.1|DSAN
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC120458586|XP_039502222.1|DSAN
OG0000008	LOC108072727|XP_017019476.1|DKIK	LOC120449658|XP_039488188.1|DSAN
OG0000008	LOC108070862|XP_017016987.1|DKIK	LOC120456894|XP_039499926.1|DSAN
OG0000008	LOC108080451|XP_017030677.1|DKIK	LOC120453056|XP_039493512.1|DSAN
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC120453871|XP_039494710.1|DSAN
OG0000008	LOC108080419|XP_017030641.1|DKIK	LOC120452274|XP_039492339.1|DSAN
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC120453887|XP_039494738.1|DSAN
OG0000009	LOC108076150|XP_017024404.1|DKIK	LOC120452846|XP_039493217.1|DSAN
OG0000009	LOC108076246|XP_017024517.1|DKIK	LOC120453968|XP_039494853.1|DSAN
OG0000009	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK	LOC120454581|XP_039495924.1|DSAN
OG0000009	LOC108075985|XP_017024164.1|DKIK	LOC120452847|XP_039493218.1|DSAN
OG0000009	LOC108070751|XP_017016837.1|DKIK	LOC120446532|XP_039483479.1|DSAN
OG0000009	LOC108080446|XP_017030671.1|DKIK	LOC120453301|XP_039493868.1|DSAN
OG0000009	LOC108082335|XP_017033154.1|DKIK	LOC120445192|XP_039481349.1|DSAN
OG0000009	LOC108082367|XP_017033197.1|DKIK	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN
OG0000010	LOC108072854|XP_017019661.1|DKIK	LOC120457684|XP_039501107.1|DSAN
OG0000010	LOC108073959|XP_017021281.1|DKIK	LOC120457967|XP_039501402.1|DSAN
OG0000010	LOC108075010|XP_017022751.1|DKIK, LOC108084633|XP_017036410.1|DKIK	LOC120457962|XP_039501399.1|DSAN
OG0000011	LOC108074353|XP_017021868.1|DKIK, LOC108084761|XP_017036565.1|DKIK, LOC108084804|XP_017036651.1|DKIK, LOC108083260|XP_017034457.1|DKIK, LOC108084805|XP_017036652.1|DKIK, LOC108084755|XP_017036555.1|DKIK, LOC108083234|XP_017034430.1|DKIK, LOC108078960|XP_017028605.1|DKIK, LOC108072111|XP_017018626.1|DKIK, LOC108079747|XP_017029651.1|DKIK, LOC108078767|XP_017028297.1|DKIK, LOC108079746|XP_017029649.1|DKIK	LOC120456909|XP_039499973.1|DSAN
OG0000011	LOC108077100|XP_017025772.1|DKIK	LOC120458387|XP_039501940.1|DSAN, LOC120458388|XP_039501941.1|DSAN
OG0000011	LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK	LOC120458054|XP_039501501.1|DSAN, LOC120458044|XP_039501490.1|DSAN
OG0000011	LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK	LOC120449699|XP_039488248.1|DSAN
OG0000011	LOC108074515|XP_017022082.1|DKIK	LOC120444818|XP_039480708.1|DSAN, LOC120447070|XP_039484395.1|DSAN, LOC120445760|XP_039482290.1|DSAN, LOC120454945|XP_039496647.1|DSAN
OG0000011	LOC108075323|XP_017023218.1|DKIK	LOC120449537|XP_039487993.1|DSAN
OG0000011	LOC108073175|XP_017020170.1|DKIK	LOC120452178|XP_039492220.1|DSAN
