Orthogroup	DKIK.longest_only	DMAU.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU
OG0000000	LOC108084016|XP_017035518.1|DKIK	LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC108078602|XP_017028011.1|DKIK	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC108078603|XP_017028013.1|DKIK	LOC117139149|XP_033157198.1|DMAU
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC108080866|XP_017031258.1|DKIK	LOC117144786|XP_033166045.1|DMAU
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC108080870|XP_017031262.1|DKIK	LOC117137412|XP_033154732.1|DMAU
OG0000000	LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK	LOC117139179|XP_033157239.1|DMAU
OG0000000	LOC108073703|XP_017020927.1|DKIK	LOC117145744|XP_033167397.1|DMAU
OG0000000	LOC108075384|XP_017023284.1|DKIK	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK	LOC117145160|XP_033166598.1|DMAU
OG0000000	LOC108078601|XP_017028010.1|DKIK	LOC117140539|XP_033159419.1|DMAU
OG0000002	LOC108082125|XP_017032915.1|DKIK	LOC117138082|XP_033155798.1|DMAU
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC108082094|XP_017032879.1|DKIK	LOC117136987|XP_033154052.1|DMAU
OG0000002	LOC108074354|XP_017021869.1|DKIK	LOC117149870|XP_033172720.1|DMAU
OG0000002	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	LOC117140283|XP_033159002.1|DMAU
OG0000002	LOC108082669|XP_017033655.1|DKIK	LOC117136934|XP_033153971.1|DMAU
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC117136850|XP_033153839.1|DMAU
OG0000003	LOC108072446|XP_017019063.1|DKIK	LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK	LOC117138513|XP_033156538.1|DMAU
OG0000003	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC108070791|XP_017016879.1|DKIK	LOC117137102|XP_033154279.1|DMAU
OG0000003	LOC108070792|XP_017016880.1|DKIK	LOC117137103|XP_033154280.1|DMAU
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC108071584|XP_017017854.1|DKIK	LOC117142070|XP_033161841.1|DMAU
OG0000007	LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK	LOC117140666|XP_033159604.1|DMAU
OG0000007	LOC108086265|XP_017038640.1|DKIK	LOC117150742|XP_033173667.1|DMAU
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC117136894|XP_033153899.1|DMAU
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC108078727|XP_017028217.1|DKIK	LOC117139147|XP_033157196.1|DMAU
OG0000007	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC117139091|XP_033157106.1|DMAU
OG0000007	LOC108071626|XP_017017898.1|DKIK	LOC117142071|XP_033161842.1|DMAU
OG0000007	LOC108071627|XP_017017899.1|DKIK	LOC117142072|XP_033161843.1|DMAU
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC108072727|XP_017019476.1|DKIK	LOC117140617|XP_033159524.1|DMAU
OG0000008	LOC108070862|XP_017016987.1|DKIK	LOC117147420|XP_033170189.1|DMAU
OG0000008	LOC108080420|XP_017030642.1|DKIK	LOC117145079|XP_033166487.1|DMAU
OG0000008	LOC108080451|XP_017030677.1|DKIK	LOC117144387|XP_033165412.1|DMAU
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC108080419|XP_017030641.1|DKIK	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC108076150|XP_017024404.1|DKIK	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC108076246|XP_017024517.1|DKIK	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK	LOC117145633|XP_033167244.1|DMAU
OG0000009	LOC108075985|XP_017024164.1|DKIK	LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC108070751|XP_017016837.1|DKIK	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC108080446|XP_017030671.1|DKIK	LOC117143616|XP_033164265.1|DMAU
OG0000009	LOC108082335|XP_017033154.1|DKIK	LOC117135792|XP_033152175.1|DMAU
OG0000009	LOC108082367|XP_017033197.1|DKIK	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
OG0000010	LOC108077825|XP_017026840.1|DKIK, LOC108074687|XP_017022307.1|DKIK, LOC108076493|XP_017024885.1|DKIK, LOC108081051|XP_017031512.1|DKIK, LOC108072854|XP_017019661.1|DKIK, LOC108073959|XP_017021281.1|DKIK	LOC117142722|XP_033162774.1|DMAU
OG0000011	LOC108077100|XP_017025772.1|DKIK	LOC117148149|XP_033171274.1|DMAU, LOC117148158|XP_033171286.1|DMAU
OG0000011	LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK	LOC117138313|XP_033156221.1|DMAU
OG0000011	LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK	LOC117140362|XP_033159107.1|DMAU
OG0000011	LOC108074515|XP_017022082.1|DKIK	LOC117150358|XP_033173108.1|DMAU, LOC117135201|XP_033151176.1|DMAU, LOC117148130|XP_033171246.1|DMAU, LOC117148131|XP_033171247.1|DMAU
OG0000011	LOC108075323|XP_017023218.1|DKIK	LOC117141062|XP_033160241.1|DMAU
OG0000011	LOC108073175|XP_017020170.1|DKIK	LOC117143493|XP_033164098.1|DMAU
OG0000012	LOC108076784|XP_017025279.1|DKIK	LOC117136761|XP_033153688.1|DMAU
