Orthogroup	DKIK.longest_only	DGUA.longest_only
OG0000000	LOC108077905|XP_017026932.1|DKIK	LOC117592188|XP_034141680.1|DGUA
OG0000000	LOC108084016|XP_017035518.1|DKIK	LOC117583189|XP_034127284.1|DGUA
OG0000000	LOC108085530|XP_017037652.1|DKIK	LOC117583148|XP_034127229.1|DGUA
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC117588815|XP_034136215.1|DGUA
OG0000000	LOC108078602|XP_017028011.1|DKIK	LOC117589025|XP_034136545.1|DGUA
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC117592532|XP_034142283.1|DGUA
OG0000000	LOC108085312|XP_017037357.1|DKIK	LOC117583198|XP_034127292.1|DGUA
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA
OG0000000	LOC108075384|XP_017023284.1|DKIK	LOC117583318|XP_034127468.1|DGUA
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC117582218|XP_034125717.1|DGUA
OG0000000	LOC108086044|XP_017038352.1|DKIK	LOC117592522|XP_034142264.1|DGUA
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC117592359|XP_034141946.1|DGUA
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC117589701|XP_034137755.1|DGUA
OG0000000	LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK, LOC108076854|XP_017025373.1|DKIK, LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK, LOC108074035|XP_017021392.1|DKIK, LOC108074412|XP_017021929.1|DKIK	LOC117592344|XP_034141927.1|DGUA
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC108078189|XP_017027346.1|DKIK	LOC117578777|XP_034120374.1|DGUA
OG0000002	LOC108074354|XP_017021869.1|DKIK	LOC117587542|XP_034134239.1|DGUA
OG0000002	LOC108077339|XP_017026117.1|DKIK	LOC117584002|XP_034128622.1|DGUA
OG0000002	LOC108082669|XP_017033655.1|DKIK	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC117592331|XP_034141917.1|DGUA
OG0000003	LOC108072446|XP_017019063.1|DKIK, LOC108072408|XP_017018999.1|DKIK	LOC117592350|XP_034141940.1|DGUA
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC117578447|XP_034119862.1|DGUA
OG0000003	LOC108072417|XP_017019010.1|DKIK	LOC117583299|XP_034127435.1|DGUA
OG0000003	LOC108072407|XP_017018998.1|DKIK, LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK	LOC117592340|XP_034141928.1|DGUA
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC117583990|XP_034128606.1|DGUA
OG0000003	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK	LOC117583987|XP_034128590.1|DGUA
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC117587981|XP_034134880.1|DGUA
OG0000004	LOC108085470|XP_017037578.1|DKIK, LOC108075568|XP_017023576.1|DKIK	LOC117591774|XP_034140974.1|DGUA
OG0000004	LOC108073963|XP_017021295.1|DKIK	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA
OG0000005	LOC108071511|XP_017017769.1|DKIK	LOC117591669|XP_034140883.1|DGUA
OG0000005	LOC108085749|XP_017037978.1|DKIK	LOC117581361|XP_034124384.1|DGUA
OG0000005	LOC108071382|XP_017017614.1|DKIK, LOC108085758|XP_017037990.1|DKIK	LOC117591790|XP_034140985.1|DGUA
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC117591689|XP_034140903.1|DGUA, LOC117591770|XP_034140972.1|DGUA, LOC117591658|XP_034140872.1|DGUA, LOC117591672|XP_034140886.1|DGUA
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	LOC117591645|XP_034140861.1|DGUA
OG0000007	LOC108071584|XP_017017854.1|DKIK	LOC117587428|XP_034133991.1|DGUA
OG0000007	LOC108086265|XP_017038640.1|DKIK	LOC117584024|XP_034128652.1|DGUA
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC117592308|XP_034141873.1|DGUA
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC117584026|XP_034128654.1|DGUA
OG0000007	LOC108078727|XP_017028217.1|DKIK	LOC117587067|XP_034133401.1|DGUA
OG0000007	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC117584025|XP_034128653.1|DGUA
OG0000007	LOC108071626|XP_017017898.1|DKIK	LOC117587430|XP_034133997.1|DGUA
OG0000007	LOC108071627|XP_017017899.1|DKIK	LOC117587431|XP_034133998.1|DGUA
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC117581836|XP_034125174.1|DGUA
OG0000008	LOC108072727|XP_017019476.1|DKIK	LOC117579400|XP_034121171.1|DGUA
OG0000008	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC117586165|XP_034131957.1|DGUA
OG0000008	LOC108080419|XP_017030641.1|DKIK	LOC117586120|XP_034131875.1|DGUA
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC117586582|XP_034132641.1|DGUA
OG0000009	LOC108076150|XP_017024404.1|DKIK	LOC117586341|XP_034132234.1|DGUA
OG0000009	LOC108076246|XP_017024517.1|DKIK	LOC117586454|XP_034132388.1|DGUA
OG0000009	LOC108085665|XP_017037844.1|DKIK	LOC117585408|XP_034130767.1|DGUA
OG0000009	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA
OG0000009	LOC108070751|XP_017016837.1|DKIK	LOC117587230|XP_034133688.1|DGUA
OG0000009	LOC108080446|XP_017030671.1|DKIK	LOC117586357|XP_034132268.1|DGUA
OG0000009	LOC108082335|XP_017033154.1|DKIK	LOC117588654|XP_034135988.1|DGUA
OG0000009	LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK	LOC117588663|XP_034136000.1|DGUA
OG0000010	LOC108072854|XP_017019661.1|DKIK	LOC117591688|XP_034140902.1|DGUA
