Orthogroup	DKIK.longest_only	DERE.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	LOC6545981|XP_001972189.2|DERE
OG0000000	LOC108084016|XP_017035518.1|DKIK	LOC6552159|XP_001980711.1|DERE
OG0000000	LOC108078602|XP_017028011.1|DKIK	LOC6544810|XP_026832924.1|DERE
OG0000000	LOC108078603|XP_017028013.1|DKIK	LOC6544813|XP_001973192.2|DERE
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC108080866|XP_017031258.1|DKIK	LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE
OG0000000	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE
OG0000000	LOC108080870|XP_017031262.1|DKIK	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE
OG0000000	LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK	LOC6544187|XP_026833238.1|DERE
OG0000000	LOC108075384|XP_017023284.1|DKIK	LOC26526690|XP_015009401.1|DERE
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC6549399|XP_001974447.1|DERE
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC26526070|XP_026831673.1|DERE
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK	LOC6551915|XP_001978850.1|DERE
OG0000000	LOC108078601|XP_017028010.1|DKIK	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE
OG0000002	LOC108082125|XP_017032915.1|DKIK	LOC6548491|XP_001975304.1|DERE
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC6548172|XP_001975155.3|DERE
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC6548171|XP_001975154.2|DERE
OG0000002	LOC108082094|XP_017032879.1|DKIK	LOC6547452|XP_001974865.2|DERE
OG0000002	LOC108074354|XP_017021869.1|DKIK	LOC6540746|XP_001968931.3|DERE
OG0000002	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	LOC6545786|XP_001973422.2|DERE
OG0000002	LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK	LOC6542167|XP_001968638.1|DERE
OG0000002	LOC108082669|XP_017033655.1|DKIK	LOC6543212|XP_026834323.1|DERE
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC6549103|XP_001975568.1|DERE
OG0000003	LOC108072446|XP_017019063.1|DKIK	LOC6548982|XP_001975565.1|DERE
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC6541170|XP_001970725.1|DERE
OG0000003	LOC108072417|XP_017019010.1|DKIK	LOC26526619|XP_015012824.1|DERE
OG0000003	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK	LOC6549102|XP_001975567.1|DERE
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC6549105|XP_001975570.1|DERE
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC6541262|XP_001970448.1|DERE
OG0000003	LOC108070791|XP_017016879.1|DKIK	LOC6543237|XP_001970449.1|DERE
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC6543184|XP_001968830.1|DERE
OG0000004	LOC108083332|XP_017034568.1|DKIK	LOC113564789|XP_026839439.1|DERE, LOC113564794|XP_026839442.1|DERE, LOC113564793|XP_026839441.1|DERE, LOC113564762|XP_026839397.1|DERE, LOC113564780|XP_026839412.1|DERE, LOC113564788|XP_026839438.1|DERE, LOC113564798|XP_026839446.1|DERE, LOC113564782|XP_026839414.1|DERE, LOC113564781|XP_026839413.1|DERE
