Orthogroup	DKIK.longest_only	DSER.longest_only
OG0000000	LOC108084016|XP_017035518.1|DKIK	LOC110188492|XP_020813881.1|DSER
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC108078602|XP_017028011.1|DKIK	LOC110190735|XP_020817016.1|DSER
OG0000000	LOC108078603|XP_017028013.1|DKIK	LOC110190738|XP_020817019.1|DSER
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK	LOC110186264|XP_020811030.1|DSER
OG0000000	LOC108085307|XP_017037354.1|DKIK	LOC110186911|XP_020811890.1|DSER
OG0000000	LOC108084391|XP_017036073.1|DKIK	LOC110190695|XP_020816967.1|DSER
OG0000000	LOC108084392|XP_017036074.1|DKIK	LOC110190751|XP_020817032.1|DSER
OG0000000	LOC108085317|XP_017037360.1|DKIK	LOC110186293|XP_020811066.1|DSER
OG0000000	LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC110186292|XP_020811065.1|DSER
OG0000000	LOC108078011|XP_017027058.1|DKIK	LOC110176723|XP_020798824.1|DSER
OG0000000	LOC108074649|XP_017022253.1|DKIK	LOC110178370|XP_020801166.1|DSER
OG0000000	LOC108073657|XP_017020873.1|DKIK	LOC110186869|XP_020811824.1|DSER
OG0000000	LOC108073658|XP_017020874.1|DKIK	LOC110186289|XP_020811062.1|DSER
OG0000000	LOC108073660|XP_017020875.1|DKIK, LOC108073704|XP_017020929.1|DKIK	LOC110186287|XP_020811060.1|DSER
OG0000000	LOC108073703|XP_017020927.1|DKIK	LOC110186290|XP_020811063.1|DSER
OG0000000	LOC108080896|XP_017031287.1|DKIK	LOC110185901|XP_020810577.1|DSER
OG0000000	LOC108080463|XP_017030690.1|DKIK, LOC108070739|XP_017016824.1|DKIK	LOC110180637|XP_020803993.1|DSER
OG0000000	LOC108075384|XP_017023284.1|DKIK	LOC110187976|XP_020813156.1|DSER
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC110177452|XP_020799845.1|DSER
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK	LOC110187957|XP_020813134.1|DSER
OG0000000	LOC108078600|XP_017028009.1|DKIK	LOC110190734|XP_020817015.1|DSER
OG0000000	LOC108078601|XP_017028010.1|DKIK	LOC110190733|XP_020817014.1|DSER
OG0000000	LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK	LOC110187956|XP_020813133.1|DSER
OG0000000	LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK	LOC110186018|XP_020810717.1|DSER, LOC110186045|XP_020810747.1|DSER
OG0000000	LOC108074035|XP_017021392.1|DKIK	LOC110186008|XP_020810705.1|DSER, LOC110186038|XP_020810738.1|DSER, LOC110186028|XP_020810726.1|DSER, LOC110186065|XP_020810763.1|DSER
OG0000000	LOC108074412|XP_017021929.1|DKIK	LOC110185933|XP_020810606.1|DSER
OG0000002	LOC108082125|XP_017032915.1|DKIK	LOC110191937|XP_020818616.1|DSER
OG0000002	LOC108076145|XP_017024362.1|DKIK	LOC110179128|XP_020802182.1|DSER, LOC110178733|XP_020801621.1|DSER
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC108078189|XP_017027346.1|DKIK	LOC110179248|XP_020802366.1|DSER
