Orthogroup	DKIK.longest_only	AALB.longest_only
OG0000002	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	LOC118458183|XP_035776304.1|AALB
OG0000002	LOC108082669|XP_017033655.1|DKIK	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC118464049|XP_035786993.1|AALB, LOC118467565|XP_035794086.1|AALB, LOC118464040|XP_035786990.1|AALB, LOC118465125|XP_035788959.1|AALB, LOC118465118|XP_035788957.1|AALB
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC108072727|XP_017019476.1|DKIK	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC108076150|XP_017024404.1|DKIK, LOC108076246|XP_017024517.1|DKIK, LOC108085665|XP_017037844.1|DKIK, LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK, LOC108070751|XP_017016837.1|DKIK, LOC108080446|XP_017030671.1|DKIK, LOC108082335|XP_017033154.1|DKIK, LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC108072854|XP_017019661.1|DKIK	LOC118465135|XP_035788966.1|AALB
