Orthogroup	DKIK.longest_only	DANA.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	LOC26513897|XP_014765549.1|DANA
OG0000000	LOC108077905|XP_017026932.1|DKIK	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC6494335|XP_001960511.2|DANA
OG0000000	LOC108085308|XP_017037355.1|DKIK	LOC116656224|XP_032311586.1|DANA, LOC6505938|XP_014760853.1|DANA, LOC26515148|XP_014760938.1|DANA
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC6503296|XP_001967564.2|DANA
OG0000000	LOC108080870|XP_017031262.1|DKIK, LOC108080867|XP_017031259.1|DKIK	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA
OG0000000	LOC108073703|XP_017020927.1|DKIK	LOC26514259|XP_032305722.1|DANA
OG0000000	LOC108075384|XP_017023284.1|DKIK	LOC6500855|XP_032305607.1|DANA
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC6497917|XP_001961708.2|DANA
OG0000000	LOC108086044|XP_017038352.1|DKIK	LOC26514098|XP_032306915.1|DANA
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC6494112|XP_001960945.2|DANA
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC6499064|XP_032305682.1|DANA
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK	LOC6498897|XP_032305704.1|DANA
OG0000000	LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK, LOC108076854|XP_017025373.1|DKIK, LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK, LOC108074035|XP_017021392.1|DKIK, LOC108074412|XP_017021929.1|DKIK	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA
OG0000002	LOC108082125|XP_017032915.1|DKIK	LOC6494276|XP_032306810.1|DANA
OG0000002	LOC108076145|XP_017024362.1|DKIK	LOC6502541|XP_001958679.1|DANA
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC6496130|XP_001960293.1|DANA
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC6502577|XP_001960292.2|DANA
OG0000002	LOC108078189|XP_017027346.1|DKIK	LOC6495823|XP_001959659.3|DANA, LOC116654680|XP_032306049.1|DANA, LOC6495824|XP_001959660.3|DANA
OG0000002	LOC108082094|XP_017032879.1|DKIK	LOC6494605|XP_001960022.3|DANA
OG0000002	LOC108080319|XP_017030503.1|DKIK, LOC108079700|XP_017029594.1|DKIK	LOC6502757|XP_014760373.1|DANA
OG0000002	LOC108074354|XP_017021869.1|DKIK	LOC116656048|XP_032311202.1|DANA
OG0000002	LOC108077339|XP_017026117.1|DKIK	LOC116655418|XP_032309202.1|DANA
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC6495486|XP_001958950.1|DANA
OG0000003	LOC108072446|XP_017019063.1|DKIK, LOC108072408|XP_017018999.1|DKIK	LOC6495484|XP_001958947.1|DANA
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC6496624|XP_001961285.3|DANA
OG0000003	LOC108072417|XP_017019010.1|DKIK	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA
OG0000003	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK	LOC6495153|XP_001958951.2|DANA
OG0000003	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK	LOC6495154|XP_001958949.2|DANA
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC6495150|XP_014763173.1|DANA
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC6495217|XP_001958825.1|DANA
OG0000003	LOC108070791|XP_017016879.1|DKIK	LOC6495430|XP_001958829.1|DANA
OG0000003	LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK	LOC6495216|XP_001958826.1|DANA
OG0000004	LOC108085470|XP_017037578.1|DKIK, LOC108075568|XP_017023576.1|DKIK	LOC116655976|XP_032310860.1|DANA, LOC26514479|XP_014758928.2|DANA, LOC116655701|XP_032309456.1|DANA, LOC116655709|XP_032309467.1|DANA, LOC116655975|XP_032310859.1|DANA, LOC6501745|XP_001967751.3|DANA, LOC6502880|XP_001967788.3|DANA, LOC6498691|XP_001967677.3|DANA, LOC116655427|XP_032309213.1|DANA, LOC116655702|XP_032309457.1|DANA, LOC6506068|XP_001967797.3|DANA, LOC6504968|XP_001964805.3|DANA, LOC116655977|XP_032310861.1|DANA, LOC116655978|XP_032310862.1|DANA, LOC116655704|XP_032309459.1|DANA, LOC6504908|XP_001964815.2|DANA, LOC6504940|XP_001964810.3|DANA, LOC116655703|XP_032309458.1|DANA, LOC6504875|XP_001964820.3|DANA, LOC6502394|XP_032309212.1|DANA, LOC6504999|XP_001964802.3|DANA
OG0000005	LOC108085758|XP_017037990.1|DKIK	LOC6501749|XP_001967750.2|DANA
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC116655986|XP_032310870.1|DANA, LOC116655983|XP_032310867.1|DANA, LOC6501746|XP_001967749.1|DANA, LOC116655985|XP_032310869.1|DANA, LOC6498689|XP_001967680.1|DANA, LOC6498692|XP_001967675.1|DANA, LOC116655429|XP_032309218.1|DANA, LOC116656005|XP_032310965.1|DANA, LOC6504886|XP_001964818.1|DANA, LOC6504919|XP_001964813.1|DANA, LOC26515522|XP_032311285.1|DANA, LOC116655706|XP_032309462.1|DANA
OG0000006	LOC108070732|XP_017016820.1|DKIK	LOC6506066|XP_032309425.1|DANA
