Orthogroup	DKIK.longest_only	DSUB.longest_only
OG0000000	LOC108077905|XP_017026932.1|DKIK	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC108084016|XP_017035518.1|DKIK	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB
OG0000000	LOC108085530|XP_017037652.1|DKIK	LOC117898485|XP_034663813.1|DSUB
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC108078602|XP_017028011.1|DKIK	LOC117893407|XP_034655897.1|DSUB
OG0000000	LOC108078603|XP_017028013.1|DKIK	LOC117893701|XP_034656280.1|DSUB
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK, LOC108085307|XP_017037354.1|DKIK, LOC108080866|XP_017031258.1|DKIK	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK	LOC117892705|XP_034655010.1|DSUB
OG0000000	LOC108085312|XP_017037357.1|DKIK	LOC117899325|XP_034665150.1|DSUB
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB
OG0000000	LOC108080896|XP_017031287.1|DKIK, LOC108080463|XP_017030690.1|DKIK, LOC108070739|XP_017016824.1|DKIK	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB
OG0000000	LOC108075384|XP_017023284.1|DKIK	LOC117896020|XP_034659918.1|DSUB
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC117901385|XP_034668002.1|DSUB
OG0000000	LOC108086044|XP_017038352.1|DKIK	LOC117892680|XP_034654976.1|DSUB
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC117897324|XP_034661985.1|DSUB
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC108078189|XP_017027346.1|DKIK	LOC117891710|XP_034653195.1|DSUB
OG0000002	LOC108074354|XP_017021869.1|DKIK	LOC117900165|XP_034666298.1|DSUB, LOC117899951|XP_034665996.1|DSUB
OG0000002	LOC108077339|XP_017026117.1|DKIK	LOC117900215|XP_034666390.1|DSUB
OG0000002	LOC108082669|XP_017033655.1|DKIK	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC108072446|XP_017019063.1|DKIK, LOC108072408|XP_017018999.1|DKIK	LOC117890985|XP_034652025.1|DSUB
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC108072417|XP_017019010.1|DKIK	LOC117890987|XP_034652029.1|DSUB
OG0000003	LOC108072407|XP_017018998.1|DKIK, LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK	LOC117890986|XP_034652027.1|DSUB
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC117890988|XP_034652030.1|DSUB
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC117890991|XP_034652033.1|DSUB
OG0000003	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK	LOC117890982|XP_034652022.1|DSUB
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC117900241|XP_034666421.1|DSUB
OG0000005	LOC108071511|XP_017017769.1|DKIK, LOC108081065|XP_017031536.1|DKIK, LOC108085749|XP_017037978.1|DKIK	LOC117901442|XP_034668076.1|DSUB
OG0000005	LOC108071382|XP_017017614.1|DKIK, LOC108085758|XP_017037990.1|DKIK	LOC117900068|XP_034666166.1|DSUB
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC117901441|XP_034668075.1|DSUB, LOC117902681|XP_034670104.1|DSUB
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC117894702|XP_034657776.1|DSUB
OG0000007	LOC108071584|XP_017017854.1|DKIK	LOC117894589|XP_034657628.1|DSUB
OG0000007	LOC108086265|XP_017038640.1|DKIK	LOC117900834|XP_034667236.1|DSUB
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC117890133|XP_034650711.1|DSUB
OG0000007	LOC108073664|XP_017020878.1|DKIK, LOC108073665|XP_017020880.1|DKIK, LOC108077603|XP_017026488.1|DKIK	LOC117897982|XP_034662985.1|DSUB
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC117900835|XP_034667237.1|DSUB
OG0000007	LOC108078727|XP_017028217.1|DKIK	LOC117894709|XP_034657781.1|DSUB
OG0000007	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC117901609|XP_034668319.1|DSUB
OG0000007	LOC108071626|XP_017017898.1|DKIK	LOC117894591|XP_034657631.1|DSUB
OG0000007	LOC108071627|XP_017017899.1|DKIK	LOC117894593|XP_034657634.1|DSUB
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC117896362|XP_034660529.1|DSUB
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC117895168|XP_034658522.1|DSUB
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC117902083|XP_034669067.1|DSUB
OG0000008	LOC108072727|XP_017019476.1|DKIK	LOC117895171|XP_034658525.1|DSUB
OG0000008	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC117898640|XP_034664094.1|DSUB
OG0000008	LOC108080419|XP_017030641.1|DKIK	LOC117898634|XP_034664087.1|DSUB
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC117898636|XP_034664090.1|DSUB
OG0000009	LOC108076150|XP_017024404.1|DKIK	LOC117896628|XP_034660961.1|DSUB
OG0000009	LOC108076246|XP_017024517.1|DKIK	LOC117898287|XP_034663434.1|DSUB
OG0000009	LOC108085665|XP_017037844.1|DKIK	LOC117899151|XP_034664850.1|DSUB
OG0000009	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB
OG0000009	LOC108070751|XP_017016837.1|DKIK	LOC117890282|XP_034650935.1|DSUB
OG0000009	LOC108080446|XP_017030671.1|DKIK	LOC117896426|XP_034660636.1|DSUB
OG0000009	LOC108082335|XP_017033154.1|DKIK	LOC117892376|XP_034654476.1|DSUB
OG0000009	LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK	LOC117892374|XP_034654475.1|DSUB
