Orthogroup	BCOP.longest_only	AALB.longest_only
OG0000001	LOC119082907|XP_037048458.1|BCOP, LOC119083964|XP_037049665.1|BCOP, LOC119075285|XP_037037567.1|BCOP	LOC118468339|XP_035794991.1|AALB
OG0000001	LOC119073001|XP_037034220.1|BCOP, LOC119082906|XP_037048457.1|BCOP, LOC119083547|XP_037049161.1|BCOP	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC118468694|XP_035795703.1|AALB, LOC118459237|XP_035778328.1|AALB, LOC118458182|XP_035776303.1|AALB, LOC118459508|XP_035778839.1|AALB, LOC118456268|XP_035772761.1|AALB, LOC118457654|XP_035775290.1|AALB, LOC118459238|XP_035778329.1|AALB, LOC118464692|XP_035788106.1|AALB, LOC118456323|XP_035772865.1|AALB, LOC118458617|XP_035777193.1|AALB, LOC118458644|XP_035777227.1|AALB, LOC118461733|XP_035783317.1|AALB, LOC118458183|XP_035776304.1|AALB, LOC118456824|XP_035773811.1|AALB, LOC118457023|XP_035774151.1|AALB, LOC118468355|XP_035795007.1|AALB, LOC118468356|XP_035795008.1|AALB, LOC118468357|XP_035795009.1|AALB, LOC118460283|XP_035780363.1|AALB, LOC118460284|XP_035780364.1|AALB, LOC118468351|XP_035795004.1|AALB, LOC118469072|XP_035796446.1|AALB, LOC118468749|XP_035795803.1|AALB, LOC118458922|XP_035777780.1|AALB, LOC118458008|XP_035775997.1|AALB, LOC118468353|XP_035795006.1|AALB, LOC118456235|XP_035772713.1|AALB, LOC118465266|XP_035789187.1|AALB, LOC118457044|XP_035774185.1|AALB, LOC118458856|XP_035777671.1|AALB, LOC118456430|XP_035773079.1|AALB, LOC118468507|XP_035795235.1|AALB, LOC118458857|XP_035777672.1|AALB, LOC118469029|XP_035796369.1|AALB, LOC118468365|XP_035795017.1|AALB, LOC118461873|XP_035783598.1|AALB, LOC118457751|XP_035775460.1|AALB, LOC118468382|XP_035795035.1|AALB, LOC118456529|XP_035773265.1|AALB, LOC118456164|XP_035772583.1|AALB, LOC118456192|XP_035772645.1|AALB, LOC118458235|XP_035776397.1|AALB, LOC118459223|XP_035778298.1|AALB, LOC118456846|XP_035773835.1|AALB, LOC118458234|XP_035776396.1|AALB, LOC118457157|XP_035774376.1|AALB, LOC118457285|XP_035774639.1|AALB, LOC118457478|XP_035774995.1|AALB, LOC118457030|XP_035774156.1|AALB, LOC118459170|XP_035778205.1|AALB, LOC118461972|XP_035783782.1|AALB, LOC118456933|XP_035773971.1|AALB, LOC118460861|XP_035781470.1|AALB, LOC118469051|XP_035796410.1|AALB
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB
OG0000003	LOC119068573|XP_037028113.1|BCOP	LOC118460891|XP_035781527.1|AALB, LOC118460889|XP_035781525.1|AALB, LOC118460897|XP_035781532.1|AALB
OG0000003	LOC119075880|XP_037038340.1|BCOP, LOC119071708|XP_037032596.1|BCOP	LOC118460890|XP_035781526.1|AALB, LOC118460888|XP_035781524.1|AALB, LOC118464960|XP_035788648.1|AALB
OG0000003	LOC119078496|XP_037041942.1|BCOP	LOC118468410|XP_035795067.1|AALB
OG0000003	LOC119081763|XP_037046852.1|BCOP, LOC119068720|XP_037028307.1|BCOP, LOC119067922|XP_037027121.1|BCOP, LOC119076082|XP_037038628.1|BCOP, LOC119077463|XP_037040564.1|BCOP, LOC119085325|XP_037051602.1|BCOP	LOC118457008|XP_035774126.1|AALB, LOC118457116|XP_035774311.1|AALB
OG0000003	LOC119080884|XP_037045357.1|BCOP, LOC119074508|XP_037036560.1|BCOP, LOC119084862|XP_037050890.1|BCOP	LOC118457004|XP_035774122.1|AALB, LOC118457009|XP_035774130.1|AALB
OG0000006	LOC119075512|XP_037037877.1|BCOP, LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP	LOC118465125|XP_035788959.1|AALB
OG0000006	LOC119075109|XP_037037393.1|BCOP	LOC118465118|XP_035788957.1|AALB
OG0000006	LOC119075400|XP_037037739.1|BCOP	LOC118465084|XP_035788881.1|AALB
OG0000008	LOC119076148|XP_037038725.1|BCOP	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC119067198|XP_037025928.1|BCOP	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC119077089|XP_037040143.1|BCOP	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC119067264|XP_037026041.1|BCOP	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP	LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB
OG0000010	LOC119077564|XP_037040669.1|BCOP	LOC118465135|XP_035788966.1|AALB
OG0000010	LOC119082442|XP_037047864.1|BCOP	LOC118464059|XP_035786999.1|AALB
OG0000012	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC119078237|XP_037041593.1|BCOP	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC119071389|XP_037032165.1|BCOP	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC119072742|XP_037033921.1|BCOP	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC119066014|XP_037024126.1|BCOP	LOC118462714|XP_035784546.1|AALB
OG0000014	LOC119082957|XP_037048500.1|BCOP	LOC118456863|XP_035773863.1|AALB, LOC118463648|XP_035786284.1|AALB, LOC118468421|XP_035795077.1|AALB
