Orthogroup	BCOP.longest_only	DPSE.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE, LOC6898698|XP_015040315.2|DPSE, LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE, LOC6896908|XP_033233090.1|DPSE, LOC6898695|XP_002138700.2|DPSE, LOC117184977|XP_033240205.1|DPSE, LOC6900000|XP_002135366.3|DPSE, LOC6899999|XP_033240207.1|DPSE, LOC4804691|XP_001361210.2|DPSE, LOC6896672|XP_033232290.1|DPSE, LOC26532949|XP_015039423.1|DPSE, LOC6896676|XP_033241757.1|DPSE, LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE, LOC117183963|XP_033235597.1|DPSE, LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE, LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE, LOC6897227|XP_002137399.2|DPSE, LOC6902907|XP_033236216.1|DPSE, LOC6898538|XP_033233460.1|DPSE, LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE, LOC6896813|XP_033232366.1|DPSE, LOC4801605|XP_001358672.2|DPSE, LOC13036336|XP_033233031.1|DPSE, LOC117183386|XP_033233030.1|DPSE, LOC117183385|XP_033233027.1|DPSE, LOC13036529|XP_033233038.1|DPSE, LOC6897761|XP_002137866.2|DPSE, LOC6897749|XP_033232309.1|DPSE, LOC6899372|XP_033233116.1|DPSE, LOC6896993|XP_033241798.1|DPSE, LOC26533415|XP_033234557.1|DPSE, LOC117183599|XP_033233927.1|DPSE, LOC6896992|XP_002137178.3|DPSE, LOC117183671|XP_033234253.1|DPSE, LOC117183249|XP_033232383.1|DPSE, LOC6898266|XP_002138332.3|DPSE, LOC6898641|XP_002138646.2|DPSE, LOC6898500|XP_002138541.2|DPSE, LOC13036393|XP_003736798.3|DPSE, LOC6897759|XP_002137864.4|DPSE, LOC6898293|XP_033233430.1|DPSE, LOC13036490|XP_003736302.2|DPSE
OG0000001	LOC119082907|XP_037048458.1|BCOP, LOC119083964|XP_037049665.1|BCOP, LOC119075285|XP_037037567.1|BCOP	LOC117184985|XP_033240229.1|DPSE
OG0000001	LOC119073001|XP_037034220.1|BCOP	LOC117184038|XP_033235938.1|DPSE
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE, LOC6900542|XP_033238667.1|DPSE
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC6902531|XP_002133071.3|DPSE
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	LOC6902590|XP_002133118.2|DPSE
OG0000004	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP	LOC117183568|XP_033233728.1|DPSE, LOC117185607|XP_033241635.1|DPSE, LOC117185606|XP_033241634.1|DPSE, LOC26532116|XP_015035138.1|DPSE, LOC117185600|XP_033241628.1|DPSE, LOC26534267|XP_015035134.1|DPSE, LOC117185633|XP_033241719.1|DPSE, LOC117185634|XP_033241720.1|DPSE, LOC26533245|XP_033241636.1|DPSE, LOC117185608|XP_033241637.1|DPSE, LOC117185631|XP_033241718.1|DPSE, LOC117185630|XP_033241717.1|DPSE, LOC26532398|XP_015035141.1|DPSE, LOC117183574|XP_033233756.1|DPSE, LOC117183621|XP_033234074.1|DPSE
OG0000005	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP	LOC6901707|XP_002134375.1|DPSE, LOC6901701|XP_015042049.1|DPSE
OG0000006	LOC119082428|XP_037047851.1|BCOP	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000006	LOC119082433|XP_037047857.1|BCOP, LOC119077570|XP_037040675.1|BCOP, LOC119082424|XP_037047848.1|BCOP, LOC119077558|XP_037040664.1|BCOP, LOC119075098|XP_037037382.1|BCOP, LOC119075115|XP_037037399.1|BCOP, LOC119075400|XP_037037739.1|BCOP, LOC119075402|XP_037037741.1|BCOP, LOC119075103|XP_037037386.1|BCOP, LOC119078394|XP_037041792.1|BCOP, LOC119077547|XP_037040651.1|BCOP	LOC117183581|XP_033233838.1|DPSE
