Orthogroup	BCOP.longest_only	CPIP.longest_only
OG0000001	LOC119084781|XP_037050738.1|BCOP, LOC119083939|XP_037049649.1|BCOP	LOC120417099|XP_039435012.1|CPIP
OG0000001	LOC119068942|XP_037028702.1|BCOP	LOC120423264|XP_039442932.1|CPIP, LOC120426540|XP_039447241.1|CPIP, LOC120417042|XP_039434925.1|CPIP, LOC120421883|XP_039441113.1|CPIP, LOC120429302|XP_039450463.1|CPIP, LOC120416037|XP_039433627.1|CPIP, LOC120431449|XP_039452501.1|CPIP, LOC120426986|XP_039447735.1|CPIP, LOC120428426|XP_039449370.1|CPIP, LOC120416036|XP_039433626.1|CPIP, LOC120429296|XP_039450458.1|CPIP, LOC120415069|XP_039432397.1|CPIP, LOC120412724|XP_039429244.1|CPIP, LOC120414879|XP_039432135.1|CPIP, LOC120425723|XP_039446262.1|CPIP, LOC120417659|XP_039435715.1|CPIP, LOC120427386|XP_039448170.1|CPIP, LOC120415834|XP_039433407.1|CPIP, LOC120416694|XP_039434444.1|CPIP
OG0000001	LOC119084767|XP_037050728.1|BCOP, LOC119071419|XP_037032191.1|BCOP, LOC119079853|XP_037043815.1|BCOP, LOC119083951|XP_037049655.1|BCOP, LOC119066006|XP_037024118.1|BCOP, LOC119082920|XP_037048471.1|BCOP, LOC119083910|XP_037049617.1|BCOP, LOC119066058|XP_037024178.1|BCOP, LOC119083512|XP_037049126.1|BCOP, LOC119081102|XP_037045737.1|BCOP, LOC119081228|XP_037045848.1|BCOP, LOC119076010|XP_037038490.1|BCOP	LOC120412441|XP_039428835.1|CPIP, LOC120418326|XP_039436592.1|CPIP, LOC120431370|XP_039452434.1|CPIP, LOC120419884|XP_039438683.1|CPIP, LOC120424001|XP_039443943.1|CPIP, LOC120418075|XP_039436266.1|CPIP, LOC120429246|XP_039450391.1|CPIP, LOC120423045|XP_039442655.1|CPIP, LOC120421351|XP_039440470.1|CPIP, LOC120418234|XP_039436470.1|CPIP, LOC120416204|XP_039433826.1|CPIP, LOC120426640|XP_039447365.1|CPIP, LOC120415987|XP_039433576.1|CPIP, LOC120413847|XP_039430737.1|CPIP, LOC120417943|XP_039436110.1|CPIP, LOC120423320|XP_039443015.1|CPIP, LOC120430489|XP_039451516.1|CPIP, LOC120421555|XP_039440716.1|CPIP
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC120432609|XP_039453790.1|CPIP, LOC120426099|XP_039446736.1|CPIP, LOC120422400|XP_039441752.1|CPIP, LOC120426484|XP_039447184.1|CPIP, LOC120414036|XP_039430992.1|CPIP, LOC120421041|XP_039440119.1|CPIP, LOC120421040|XP_039440118.1|CPIP, LOC120420327|XP_039439256.1|CPIP, LOC120428552|XP_039449518.1|CPIP, LOC120419373|XP_039437975.1|CPIP, LOC120419367|XP_039437970.1|CPIP, LOC120419375|XP_039437981.1|CPIP, LOC120419374|XP_039437979.1|CPIP, LOC120424381|XP_039444413.1|CPIP, LOC120424377|XP_039444408.1|CPIP, LOC120424379|XP_039444412.1|CPIP, LOC120424644|XP_039444747.1|CPIP, LOC120419372|XP_039437974.1|CPIP, LOC120413314|XP_039430016.1|CPIP
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC120419546|XP_039438193.1|CPIP, LOC120419521|XP_039438165.1|CPIP, LOC120418402|XP_039436711.1|CPIP, LOC120414094|XP_039431052.1|CPIP, LOC120418401|XP_039436709.1|CPIP, LOC120421142|XP_039440266.1|CPIP, LOC120424995|XP_039445299.1|CPIP, LOC120422665|XP_039442103.1|CPIP, LOC120422680|XP_039442124.1|CPIP, LOC120420901|XP_039439958.1|CPIP, LOC120422657|XP_039442096.1|CPIP, LOC120422666|XP_039442104.1|CPIP, LOC120422654|XP_039442094.1|CPIP, LOC120422658|XP_039442097.1|CPIP, LOC120420898|XP_039439952.1|CPIP, LOC120419545|XP_039438192.1|CPIP, LOC120419977|XP_039438786.1|CPIP, LOC120424991|XP_039445294.1|CPIP
OG0000003	LOC119068573|XP_037028113.1|BCOP	LOC120417737|XP_039435829.1|CPIP, LOC120419471|XP_039438091.1|CPIP, LOC120417750|XP_039435842.1|CPIP, LOC120426116|XP_039446753.1|CPIP, LOC120417719|XP_039435803.1|CPIP
OG0000003	LOC119075880|XP_037038340.1|BCOP, LOC119071708|XP_037032596.1|BCOP	LOC120417745|XP_039435837.1|CPIP, LOC120417746|XP_039435838.1|CPIP, LOC120416693|XP_039434443.1|CPIP, LOC120416692|XP_039434441.1|CPIP, LOC120431322|XP_039452390.1|CPIP, LOC120428937|XP_039450018.1|CPIP, LOC120431319|XP_039452387.1|CPIP, LOC120431320|XP_039452388.1|CPIP, LOC120431318|XP_039452385.1|CPIP
OG0000003	LOC119078496|XP_037041942.1|BCOP	LOC120417751|XP_039435843.1|CPIP
OG0000003	LOC119081763|XP_037046852.1|BCOP, LOC119068720|XP_037028307.1|BCOP, LOC119067922|XP_037027121.1|BCOP, LOC119076082|XP_037038628.1|BCOP, LOC119077463|XP_037040564.1|BCOP, LOC119085325|XP_037051602.1|BCOP	LOC120430921|XP_039451975.1|CPIP, LOC120430922|XP_039451976.1|CPIP, LOC120430925|XP_039451980.1|CPIP
OG0000003	LOC119080884|XP_037045357.1|BCOP, LOC119074508|XP_037036560.1|BCOP, LOC119084862|XP_037050890.1|BCOP	LOC120431835|XP_039452896.1|CPIP
OG0000006	LOC119075400|XP_037037739.1|BCOP	LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP
OG0000007	LOC119080766|XP_037045225.1|BCOP	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP
OG0000008	LOC119076148|XP_037038725.1|BCOP	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP
OG0000008	LOC119067198|XP_037025928.1|BCOP	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP
OG0000008	LOC119077089|XP_037040143.1|BCOP	LOC120421726|XP_039440908.1|CPIP
OG0000008	LOC119067264|XP_037026041.1|BCOP	LOC120421683|XP_039440852.1|CPIP
OG0000009	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP, LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP, LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP, LOC120413353|XP_039430071.1|CPIP, LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP
OG0000010	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP	LOC120430236|XP_039451249.1|CPIP, LOC120425524|XP_039446013.1|CPIP
OG0000010	LOC119077573|XP_037040679.1|BCOP, LOC119082505|XP_037047916.1|BCOP, LOC119075112|XP_037037396.1|BCOP, LOC119077564|XP_037040669.1|BCOP, LOC119075517|XP_037037883.1|BCOP	LOC120422947|XP_039442463.1|CPIP
OG0000010	LOC119077572|XP_037040677.1|BCOP, LOC119078399|XP_037041797.1|BCOP, LOC119077565|XP_037040670.1|BCOP, LOC119078398|XP_037041796.1|BCOP, LOC119067746|XP_037026771.1|BCOP, LOC119075105|XP_037037388.1|BCOP, LOC119075519|XP_037037884.1|BCOP, LOC119082442|XP_037047864.1|BCOP, LOC119082500|XP_037047910.1|BCOP, LOC119070779|XP_037031153.1|BCOP	LOC120415441|XP_039432923.1|CPIP
OG0000012	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP
OG0000013	LOC119078237|XP_037041593.1|BCOP	LOC120421446|XP_039440586.1|CPIP
OG0000013	LOC119071389|XP_037032165.1|BCOP	LOC120414719|XP_039431959.1|CPIP
OG0000013	LOC119072742|XP_037033921.1|BCOP	LOC120419254|XP_039437842.1|CPIP
OG0000013	LOC119068977|XP_037028742.1|BCOP	LOC120420165|XP_039439065.1|CPIP
OG0000013	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP
OG0000014	LOC119066014|XP_037024126.1|BCOP	LOC120413983|XP_039430927.1|CPIP, LOC120421589|XP_039440753.1|CPIP, LOC120429879|XP_039450893.1|CPIP, LOC120432134|XP_039453197.1|CPIP
OG0000014	LOC119077000|XP_037040000.1|BCOP	LOC120412868|XP_039429433.1|CPIP
OG0000014	LOC119082466|XP_037047880.1|BCOP, LOC119079734|XP_037043693.1|BCOP	LOC120425462|XP_039445926.1|CPIP, LOC120418631|XP_039437010.1|CPIP, LOC120418890|XP_039437355.1|CPIP, LOC120415265|XP_039432667.1|CPIP, LOC120425233|XP_039445597.1|CPIP, LOC120420345|XP_039439273.1|CPIP, LOC120428568|XP_039449536.1|CPIP, LOC120430513|XP_039451546.1|CPIP, LOC120426603|XP_039447331.1|CPIP, LOC120430514|XP_039451547.1|CPIP, LOC120415244|XP_039432642.1|CPIP, LOC120417025|XP_039434897.1|CPIP, LOC120428852|XP_039449909.1|CPIP, LOC120425900|XP_039446450.1|CPIP, LOC120430029|XP_039451057.1|CPIP, LOC120431483|XP_039452531.1|CPIP, LOC120420555|XP_039439556.1|CPIP, LOC120415798|XP_039433357.1|CPIP, LOC120412913|XP_039429482.1|CPIP, LOC120415736|XP_039433265.1|CPIP, LOC120420857|XP_039439909.1|CPIP, LOC120418925|XP_039437390.1|CPIP, LOC120427189|XP_039447986.1|CPIP, LOC120414628|XP_039431796.1|CPIP, LOC120427936|XP_039448815.1|CPIP, LOC120412626|XP_039429145.1|CPIP, LOC120425751|XP_039446291.1|CPIP
OG0000016	LOC119069122|XP_037028916.1|BCOP	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP
OG0000016	LOC119073565|XP_037035016.1|BCOP	LOC120429254|XP_039450404.1|CPIP
OG0000016	LOC119071771|XP_037032720.1|BCOP	LOC120432396|XP_039453527.1|CPIP
OG0000016	LOC119070068|XP_037030257.1|BCOP	LOC120421049|XP_039440125.1|CPIP
