Orthogroup	BCOP.longest_only	DSUP.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP, LOC119551980|XP_037717623.1|DSUP, LOC119548573|XP_037711818.1|DSUP, LOC119560985|XP_037730690.1|DSUP, LOC119551998|XP_037717650.1|DSUP, LOC119555358|XP_037722624.1|DSUP, LOC119555354|XP_037722619.1|DSUP, LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP, LOC119549854|XP_037714077.1|DSUP, LOC119563094|XP_037732252.1|DSUP, LOC119551506|XP_037716808.1|DSUP, LOC119562944|XP_037732029.1|DSUP, LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP, LOC119553046|XP_037719085.1|DSUP, LOC119546175|XP_037708225.1|DSUP, LOC119549570|XP_037713651.1|DSUP, LOC119549516|XP_037713556.1|DSUP, LOC119555097|XP_037722243.1|DSUP, LOC119548144|XP_037711170.1|DSUP, LOC119562016|XP_037731317.1|DSUP, LOC119554309|XP_037721101.1|DSUP, LOC119563229|XP_037732462.1|DSUP, LOC119547184|XP_037709847.1|DSUP, LOC119552082|XP_037717789.1|DSUP, LOC119547564|XP_037710393.1|DSUP, LOC119546339|XP_037708468.1|DSUP, LOC119548570|XP_037711816.1|DSUP, LOC119549506|XP_037713545.1|DSUP, LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP, LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP, LOC119563146|XP_037732330.1|DSUP, LOC119560562|XP_037730007.1|DSUP, LOC119552808|XP_037718574.1|DSUP, LOC119555364|XP_037722629.1|DSUP, LOC119555366|XP_037722632.1|DSUP, LOC119555360|XP_037722626.1|DSUP, LOC119555363|XP_037722628.1|DSUP, LOC119555440|XP_037722739.1|DSUP, LOC119555832|XP_037723387.1|DSUP
OG0000001	LOC119082907|XP_037048458.1|BCOP, LOC119083964|XP_037049665.1|BCOP, LOC119075285|XP_037037567.1|BCOP	LOC119561984|XP_037731306.1|DSUP
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC119546867|XP_037709399.1|DSUP, LOC119547584|XP_037710417.1|DSUP, LOC119548714|XP_037712115.1|DSUP, LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	LOC119546510|XP_037708761.1|DSUP
OG0000004	LOC119078390|XP_037041787.1|BCOP, LOC119082494|XP_037047903.1|BCOP, LOC119082432|XP_037047856.1|BCOP, LOC119075114|XP_037037398.1|BCOP, LOC119082987|XP_037048519.1|BCOP, LOC119075509|XP_037037873.1|BCOP, LOC119082986|XP_037048518.1|BCOP, LOC119082985|XP_037048517.1|BCOP, LOC119082988|XP_037048520.1|BCOP, LOC119082984|XP_037048516.1|BCOP, LOC119082502|XP_037047913.1|BCOP, LOC119082438|XP_037047861.1|BCOP, LOC119082497|XP_037047907.1|BCOP, LOC119075397|XP_037037733.1|BCOP, LOC119075096|XP_037037380.1|BCOP, LOC119075107|XP_037037391.1|BCOP, LOC119075106|XP_037037389.1|BCOP, LOC119075385|XP_037037720.1|BCOP, LOC119082420|XP_037047844.1|BCOP, LOC119078395|XP_037041793.1|BCOP, LOC119075102|XP_037037385.1|BCOP, LOC119082426|XP_037047850.1|BCOP, LOC119077554|XP_037040659.1|BCOP, LOC119077569|XP_037040674.1|BCOP, LOC119077555|XP_037040660.1|BCOP, LOC119077550|XP_037040655.1|BCOP, LOC119070770|XP_037031148.1|BCOP, LOC119070783|XP_037031156.1|BCOP, LOC119070771|XP_037031149.1|BCOP	LOC119561499|XP_037731078.1|DSUP
OG0000004	LOC119078393|XP_037041791.1|BCOP	LOC119561503|XP_037731081.1|DSUP, LOC119561533|XP_037731112.1|DSUP, LOC119561508|XP_037731087.1|DSUP
OG0000005	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP	LOC119559204|XP_037728202.1|DSUP, LOC119559203|XP_037728200.1|DSUP, LOC119547991|XP_037710975.1|DSUP, LOC119559202|XP_037728198.1|DSUP, LOC119547992|XP_037710977.1|DSUP, LOC119559198|XP_037728191.1|DSUP, LOC119561464|XP_037731045.1|DSUP, LOC119546625|XP_037708992.1|DSUP, LOC119561418|XP_037731001.1|DSUP, LOC119548248|XP_037711317.1|DSUP, LOC119559195|XP_037728185.1|DSUP, LOC119559194|XP_037728183.1|DSUP, LOC119547945|XP_037710922.1|DSUP, LOC119559201|XP_037728196.1|DSUP, LOC119559197|XP_037728189.1|DSUP, LOC119547944|XP_037710920.1|DSUP, LOC119559200|XP_037728193.1|DSUP, LOC119546493|XP_037708718.1|DSUP, LOC119561417|XP_037730999.1|DSUP, LOC119561470|XP_037731051.1|DSUP, LOC119561465|XP_037731047.1|DSUP, LOC119559196|XP_037728187.1|DSUP, LOC119561467|XP_037731049.1|DSUP, LOC119546624|XP_037708989.1|DSUP, LOC119561415|XP_037730997.1|DSUP
OG0000005	LOC119077560|XP_037040666.1|BCOP, LOC119075403|XP_037037742.1|BCOP, LOC119082441|XP_037047863.1|BCOP, LOC119075506|XP_037037868.1|BCOP, LOC119075097|XP_037037381.1|BCOP, LOC119082499|XP_037047909.1|BCOP	LOC119559588|XP_037728530.1|DSUP
OG0000006	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP	LOC119559257|XP_037728256.1|DSUP
