Orthogroup	BCOP.longest_only	DSEC.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	LOC116801307|XP_032576000.1|DSEC, LOC6605054|XP_032575159.1|DSEC, LOC6612593|XP_002037098.2|DSEC, LOC116800509|XP_032571804.1|DSEC, LOC6611330|XP_002035877.1|DSEC, LOC6606995|XP_002031784.1|DSEC, LOC6608865|XP_002033579.1|DSEC, LOC6605884|XP_032575999.1|DSEC, LOC6605885|XP_032575997.1|DSEC, LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC, LOC6618886|XP_002043134.2|DSEC, LOC6607083|XP_032579519.1|DSEC, LOC6612938|XP_032579196.1|DSEC, LOC6613111|XP_032569894.1|DSEC, LOC6612936|XP_002037428.1|DSEC, LOC6611813|XP_002036335.1|DSEC, LOC6607813|XP_032578052.1|DSEC, LOC6608931|XP_002033645.2|DSEC, LOC6609340|XP_032572102.1|DSEC, LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC, LOC6616347|XP_002040707.1|DSEC, LOC116800542|XP_032571951.1|DSEC, LOC116803586|XP_032583371.1|DSEC, LOC116801073|XP_032574487.1|DSEC, LOC6612926|XP_032578042.1|DSEC, LOC6612925|XP_002037417.1|DSEC, LOC6611281|XP_032582965.1|DSEC, LOC116801718|XP_032578762.1|DSEC, LOC6614481|XP_002038914.1|DSEC, LOC116801308|XP_032576001.1|DSEC, LOC6609904|XP_032570140.1|DSEC, LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC, LOC6612634|XP_002037138.2|DSEC, LOC6613854|XP_002038323.1|DSEC, LOC6605446|XP_002030279.1|DSEC
OG0000001	LOC119082906|XP_037048457.1|BCOP, LOC119083547|XP_037049161.1|BCOP	LOC116801168|XP_032575066.1|DSEC
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC6611325|XP_002035872.2|DSEC, LOC6619439|XP_032575015.1|DSEC
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC6613615|XP_032570344.1|DSEC
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	LOC6613508|XP_002037976.1|DSEC
OG0000007	LOC119080766|XP_037045225.1|BCOP	LOC116800972|XP_032573823.1|DSEC, LOC6610954|XP_002035511.1|DSEC, LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC, LOC6613406|XP_032583270.1|DSEC, LOC6608215|XP_032572281.1|DSEC, LOC6612871|XP_002037363.1|DSEC, LOC6612775|XP_032579057.1|DSEC, LOC6613407|XP_032570241.1|DSEC, LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC, LOC6610955|XP_032575304.1|DSEC, LOC6610956|XP_002035513.1|DSEC
OG0000008	LOC119076148|XP_037038725.1|BCOP	LOC6619063|XP_002043304.1|DSEC
OG0000008	LOC119067198|XP_037025928.1|BCOP	LOC6610740|XP_002035306.1|DSEC
OG0000008	LOC119077089|XP_037040143.1|BCOP	LOC6617678|XP_002041991.1|DSEC
OG0000008	LOC119067264|XP_037026041.1|BCOP	LOC6610741|XP_002035307.2|DSEC
