Orthogroup	BCOP.longest_only	DKIK.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	LOC108078585|XP_017027994.1|DKIK, LOC108077905|XP_017026932.1|DKIK, LOC108084016|XP_017035518.1|DKIK, LOC108085530|XP_017037652.1|DKIK, LOC108077933|XP_017026960.1|DKIK, LOC108078602|XP_017028011.1|DKIK, LOC108078603|XP_017028013.1|DKIK, LOC108072234|XP_017018785.1|DKIK, LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK, LOC108085307|XP_017037354.1|DKIK, LOC108080866|XP_017031258.1|DKIK, LOC108085308|XP_017037355.1|DKIK, LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK, LOC108085312|XP_017037357.1|DKIK, LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK, LOC108080870|XP_017031262.1|DKIK, LOC108080867|XP_017031259.1|DKIK, LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK, LOC108073657|XP_017020873.1|DKIK, LOC108073658|XP_017020874.1|DKIK, LOC108073660|XP_017020875.1|DKIK, LOC108073704|XP_017020929.1|DKIK, LOC108073703|XP_017020927.1|DKIK, LOC108080896|XP_017031287.1|DKIK, LOC108080463|XP_017030690.1|DKIK, LOC108070739|XP_017016824.1|DKIK, LOC108082281|XP_017033101.1|DKIK, LOC108075384|XP_017023284.1|DKIK, LOC108076851|XP_017025370.1|DKIK, LOC108086044|XP_017038352.1|DKIK, LOC108070814|XP_017016902.1|DKIK, LOC108070634|XP_017016690.1|DKIK, LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK, LOC108078600|XP_017028009.1|DKIK, LOC108078601|XP_017028010.1|DKIK, LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK, LOC108076854|XP_017025373.1|DKIK, LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK, LOC108074035|XP_017021392.1|DKIK, LOC108074412|XP_017021929.1|DKIK
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC108080319|XP_017030503.1|DKIK, LOC108079700|XP_017029594.1|DKIK, LOC108073777|XP_017021033.1|DKIK, LOC108073812|XP_017021076.1|DKIK, LOC108074354|XP_017021869.1|DKIK, LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC108077339|XP_017026117.1|DKIK, LOC108086114|XP_017038438.1|DKIK, LOC108086113|XP_017038437.1|DKIK, LOC108086115|XP_017038439.1|DKIK, LOC108086110|XP_017038435.1|DKIK, LOC108086111|XP_017038436.1|DKIK, LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK, LOC108082669|XP_017033655.1|DKIK
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	LOC108073603|XP_017020784.1|DKIK
OG0000004	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP	LOC108073963|XP_017021295.1|DKIK
OG0000005	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP	LOC108085749|XP_017037978.1|DKIK
OG0000006	LOC119075108|XP_037037392.1|BCOP, LOC119077549|XP_037040654.1|BCOP, LOC119075514|XP_037037880.1|BCOP, LOC119075099|XP_037037383.1|BCOP, LOC119075513|XP_037037878.1|BCOP, LOC119075512|XP_037037877.1|BCOP, LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP, LOC119077557|XP_037040663.1|BCOP, LOC119075401|XP_037037740.1|BCOP, LOC119075109|XP_037037393.1|BCOP	LOC108072846|XP_017019650.1|DKIK
OG0000006	LOC119075400|XP_037037739.1|BCOP	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK
OG0000007	LOC119080766|XP_037045225.1|BCOP	LOC108071918|XP_017018366.1|DKIK, LOC108071584|XP_017017854.1|DKIK, LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK, LOC108086265|XP_017038640.1|DKIK, LOC108078491|XP_017027862.1|DKIK, LOC108073664|XP_017020878.1|DKIK, LOC108073665|XP_017020880.1|DKIK, LOC108077603|XP_017026488.1|DKIK, LOC108086266|XP_017038642.1|DKIK, LOC108078726|XP_017028216.1|DKIK, LOC108078727|XP_017028217.1|DKIK, LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK, LOC108071626|XP_017017898.1|DKIK, LOC108071627|XP_017017899.1|DKIK
OG0000008	LOC119076148|XP_037038725.1|BCOP	LOC108081759|XP_017032449.1|DKIK
