Orthogroup	BCOP.longest_only	DSIM.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM, LOC27208741|XP_016036703.2|DSIM, LOC6734181|XP_016027194.1|DSIM, LOC6732391|XP_002079512.1|DSIM, LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM, LOC6734183|XP_002081212.2|DSIM, LOC6738254|XP_039150029.1|DSIM, LOC6738257|XP_016032137.1|DSIM, LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM, LOC6736137|XP_002083037.1|DSIM, LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM, LOC6730295|XP_016037057.1|DSIM, LOC6730724|XP_016023153.2|DSIM, LOC6730293|XP_039151545.1|DSIM, LOC6731633|XP_002078773.1|DSIM, LOC6729478|XP_002104788.3|DSIM, LOC6734251|XP_039147854.1|DSIM, LOC6734670|XP_039148016.1|DSIM, LOC27209298|XP_016030381.1|DSIM, LOC6738897|XP_002085692.1|DSIM, LOC6734178|XP_002081207.1|DSIM, LOC6730565|XP_016023011.1|DSIM, LOC6730566|XP_002077745.1|DSIM, LOC6736799|XP_039149212.1|DSIM, LOC6730283|XP_016037045.1|DSIM, LOC6730282|XP_002105565.2|DSIM, LOC6732333|XP_039152942.1|DSIM, LOC6729069|XP_016035716.1|DSIM, LOC6732608|XP_002079727.1|DSIM, LOC6735227|XP_002082200.1|DSIM, LOC6735228|XP_002082201.1|DSIM, LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM, LOC6736070|XP_039148852.1|DSIM, LOC6729989|XP_002105283.1|DSIM, LOC6726722|XP_002102133.3|DSIM, LOC6738252|XP_002085064.1|DSIM, LOC6738253|XP_039150090.1|DSIM, LOC6737828|XP_002084656.1|DSIM
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC6738777|XP_016032596.1|DSIM
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC6731201|XP_002078360.1|DSIM
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	LOC6731100|XP_002078257.3|DSIM
OG0000005	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP	LOC120285806|XP_039154356.1|DSIM, LOC120285548|XP_039154138.1|DSIM, LOC120285275|XP_039152669.1|DSIM, LOC120285808|XP_039154358.1|DSIM, LOC120285276|XP_039152679.1|DSIM, LOC120285549|XP_039154139.1|DSIM, LOC27207875|XP_039154141.1|DSIM, LOC120285271|XP_039152664.1|DSIM, LOC120285267|XP_039152656.1|DSIM, LOC120285804|XP_039154354.1|DSIM, LOC6740385|XP_002077244.1|DSIM, LOC120285805|XP_039154355.1|DSIM, LOC120285550|XP_039154140.1|DSIM, LOC120285279|XP_039152693.1|DSIM, LOC120285268|XP_039152661.1|DSIM, LOC120285547|XP_039154137.1|DSIM, LOC120285807|XP_039154357.1|DSIM
OG0000006	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP	LOC120285545|XP_039154135.1|DSIM
OG0000006	LOC119077557|XP_037040663.1|BCOP	LOC6740317|XP_002077189.3|DSIM
OG0000006	LOC119075400|XP_037037739.1|BCOP	LOC27208095|XP_016025859.1|DSIM
OG0000007	LOC119080766|XP_037045225.1|BCOP	LOC6738477|XP_016032322.1|DSIM, LOC6736955|XP_002083802.1|DSIM, LOC6736956|XP_002083803.1|DSIM, LOC6736953|XP_002083800.1|DSIM, LOC6736951|XP_016030595.1|DSIM, LOC6736948|XP_039149135.1|DSIM, LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM, LOC6736952|XP_002083799.1|DSIM, LOC6736950|XP_039149136.1|DSIM, LOC120284734|XP_039149214.1|DSIM, LOC6731020|XP_002078181.1|DSIM, LOC6733581|XP_002080635.1|DSIM, LOC6730230|XP_002105513.1|DSIM, LOC6740467|XP_002077312.3|DSIM, LOC6730231|XP_002105514.2|DSIM, LOC120284928|XP_039150400.1|DSIM, LOC6730135|XP_039150399.1|DSIM, LOC6731021|XP_002078182.1|DSIM, LOC6737273|XP_039149649.1|DSIM, LOC27206286|XP_016030986.1|DSIM, LOC6731019|XP_002078180.2|DSIM, LOC6736957|XP_016030597.1|DSIM, LOC27207276|XP_016030598.2|DSIM
OG0000008	LOC119076148|XP_037038725.1|BCOP	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC119067198|XP_037025928.1|BCOP	LOC6736741|XP_002083597.1|DSIM
OG0000008	LOC119077089|XP_037040143.1|BCOP	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC119067264|XP_037026041.1|BCOP	LOC6736742|XP_002083598.1|DSIM
OG0000009	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP	LOC6727419|XP_002102801.1|DSIM, LOC6727422|XP_002102804.2|DSIM, LOC6727423|XP_016033975.1|DSIM, LOC6727420|XP_002102802.1|DSIM, LOC6736925|XP_002083772.1|DSIM, LOC6736926|XP_002083773.1|DSIM, LOC6736062|XP_002082963.1|DSIM, LOC6728414|XP_016035007.1|DSIM, LOC6734157|XP_002081186.1|DSIM, LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM
OG0000010	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP	LOC120285280|XP_039152696.1|DSIM
OG0000010	LOC119077564|XP_037040669.1|BCOP	LOC120285282|XP_039152699.1|DSIM
OG0000012	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP	LOC6735247|XP_016028572.1|DSIM, LOC6735246|XP_016028570.1|DSIM, LOC6735245|XP_016028569.1|DSIM, LOC6735248|XP_016028574.1|DSIM, LOC6735250|XP_002082223.1|DSIM, LOC6735249|XP_016028575.1|DSIM, LOC6734131|XP_002081160.1|DSIM, LOC6734132|XP_016027145.1|DSIM, LOC6734133|XP_002081162.3|DSIM, LOC6734134|XP_016027146.1|DSIM, LOC6734135|XP_002081164.1|DSIM, LOC6734136|XP_016027147.1|DSIM
OG0000013	LOC119078237|XP_037041593.1|BCOP	LOC6734455|XP_002081474.1|DSIM
OG0000013	LOC119071389|XP_037032165.1|BCOP	LOC6725717|XP_016038992.1|DSIM
OG0000013	LOC119072742|XP_037033921.1|BCOP	LOC6728006|XP_016034604.1|DSIM
OG0000013	LOC119068977|XP_037028742.1|BCOP	LOC6728269|XP_002103618.2|DSIM
OG0000013	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP	LOC6729335|XP_016035977.1|DSIM, LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM
OG0000014	LOC119066014|XP_037024126.1|BCOP	LOC120284347|XP_039147384.1|DSIM
OG0000016	LOC119069122|XP_037028916.1|BCOP	LOC6728214|XP_016034853.1|DSIM, LOC6735456|XP_002082396.1|DSIM
OG0000016	LOC119071771|XP_037032720.1|BCOP	LOC6728317|XP_002103666.1|DSIM
OG0000016	LOC119070068|XP_037030257.1|BCOP	LOC6725225|XP_016038239.1|DSIM
OG0000016	LOC119072263|XP_037033347.1|BCOP	LOC6739089|XP_016032930.1|DSIM
OG0000018	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP	LOC6736980|XP_002083827.1|DSIM
OG0000018	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP	LOC6736987|XP_002083834.1|DSIM, LOC6736983|XP_002083830.1|DSIM, LOC6736982|XP_002083829.1|DSIM, LOC6736975|XP_002083822.1|DSIM, LOC120284721|XP_039149126.1|DSIM, LOC6736977|XP_016030614.1|DSIM, LOC120284720|XP_039149125.1|DSIM
