Orthogroup	BCOP.longest_only	SLEB.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	LOC115634489|XP_030388106.1|SLEB, LOC115634408|XP_030387964.1|SLEB, LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB, LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB, LOC115625399|XP_030376298.1|SLEB, LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB, LOC115632651|XP_030385741.1|SLEB, LOC115623741|XP_030374114.1|SLEB
OG0000001	LOC119073001|XP_037034220.1|BCOP, LOC119082906|XP_037048457.1|BCOP, LOC119083547|XP_037049161.1|BCOP	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC115633967|XP_030387348.1|SLEB, LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	LOC115628616|XP_030380660.1|SLEB
OG0000004	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB
OG0000004	LOC119078390|XP_037041787.1|BCOP, LOC119082494|XP_037047903.1|BCOP, LOC119082432|XP_037047856.1|BCOP, LOC119075114|XP_037037398.1|BCOP, LOC119082987|XP_037048519.1|BCOP, LOC119075509|XP_037037873.1|BCOP, LOC119082986|XP_037048518.1|BCOP, LOC119082985|XP_037048517.1|BCOP, LOC119082988|XP_037048520.1|BCOP, LOC119082984|XP_037048516.1|BCOP, LOC119082502|XP_037047913.1|BCOP, LOC119082438|XP_037047861.1|BCOP, LOC119082497|XP_037047907.1|BCOP, LOC119075397|XP_037037733.1|BCOP, LOC119075096|XP_037037380.1|BCOP, LOC119075107|XP_037037391.1|BCOP, LOC119075106|XP_037037389.1|BCOP, LOC119075385|XP_037037720.1|BCOP, LOC119082420|XP_037047844.1|BCOP, LOC119078395|XP_037041793.1|BCOP, LOC119075102|XP_037037385.1|BCOP, LOC119082426|XP_037047850.1|BCOP, LOC119077554|XP_037040659.1|BCOP, LOC119077569|XP_037040674.1|BCOP, LOC119077555|XP_037040660.1|BCOP, LOC119077550|XP_037040655.1|BCOP, LOC119070770|XP_037031148.1|BCOP, LOC119070783|XP_037031156.1|BCOP, LOC119070771|XP_037031149.1|BCOP	LOC115630292|XP_030382688.1|SLEB, LOC115630349|XP_030382742.1|SLEB, LOC115630350|XP_030382743.1|SLEB, LOC115630290|XP_030382685.1|SLEB, LOC115630360|XP_030382754.1|SLEB, LOC115630289|XP_030382684.1|SLEB
OG0000004	LOC119078393|XP_037041791.1|BCOP	LOC115633467|XP_030386783.1|SLEB, LOC115633464|XP_030386779.1|SLEB, LOC115633591|XP_030386895.1|SLEB, LOC115630342|XP_030382736.1|SLEB
OG0000005	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP	LOC115630367|XP_030382760.1|SLEB, LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB
OG0000006	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP	LOC115630364|XP_030382757.1|SLEB
OG0000006	LOC119075401|XP_037037740.1|BCOP	LOC115630345|XP_030382738.1|SLEB
