Orthogroup	BCOP.longest_only	CCAP.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	CCAP1982_LOCUS12926|CAD7004529.1|CCAP, CCAP1982_LOCUS22421|CAD7014425.1|CCAP, CCAP1982_LOCUS21492|CAD7013428.1|CCAP, CCAP1982_LOCUS21491|CAD7013427.1|CCAP, CCAP1982_LOCUS22897|CAD7014934.1|CCAP, CCAP1982_LOCUS22474|CAD7014476.1|CCAP, CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP, CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP, CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP, CCAP1982_LOCUS21509|CAD7013444.1|CCAP, CCAP1982_LOCUS21510|CAD7013445.1|CCAP, CCAP1982_LOCUS20915|CAD7012815.1|CCAP, CCAP1982_LOCUS20916|CAD7012816.1|CCAP, CCAP1982_LOCUS11001|CAD7002512.1|CCAP, CCAP1982_LOCUS5425|CAD6996746.1|CCAP
OG0000001	LOC119084781|XP_037050738.1|BCOP, LOC119083939|XP_037049649.1|BCOP	CCAP1982_LOCUS13102|CAD7004709.1|CCAP
OG0000001	LOC119082907|XP_037048458.1|BCOP, LOC119083964|XP_037049665.1|BCOP, LOC119075285|XP_037037567.1|BCOP	CCAP1982_LOCUS9920|CAD7001423.1|CCAP
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	CCAP1982_LOCUS12389|CAD7003966.1|CCAP, CCAP1982_LOCUS4991|CAD6996312.1|CCAP
OG0000002	LOC119076785|XP_037039644.1|BCOP	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP, CCAP1982_LOCUS1975|CAD6993149.1|CCAP
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
OG0000004	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP, LOC119078390|XP_037041787.1|BCOP, LOC119082494|XP_037047903.1|BCOP, LOC119082432|XP_037047856.1|BCOP, LOC119075114|XP_037037398.1|BCOP, LOC119082987|XP_037048519.1|BCOP, LOC119075509|XP_037037873.1|BCOP, LOC119082986|XP_037048518.1|BCOP, LOC119082985|XP_037048517.1|BCOP, LOC119082988|XP_037048520.1|BCOP, LOC119082984|XP_037048516.1|BCOP, LOC119082502|XP_037047913.1|BCOP, LOC119082438|XP_037047861.1|BCOP, LOC119082497|XP_037047907.1|BCOP, LOC119075397|XP_037037733.1|BCOP, LOC119075096|XP_037037380.1|BCOP, LOC119075107|XP_037037391.1|BCOP, LOC119075106|XP_037037389.1|BCOP, LOC119075385|XP_037037720.1|BCOP, LOC119082420|XP_037047844.1|BCOP, LOC119078395|XP_037041793.1|BCOP, LOC119075102|XP_037037385.1|BCOP, LOC119082426|XP_037047850.1|BCOP, LOC119077554|XP_037040659.1|BCOP, LOC119077569|XP_037040674.1|BCOP, LOC119077555|XP_037040660.1|BCOP, LOC119077550|XP_037040655.1|BCOP, LOC119070770|XP_037031148.1|BCOP, LOC119070783|XP_037031156.1|BCOP, LOC119070771|XP_037031149.1|BCOP	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000006	LOC119082428|XP_037047851.1|BCOP	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000006	LOC119077558|XP_037040664.1|BCOP, LOC119075098|XP_037037382.1|BCOP, LOC119075115|XP_037037399.1|BCOP, LOC119075400|XP_037037739.1|BCOP, LOC119075402|XP_037037741.1|BCOP, LOC119075103|XP_037037386.1|BCOP	CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000007	LOC119080766|XP_037045225.1|BCOP	CCAP1982_LOCUS12644|CAD7004225.1|CCAP, CCAP1982_LOCUS12645|CAD7004226.1|CCAP, CCAP1982_LOCUS12646|CAD7004227.1|CCAP, CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP, CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
