Orthogroup	DERE.longest_only	DPSE.longest_only
OG0000000	LOC6555364|XP_026831619.1|DERE	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE
OG0000000	LOC6541982|XP_001968936.1|DERE	LOC6898698|XP_015040315.2|DPSE
OG0000000	LOC6552159|XP_001980711.1|DERE	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC117184977|XP_033240205.1|DPSE
OG0000000	LOC6544813|XP_001973192.2|DERE	LOC6900000|XP_002135366.3|DPSE
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC6899999|XP_033240207.1|DPSE
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE, LOC6554922|XP_001981127.2|DERE, LOC6554923|XP_001981128.1|DERE	LOC6896672|XP_033232290.1|DPSE
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE
OG0000000	LOC26526690|XP_015009401.1|DERE	LOC6897227|XP_002137399.2|DPSE
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC6902907|XP_033236216.1|DPSE
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC4801605|XP_001358672.2|DPSE
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC6540746|XP_001968931.3|DERE	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC6900542|XP_033238667.1|DPSE
OG0000003	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC6554587|XP_001981543.2|DERE, LOC6548982|XP_001975565.1|DERE	LOC4804982|XP_001361456.3|DPSE
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC4803409|XP_001360156.1|DPSE
OG0000003	LOC26526619|XP_015012824.1|DERE, LOC6549104|XP_001975569.3|DERE	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE
OG0000003	LOC6549102|XP_001975567.1|DERE	LOC4804980|XP_001361454.1|DPSE
OG0000003	LOC6549105|XP_001975570.1|DERE	LOC4804975|XP_001361450.3|DPSE
OG0000003	LOC6541262|XP_001970448.1|DERE	LOC4804978|XP_001361452.2|DPSE
OG0000003	LOC6543237|XP_001970449.1|DERE	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000003	LOC6543184|XP_001968830.1|DERE	LOC6902590|XP_002133118.2|DPSE
OG0000006	LOC6548669|XP_001974020.1|DERE	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000006	LOC6548691|XP_001974010.1|DERE, LOC113564799|XP_026839447.1|DERE, LOC6548739|XP_001973990.1|DERE	LOC117183581|XP_033233838.1|DPSE
OG0000007	LOC6546441|XP_001972927.1|DERE	LOC6900428|XP_002134819.1|DPSE
OG0000007	LOC6545298|XP_001972056.1|DERE	LOC5495512|XP_001353851.2|DPSE
OG0000007	LOC6545299|XP_001972057.1|DERE	LOC5495507|XP_001353849.1|DPSE
OG0000007	LOC6540938|XP_001968734.1|DERE	LOC5495509|XP_001355939.3|DPSE
OG0000007	LOC6540876|XP_001968735.1|DERE	LOC4816610|XP_001355938.2|DPSE
OG0000007	LOC6545660|XP_001971664.1|DERE	LOC4813941|XP_001354103.1|DPSE
OG0000007	LOC6540935|XP_001968733.1|DERE	LOC4816998|XP_001356721.3|DPSE
OG0000007	LOC6545300|XP_001972058.2|DERE	LOC4813497|XP_001353852.2|DPSE
OG0000007	LOC6545301|XP_001972059.1|DERE	LOC4813468|XP_001353840.2|DPSE
OG0000008	LOC6553905|XP_001979522.1|DERE	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC6543716|XP_001971859.1|DERE	LOC6900302|XP_002135624.1|DPSE
OG0000008	LOC6543719|XP_001971862.1|DERE	LOC6900304|XP_002135626.2|DPSE
OG0000008	LOC6541660|XP_001969797.3|DERE	LOC6903158|XP_002132860.2|DPSE
OG0000008	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	LOC6553016|XP_001979107.1|DERE	LOC4802270|XP_033239768.1|DPSE
OG0000008	LOC6553019|XP_001979110.3|DERE	LOC4802267|XP_001359221.4|DPSE
OG0000008	LOC6553017|XP_001979108.1|DERE	LOC117184116|XP_033236234.1|DPSE
OG0000008	LOC6553015|XP_001979106.1|DERE	LOC4802269|XP_001359223.2|DPSE
OG0000009	LOC6554105|XP_001979501.1|DERE	LOC6897995|XP_002138092.2|DPSE
OG0000009	LOC6554107|XP_001979503.1|DERE	LOC4803283|XP_001360048.3|DPSE
OG0000009	LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE
OG0000009	LOC6548094|XP_001976600.1|DERE	LOC4805603|XP_001361980.2|DPSE
OG0000009	LOC6553884|XP_001980458.1|DERE	LOC4802604|XP_001359493.2|DPSE
OG0000009	LOC6546804|XP_001975914.1|DERE	LOC4804281|XP_001360862.1|DPSE
OG0000009	LOC6546805|XP_001975915.1|DERE	LOC6898444|XP_002138487.3|DPSE
OG0000010	LOC6556039|XP_015008608.2|DERE	LOC117185619|XP_033241650.1|DPSE, LOC117183603|XP_033233990.1|DPSE
OG0000010	LOC113564802|XP_026839451.1|DERE	LOC117185618|XP_033241648.1|DPSE, LOC117185640|XP_033241727.1|DPSE
OG0000010	LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE	LOC26532676|XP_015035129.1|DPSE
OG0000010	LOC6556049|XP_001982909.3|DERE	LOC26532710|XP_015035140.1|DPSE
OG0000011	LOC113564152|XP_026835545.1|DERE, LOC6550533|XP_001977930.3|DERE, LOC6540864|XP_001968531.3|DERE, LOC6540904|XP_026835063.1|DERE, LOC6543446|XP_001968684.2|DERE, LOC6543815|XP_001973630.3|DERE, LOC6555031|XP_001981173.1|DERE, LOC113564144|XP_026835345.1|DERE, LOC113564056|XP_026834236.1|DERE, LOC6547227|XP_026836974.1|DERE, LOC113564269|XP_026836076.1|DERE, LOC6547226|XP_026836976.1|DERE, LOC6547233|XP_026836236.1|DERE, LOC6551039|XP_001978306.1|DERE	LOC6903257|XP_015036468.1|DPSE, LOC26534003|XP_015037011.2|DPSE, LOC6902418|XP_033235641.1|DPSE, LOC6902419|XP_015037014.2|DPSE, LOC26532842|XP_033240537.1|DPSE, LOC6903258|XP_033236331.1|DPSE, LOC117184128|XP_033236322.1|DPSE, LOC117184127|XP_033236312.1|DPSE, LOC6903259|XP_015036470.1|DPSE, LOC6900979|XP_033239557.1|DPSE, LOC6904000|XP_033239558.1|DPSE, LOC6903305|XP_002132493.1|DPSE, LOC6903279|XP_002132978.2|DPSE, LOC26533994|XP_033236319.1|DPSE, LOC117184073|XP_033236055.1|DPSE, LOC26533837|XP_033236050.1|DPSE, LOC117184074|XP_033236060.1|DPSE, LOC6903240|XP_033236052.1|DPSE, LOC6903239|XP_015036440.1|DPSE
OG0000011	LOC6545632|XP_001972694.2|DERE	LOC117183548|XP_033233646.1|DPSE, LOC6897642|XP_033241732.1|DPSE, LOC117185097|XP_033240835.1|DPSE
OG0000011	LOC6545633|XP_001972695.1|DERE	LOC6900040|XP_002135404.2|DPSE
OG0000011	LOC6552127|XP_001980788.1|DERE	LOC6897605|XP_002137750.2|DPSE
OG0000012	LOC6547483|XP_015011854.1|DERE	LOC4804261|XP_015039777.2|DPSE
OG0000012	LOC6547482|XP_001974798.1|DERE	LOC4804255|XP_001360842.2|DPSE
OG0000012	LOC6547337|XP_015012184.1|DERE	LOC4804254|XP_015039772.2|DPSE
OG0000012	LOC6547484|XP_026836781.1|DERE	LOC6898436|XP_033233736.1|DPSE
OG0000012	LOC6547486|XP_001974802.1|DERE	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE
OG0000012	LOC6547485|XP_015012185.1|DERE	LOC4804256|XP_015039778.2|DPSE
OG0000012	LOC6546830|XP_026836193.1|DERE	LOC4804263|XP_001360847.3|DPSE
OG0000012	LOC6546691|XP_001975936.3|DERE	LOC6898438|XP_002138480.2|DPSE
OG0000012	LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE	LOC4804265|XP_001360848.3|DPSE
OG0000012	LOC6546689|XP_001975934.2|DERE	LOC6898439|XP_002138481.3|DPSE
OG0000012	LOC6546688|XP_001975933.1|DERE	LOC4804266|XP_033235099.1|DPSE
OG0000013	LOC6549620|XP_001975657.1|DERE	LOC4805483|XP_001361878.1|DPSE
OG0000013	LOC6551261|XP_026838843.1|DERE	LOC4815139|XP_001354758.1|DPSE
OG0000013	LOC6553110|XP_001980016.1|DERE	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE
OG0000013	LOC6545627|XP_026832753.1|DERE	LOC6900589|XP_002134962.1|DPSE
OG0000013	LOC6553734|XP_001980320.1|DERE	LOC4801399|XP_001358499.2|DPSE
OG0000013	LOC6554353|XP_001982051.1|DERE	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE
OG0000013	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE
OG0000016	LOC6553473|XP_001980267.1|DERE	LOC4801993|XP_001359004.1|DPSE
OG0000016	LOC6547825|XP_001974973.1|DERE	LOC6898475|XP_002138517.1|DPSE
OG0000016	LOC6553744|XP_001980362.1|DERE	LOC4801351|XP_001358460.1|DPSE
OG0000016	LOC6548497|XP_001975310.2|DERE	LOC4805675|XP_001362034.4|DPSE
OG0000016	LOC6551195|XP_001977029.1|DERE	LOC4814924|XP_001354857.1|DPSE
OG0000016	LOC6542573|XP_026835446.1|DERE	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE
OG0000016	LOC6553157|XP_026831618.1|DERE	LOC6896970|XP_002137155.1|DPSE
OG0000016	LOC6544283|XP_001973711.1|DERE	LOC4812150|XP_001352883.1|DPSE
OG0000017	LOC6540975|XP_001970557.1|DERE	LOC4805006|XP_001361476.2|DPSE
OG0000017	LOC6542635|XP_001970806.1|DERE	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE
OG0000017	LOC6544876|XP_001973836.1|DERE, LOC6556262|XP_026839527.1|DERE	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE
OG0000017	LOC6547791|XP_001976408.1|DERE	LOC4804478|XP_001361036.2|DPSE
OG0000017	LOC6542668|XP_001970804.1|DERE	LOC4804840|XP_001361336.1|DPSE
OG0000017	LOC6547792|XP_001976409.1|DERE	LOC4804477|XP_001361035.3|DPSE
OG0000017	LOC6543081|XP_001968299.1|DERE	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE
OG0000018	LOC6545112|XP_001972081.1|DERE	LOC5495511|XP_001353833.1|DPSE
OG0000018	LOC6545114|XP_001972083.1|DERE	LOC4813481|XP_001353829.1|DPSE
OG0000018	LOC6545189|XP_001972077.1|DERE, LOC6545191|XP_001972079.1|DERE	LOC6900711|XP_002135074.2|DPSE, LOC6900710|XP_002135073.3|DPSE
OG0000019	LOC113564308|XP_026836578.1|DERE	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE
OG0000019	LOC6555070|XP_001981612.1|DERE	LOC4801129|XP_033235715.1|DPSE
OG0000019	LOC6555069|XP_001981611.1|DERE	LOC4801131|XP_001358273.2|DPSE
OG0000019	LOC113564283|XP_026836268.1|DERE, LOC6555065|XP_001981607.1|DERE, LOC113563849|XP_026832170.1|DERE, LOC113563848|XP_026832169.1|DERE, LOC113563851|XP_026832173.1|DERE, LOC113563850|XP_026832172.1|DERE, LOC6555062|XP_001981604.2|DERE, LOC6555064|XP_026839386.1|DERE	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE
OG0000020	LOC6555052|XP_026839769.1|DERE	LOC6896759|XP_002136966.1|DPSE
OG0000020	LOC6547855|XP_001975038.1|DERE	LOC4803770|XP_001360432.3|DPSE
OG0000020	LOC6549413|XP_026836257.1|DERE, LOC6540649|XP_026834533.1|DERE, LOC6543425|XP_026834766.1|DERE	LOC6902791|XP_002132528.2|DPSE
