Orthogroup	DERE.longest_only	DBIA.longest_only
OG0000000	LOC26526117|XP_026833226.1|DERE	LOC108029860|XP_016957839.1|DBIA
OG0000000	LOC6545981|XP_001972189.2|DERE	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC6555364|XP_026831619.1|DERE	LOC108024306|XP_016949697.1|DBIA
OG0000000	LOC6541982|XP_001968936.1|DERE	LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC6552159|XP_001980711.1|DERE	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC6544813|XP_001973192.2|DERE	LOC108034424|XP_016964798.1|DBIA
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC6554922|XP_001981127.2|DERE	LOC108025270|XP_016951121.1|DBIA
OG0000000	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE	LOC108024997|XP_016950742.1|DBIA
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC6541136|XP_001969303.1|DERE	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA
OG0000000	LOC6554482|XP_001981927.3|DERE	LOC108031000|XP_016959689.1|DBIA
OG0000000	LOC6548870|XP_001975456.3|DERE	LOC108030080|XP_016958186.1|DBIA
OG0000000	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE	LOC108033578|XP_016963412.1|DBIA
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC6551915|XP_001978850.1|DERE	LOC108032904|XP_016962446.1|DBIA
OG0000000	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE	LOC108034432|XP_016964806.1|DBIA
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC6540746|XP_001968931.3|DERE	LOC108028911|XP_016956419.1|DBIA
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA
OG0000002	LOC6542167|XP_001968638.1|DERE	LOC108029019|XP_016956553.1|DBIA
OG0000002	LOC6541336|XP_001968621.3|DERE	LOC108029040|XP_016956580.1|DBIA
OG0000003	LOC6549103|XP_001975568.1|DERE	LOC108030370|XP_016958727.1|DBIA
OG0000003	LOC6548983|XP_001975566.1|DERE	LOC108030025|XP_016958054.1|DBIA
OG0000003	LOC6554587|XP_001981543.2|DERE	LOC108024348|XP_016949739.1|DBIA
OG0000003	LOC6548982|XP_001975565.1|DERE	LOC108030024|XP_016958053.1|DBIA
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC26526619|XP_015012824.1|DERE	LOC108030172|XP_016958401.1|DBIA
OG0000003	LOC6549104|XP_001975569.3|DERE	LOC108029856|XP_016957835.1|DBIA
