Orthogroup	DERE.longest_only	DSUB.longest_only
OG0000000	LOC6555364|XP_026831619.1|DERE	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC6552159|XP_001980711.1|DERE	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC117893407|XP_034655897.1|DSUB
OG0000000	LOC6544813|XP_001973192.2|DERE	LOC117893701|XP_034656280.1|DSUB
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE, LOC6554922|XP_001981127.2|DERE, LOC6554923|XP_001981128.1|DERE	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB
OG0000000	LOC6548870|XP_001975456.3|DERE	LOC117899299|XP_034665108.1|DSUB
OG0000000	LOC26526690|XP_015009401.1|DERE	LOC117896020|XP_034659918.1|DSUB
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC117901385|XP_034668002.1|DSUB
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC117897324|XP_034661985.1|DSUB
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC6540746|XP_001968931.3|DERE	LOC117899951|XP_034665996.1|DSUB
OG0000002	LOC6543212|XP_026834323.1|DERE	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB
OG0000003	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC6554587|XP_001981543.2|DERE, LOC6548982|XP_001975565.1|DERE	LOC117890985|XP_034652025.1|DSUB
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC26526619|XP_015012824.1|DERE, LOC6549104|XP_001975569.3|DERE	LOC117890987|XP_034652029.1|DSUB
OG0000003	LOC6549102|XP_001975567.1|DERE	LOC117890986|XP_034652027.1|DSUB
OG0000003	LOC6549105|XP_001975570.1|DERE	LOC117890988|XP_034652030.1|DSUB
OG0000003	LOC6541262|XP_001970448.1|DERE	LOC117890991|XP_034652033.1|DSUB
OG0000003	LOC6543237|XP_001970449.1|DERE	LOC117890982|XP_034652022.1|DSUB
OG0000003	LOC6543184|XP_001968830.1|DERE	LOC117900241|XP_034666421.1|DSUB
OG0000005	LOC6556051|XP_001982911.1|DERE, LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE, LOC6556058|XP_001982915.1|DERE, LOC113564801|XP_026839449.1|DERE, LOC113564800|XP_026839448.1|DERE, LOC6548707|XP_001973996.1|DERE, LOC6556031|XP_001982896.1|DERE, LOC6556046|XP_001982906.1|DERE, LOC6556228|XP_001983059.1|DERE, LOC6556303|XP_001983113.1|DERE	LOC117901442|XP_034668076.1|DSUB
OG0000006	LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE	LOC117901441|XP_034668075.1|DSUB
OG0000007	LOC6546441|XP_001972927.1|DERE	LOC117894702|XP_034657776.1|DSUB
OG0000007	LOC6545299|XP_001972057.1|DERE	LOC117894589|XP_034657628.1|DSUB
OG0000007	LOC6540938|XP_001968734.1|DERE	LOC117900834|XP_034667236.1|DSUB
OG0000007	LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE, LOC6554433|XP_001981284.1|DERE, LOC6554432|XP_001981283.1|DERE	LOC117897982|XP_034662985.1|DSUB
OG0000007	LOC6540876|XP_001968735.1|DERE	LOC117900835|XP_034667237.1|DSUB
OG0000007	LOC6545660|XP_001971664.1|DERE	LOC117894709|XP_034657781.1|DSUB
OG0000007	LOC6540935|XP_001968733.1|DERE	LOC117901609|XP_034668319.1|DSUB
OG0000007	LOC6545300|XP_001972058.2|DERE	LOC117894591|XP_034657631.1|DSUB
OG0000007	LOC6545301|XP_001972059.1|DERE	LOC117894593|XP_034657634.1|DSUB
OG0000008	LOC6553905|XP_001979522.1|DERE	LOC117896362|XP_034660529.1|DSUB
OG0000008	LOC6543716|XP_001971859.1|DERE	LOC117895169|XP_034658523.1|DSUB
OG0000008	LOC6543719|XP_001971862.1|DERE	LOC117895168|XP_034658522.1|DSUB
OG0000008	LOC6541660|XP_001969797.3|DERE	LOC117902083|XP_034669067.1|DSUB
OG0000008	LOC6543717|XP_001971860.3|DERE	LOC117895171|XP_034658525.1|DSUB
OG0000008	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB
