Orthogroup	DERE.longest_only	CCAP.longest_only
OG0000000	LOC26526117|XP_026833226.1|DERE	CCAP1982_LOCUS12926|CAD7004529.1|CCAP
OG0000000	LOC6545981|XP_001972189.2|DERE	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP
OG0000000	LOC6555364|XP_026831619.1|DERE, LOC6546799|XP_001975893.2|DERE, LOC6541982|XP_001968936.1|DERE, LOC6552159|XP_001980711.1|DERE	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP
OG0000000	LOC6544810|XP_026832924.1|DERE, LOC6544813|XP_001973192.2|DERE, LOC6544812|XP_001973191.2|DERE, LOC6548572|XP_026836220.1|DERE, LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE, LOC6554922|XP_001981127.2|DERE, LOC6554923|XP_001981128.1|DERE, LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE, LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE, LOC6541136|XP_001969303.1|DERE, LOC6554482|XP_001981927.3|DERE, LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE, LOC6548870|XP_001975456.3|DERE, LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE, LOC6542210|XP_026835022.1|DERE, LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE, LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE, LOC6544187|XP_026833238.1|DERE, LOC26526690|XP_015009401.1|DERE, LOC6549399|XP_001974447.1|DERE	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE, LOC26526070|XP_026831673.1|DERE, LOC6551915|XP_001978850.1|DERE, LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE	CCAP1982_LOCUS11001|CAD7002512.1|CCAP
OG0000002	LOC6545786|XP_001973422.2|DERE	CCAP1982_LOCUS4991|CAD6996312.1|CCAP
OG0000002	LOC6542167|XP_001968638.1|DERE, LOC6541336|XP_001968621.3|DERE	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP
OG0000002	LOC6543212|XP_026834323.1|DERE	CCAP1982_LOCUS1975|CAD6993149.1|CCAP
OG0000003	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP
OG0000003	LOC6554587|XP_001981543.2|DERE, LOC6548982|XP_001975565.1|DERE, LOC6541170|XP_001970725.1|DERE	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP
OG0000003	LOC6549105|XP_001975570.1|DERE	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP
OG0000003	LOC6543237|XP_001970449.1|DERE	CCAP1982_LOCUS20941|CAD7012841.1|CCAP
OG0000003	LOC6543184|XP_001968830.1|DERE	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
OG0000004	LOC113564789|XP_026839439.1|DERE, LOC113564794|XP_026839442.1|DERE, LOC113564793|XP_026839441.1|DERE, LOC113564762|XP_026839397.1|DERE, LOC113564780|XP_026839412.1|DERE, LOC113564788|XP_026839438.1|DERE, LOC113564798|XP_026839446.1|DERE, LOC113564782|XP_026839414.1|DERE, LOC113564781|XP_026839413.1|DERE	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000006	LOC6548669|XP_001974020.1|DERE	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000006	LOC6548691|XP_001974010.1|DERE	CCAP1982_LOCUS6237|CAD6997601.1|CCAP, CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000007	LOC6546441|XP_001972927.1|DERE	CCAP1982_LOCUS12646|CAD7004227.1|CCAP
OG0000007	LOC6545298|XP_001972056.1|DERE	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	LOC6540938|XP_001968734.1|DERE, LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE, LOC6554433|XP_001981284.1|DERE, LOC6554432|XP_001981283.1|DERE, LOC6540876|XP_001968735.1|DERE, LOC6545660|XP_001971664.1|DERE, LOC6540935|XP_001968733.1|DERE, LOC6545300|XP_001972058.2|DERE, LOC6545301|XP_001972059.1|DERE	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC6553905|XP_001979522.1|DERE	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC6543716|XP_001971859.1|DERE	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC6543719|XP_001971862.1|DERE	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC6543717|XP_001971860.3|DERE	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC6553018|XP_001979109.1|DERE	CCAP1982_LOCUS3596|CAD6994861.1|CCAP
OG0000008	LOC6553016|XP_001979107.1|DERE	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC6553019|XP_001979110.3|DERE	CCAP1982_LOCUS3595|CAD6994860.1|CCAP
OG0000008	LOC6553017|XP_001979108.1|DERE	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC6553015|XP_001979106.1|DERE	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC6554105|XP_001979501.1|DERE	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC6548094|XP_001976600.1|DERE, LOC6553884|XP_001980458.1|DERE, LOC6546804|XP_001975914.1|DERE, LOC6546805|XP_001975915.1|DERE	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC6556039|XP_015008608.2|DERE	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC113564802|XP_026839451.1|DERE	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000010	LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE	CCAP1982_LOCUS2041|CAD6993222.1|CCAP
OG0000012	LOC6547483|XP_015011854.1|DERE	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC6547482|XP_001974798.1|DERE	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC6547337|XP_015012184.1|DERE	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC6547484|XP_026836781.1|DERE	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC6547486|XP_001974802.1|DERE, LOC6547485|XP_015012185.1|DERE, LOC6546830|XP_026836193.1|DERE, LOC6546691|XP_001975936.3|DERE, LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE, LOC6546689|XP_001975934.2|DERE, LOC6546688|XP_001975933.1|DERE	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC6549620|XP_001975657.1|DERE	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC6553110|XP_001980016.1|DERE	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC6545627|XP_026832753.1|DERE	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC6553734|XP_001980320.1|DERE	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC6554353|XP_001982051.1|DERE	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
