Orthogroup	DERE.longest_only	DSEC.longest_only
OG0000000	LOC26526117|XP_026833226.1|DERE	LOC116801307|XP_032576000.1|DSEC
OG0000000	LOC6545981|XP_001972189.2|DERE	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC6555364|XP_026831619.1|DERE	LOC6612593|XP_002037098.2|DSEC
OG0000000	LOC6546799|XP_001975893.2|DERE	LOC116800509|XP_032571804.1|DSEC
OG0000000	LOC6541982|XP_001968936.1|DERE	LOC6611330|XP_002035877.1|DSEC
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC6605884|XP_032575999.1|DSEC
OG0000000	LOC6544813|XP_001973192.2|DERE	LOC6605885|XP_032575997.1|DSEC
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC116801306|XP_032575998.1|DSEC
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC6551988|XP_026839788.1|DERE	LOC6607083|XP_032579519.1|DSEC
OG0000000	LOC6554923|XP_001981128.1|DERE	LOC6612938|XP_032579196.1|DSEC
OG0000000	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE	LOC6613111|XP_032569894.1|DSEC
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC6612936|XP_002037428.1|DSEC
OG0000000	LOC6541136|XP_001969303.1|DERE	LOC6611813|XP_002036335.1|DSEC
OG0000000	LOC6554482|XP_001981927.3|DERE	LOC6607813|XP_032578052.1|DSEC
OG0000000	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE	LOC6608931|XP_002033645.2|DSEC
OG0000000	LOC6548870|XP_001975456.3|DERE	LOC6609340|XP_032572102.1|DSEC
OG0000000	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE	LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC
OG0000000	LOC6542210|XP_026835022.1|DERE	LOC6616347|XP_002040707.1|DSEC
OG0000000	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE	LOC116803586|XP_032583371.1|DSEC
OG0000000	LOC6544187|XP_026833238.1|DERE	LOC116801073|XP_032574487.1|DSEC
OG0000000	LOC26526690|XP_015009401.1|DERE	LOC116801718|XP_032578762.1|DSEC
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC6614481|XP_002038914.1|DSEC
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE	LOC6618816|XP_002043065.1|DSEC
OG0000000	LOC6548099|XP_001976605.1|DERE	LOC6618815|XP_002043064.1|DSEC
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC6612634|XP_002037138.2|DSEC
OG0000000	LOC6551915|XP_001978850.1|DERE	LOC6613854|XP_002038323.1|DSEC
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC6609498|XP_002034183.1|DSEC
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC6615482|XP_002039862.2|DSEC
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC6615481|XP_002039861.2|DSEC
OG0000002	LOC6547452|XP_001974865.2|DERE	LOC6610018|XP_032572286.1|DSEC
OG0000002	LOC6540746|XP_001968931.3|DERE	LOC6611325|XP_002035872.2|DSEC
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC6619439|XP_032575015.1|DSEC
