Orthogroup	DERE.longest_only	SLEB.longest_only
OG0000000	LOC6545981|XP_001972189.2|DERE	LOC115634489|XP_030388106.1|SLEB
OG0000000	LOC6555364|XP_026831619.1|DERE, LOC6546799|XP_001975893.2|DERE, LOC6541982|XP_001968936.1|DERE, LOC6552159|XP_001980711.1|DERE	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC6544810|XP_026832924.1|DERE, LOC6544813|XP_001973192.2|DERE, LOC6544812|XP_001973191.2|DERE	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE	LOC115625399|XP_030376298.1|SLEB
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC115632651|XP_030385741.1|SLEB
OG0000002	LOC6542167|XP_001968638.1|DERE, LOC6541336|XP_001968621.3|DERE	LOC115633967|XP_030387348.1|SLEB
OG0000002	LOC6543212|XP_026834323.1|DERE	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB
OG0000003	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC6554587|XP_001981543.2|DERE, LOC6548982|XP_001975565.1|DERE	LOC115620049|XP_030369030.1|SLEB
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC6543237|XP_001970449.1|DERE	LOC115619981|XP_030368881.1|SLEB
OG0000003	LOC6543184|XP_001968830.1|DERE	LOC115628616|XP_030380660.1|SLEB
OG0000004	LOC113564789|XP_026839439.1|DERE, LOC113564794|XP_026839442.1|DERE, LOC113564793|XP_026839441.1|DERE, LOC113564762|XP_026839397.1|DERE, LOC113564780|XP_026839412.1|DERE, LOC113564788|XP_026839438.1|DERE, LOC113564798|XP_026839446.1|DERE, LOC113564782|XP_026839414.1|DERE, LOC113564781|XP_026839413.1|DERE	LOC115630361|XP_030382755.1|SLEB, LOC115630324|XP_030382722.1|SLEB, LOC115630325|XP_030382723.1|SLEB
OG0000005	LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE	LOC115630367|XP_030382760.1|SLEB
OG0000006	LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE	LOC115630364|XP_030382757.1|SLEB
OG0000006	LOC6548691|XP_001974010.1|DERE	LOC115630265|XP_030382658.1|SLEB, LOC115630313|XP_030382711.1|SLEB, LOC115630278|XP_030382673.1|SLEB, LOC115633465|XP_030386780.1|SLEB, LOC115630135|XP_030382603.1|SLEB
OG0000006	LOC113564799|XP_026839447.1|DERE	LOC115630314|XP_030382712.1|SLEB
OG0000007	LOC6546441|XP_001972927.1|DERE	LOC115633152|XP_030386421.1|SLEB
OG0000007	LOC6545298|XP_001972056.1|DERE	LOC115633153|XP_030386422.1|SLEB
OG0000007	LOC6545299|XP_001972057.1|DERE, LOC6545296|XP_001972054.1|DERE, LOC6545101|XP_001972052.1|DERE, LOC6545102|XP_001972053.1|DERE	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC6540876|XP_001968735.1|DERE	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC6545660|XP_001971664.1|DERE, LOC6540935|XP_001968733.1|DERE	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000007	LOC6545300|XP_001972058.2|DERE, LOC6545301|XP_001972059.1|DERE	LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC6553905|XP_001979522.1|DERE	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC6543716|XP_001971859.1|DERE	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC6543719|XP_001971862.1|DERE	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC6541660|XP_001969797.3|DERE	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC6543717|XP_001971860.3|DERE	LOC115628403|XP_030380351.1|SLEB
OG0000008	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	LOC6553018|XP_001979109.1|DERE	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB
OG0000008	LOC6553016|XP_001979107.1|DERE	LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC6553019|XP_001979110.3|DERE	LOC115624340|XP_030374852.1|SLEB
OG0000008	LOC6553017|XP_001979108.1|DERE	LOC115624344|XP_030374855.1|SLEB
OG0000008	LOC6553015|XP_001979106.1|DERE	LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC6554105|XP_001979501.1|DERE	LOC115624173|XP_030374629.1|SLEB
OG0000009	LOC6554107|XP_001979503.1|DERE	LOC115624028|XP_030374465.1|SLEB
OG0000009	LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	LOC6546804|XP_001975914.1|DERE	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC6556039|XP_015008608.2|DERE	LOC115633544|XP_030386861.1|SLEB
OG0000010	LOC113564802|XP_026839451.1|DERE	LOC115630347|XP_030382740.1|SLEB, LOC115633455|XP_030386770.1|SLEB, LOC115630140|XP_030382609.1|SLEB, LOC115630331|XP_030382729.1|SLEB
OG0000010	LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE	LOC115625114|XP_030375880.1|SLEB
OG0000012	LOC6547483|XP_015011854.1|DERE	LOC115626791|XP_030378121.1|SLEB
OG0000012	LOC6547482|XP_001974798.1|DERE	LOC115634820|XP_030388598.1|SLEB
OG0000012	LOC6547337|XP_015012184.1|DERE	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC6547484|XP_026836781.1|DERE	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC6546830|XP_026836193.1|DERE, LOC6546691|XP_001975936.3|DERE, LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC6546689|XP_001975934.2|DERE, LOC6546688|XP_001975933.1|DERE	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC6549620|XP_001975657.1|DERE	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC6551261|XP_026838843.1|DERE	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC6553110|XP_001980016.1|DERE	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC6545627|XP_026832753.1|DERE	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC6553734|XP_001980320.1|DERE	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC6554353|XP_001982051.1|DERE	LOC115624312|XP_030374797.1|SLEB
OG0000013	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000015	LOC6549487|XP_001974261.3|DERE	LOC115626216|XP_030377371.1|SLEB
OG0000015	LOC6554572|XP_026839568.1|DERE	LOC115628471|XP_030380453.1|SLEB
OG0000016	LOC6553473|XP_001980267.1|DERE	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC6547825|XP_001974973.1|DERE	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC6553744|XP_001980362.1|DERE	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC6548497|XP_001975310.2|DERE	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	LOC6551195|XP_001977029.1|DERE	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC6542573|XP_026835446.1|DERE	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC6553157|XP_026831618.1|DERE	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC6544283|XP_001973711.1|DERE	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC6550521|XP_001977911.1|DERE	LOC115627671|XP_030379272.1|SLEB
OG0000017	LOC6540975|XP_001970557.1|DERE	LOC115619974|XP_030368869.1|SLEB
OG0000017	LOC6542635|XP_001970806.1|DERE	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC6547791|XP_001976408.1|DERE	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC6542668|XP_001970804.1|DERE	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC6543081|XP_001968299.1|DERE	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC6545112|XP_001972081.1|DERE	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC6545117|XP_001972086.1|DERE, LOC6545115|XP_001972084.1|DERE	LOC115633160|XP_030386431.1|SLEB
OG0000018	LOC6545114|XP_001972083.1|DERE	LOC115633162|XP_030386433.1|SLEB
OG0000019	LOC113564308|XP_026836578.1|DERE	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC6555070|XP_001981612.1|DERE	LOC115621698|XP_030371264.1|SLEB
OG0000019	LOC6555069|XP_001981611.1|DERE	LOC115621699|XP_030371266.1|SLEB
OG0000019	LOC113564283|XP_026836268.1|DERE, LOC6555065|XP_001981607.1|DERE, LOC113563849|XP_026832170.1|DERE, LOC113563848|XP_026832169.1|DERE, LOC113563851|XP_026832173.1|DERE, LOC113563850|XP_026832172.1|DERE, LOC6555062|XP_001981604.2|DERE, LOC6555064|XP_026839386.1|DERE	LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC6555052|XP_026839769.1|DERE	LOC115620461|XP_030369552.1|SLEB
OG0000020	LOC6547855|XP_001975038.1|DERE	LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC6549413|XP_026836257.1|DERE, LOC6540649|XP_026834533.1|DERE, LOC6543425|XP_026834766.1|DERE	LOC115625139|XP_030375917.1|SLEB
OG0000020	LOC6553828|XP_026839892.1|DERE	LOC115623558|XP_030373816.1|SLEB
OG0000020	LOC6554060|XP_001980549.1|DERE	LOC115623561|XP_030373817.1|SLEB
OG0000020	LOC6548804|XP_001974084.1|DERE, LOC6549412|XP_001974317.1|DERE	LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC6543194|XP_001968524.1|DERE	LOC115632536|XP_030385602.1|SLEB
OG0000021	LOC6556017|XP_001982880.1|DERE	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB
OG0000021	LOC6547978|XP_001975124.1|DERE	LOC115624982|XP_030375700.1|SLEB
OG0000021	LOC6546948|XP_001974598.1|DERE	LOC115619935|XP_030372749.1|SLEB
OG0000021	LOC6556217|XP_001983050.1|DERE	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB
OG0000021	LOC6551659|XP_001977237.1|DERE	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC6554651|XP_001981975.1|DERE	LOC115625208|XP_030376037.1|SLEB
OG0000021	LOC6553703|XP_001980409.1|DERE	LOC115620616|XP_030369796.1|SLEB
OG0000021	LOC26526932|XP_026837924.1|DERE	LOC115629963|XP_030382440.1|SLEB
