Orthogroup	DERE.longest_only	DYAK.longest_only
OG0000000	LOC6545981|XP_001972189.2|DERE	LOC6532541|XP_002093287.2|DYAK
OG0000000	LOC6555364|XP_026831619.1|DERE	LOC120321802|XP_039231662.1|DYAK
OG0000000	LOC6546799|XP_001975893.2|DERE	LOC26536205|XP_015052957.2|DYAK
OG0000000	LOC6541982|XP_001968936.1|DERE	LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC6552159|XP_001980711.1|DERE	LOC6536475|XP_002097056.2|DYAK
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC6544813|XP_001973192.2|DERE	LOC6535097|XP_039229817.1|DYAK
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC6551986|XP_026839789.1|DERE	LOC6536389|XP_002096971.3|DYAK
OG0000000	LOC6554922|XP_001981127.2|DERE	LOC26534826|XP_015049134.2|DYAK
OG0000000	LOC6554923|XP_001981128.1|DERE	LOC6538960|XP_002099463.2|DYAK
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC6541136|XP_001969303.1|DERE	LOC6527857|XP_002088929.1|DYAK
OG0000000	LOC6554482|XP_001981927.3|DERE	LOC26536234|XP_015048941.1|DYAK
OG0000000	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK
OG0000000	LOC6548870|XP_001975456.3|DERE	LOC6531513|XP_002092312.3|DYAK
OG0000000	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK
OG0000000	LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE	LOC26534860|XP_015046022.1|DYAK, LOC26535167|XP_015046650.1|DYAK
OG0000000	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE	LOC6526414|XP_002087533.2|DYAK
OG0000000	LOC6544187|XP_026833238.1|DERE	LOC6532990|XP_039229806.1|DYAK
OG0000000	LOC26526690|XP_015009401.1|DERE	LOC6537714|XP_002098259.2|DYAK
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK
OG0000000	LOC6548099|XP_001976605.1|DERE	LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC6551915|XP_001978850.1|DERE	LOC6535316|XP_002095972.1|DYAK
OG0000000	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE	LOC6539519|XP_002086405.1|DYAK
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC6531354|XP_002092157.1|DYAK
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC6540746|XP_001968931.3|DERE	LOC6528284|XP_002089337.3|DYAK
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC26535670|XP_015050876.2|DYAK
OG0000002	LOC6541336|XP_001968621.3|DERE	LOC6526775|XP_002087878.2|DYAK
