Orthogroup	DERE.longest_only	DFIC.longest_only
OG0000000	LOC6541982|XP_001968936.1|DERE	LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC6552159|XP_001980711.1|DERE	LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC108089295|XP_017042962.1|DFIC
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC
OG0000000	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE	LOC108086784|XP_017039313.1|DFIC
OG0000000	LOC6541136|XP_001969303.1|DERE, LOC6554482|XP_001981927.3|DERE	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC
OG0000000	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE	LOC108100131|XP_017059373.1|DFIC
OG0000000	LOC6548870|XP_001975456.3|DERE	LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC
OG0000000	LOC26526690|XP_015009401.1|DERE	LOC108099241|XP_017058101.1|DFIC
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC108097696|XP_017055657.1|DFIC
OG0000000	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE	LOC108089293|XP_017042959.1|DFIC
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC108090526|XP_017044733.1|DFIC
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC6547452|XP_001974865.2|DERE	LOC108094815|XP_017051075.1|DFIC
OG0000002	LOC6542167|XP_001968638.1|DERE, LOC6541336|XP_001968621.3|DERE	LOC108092286|XP_017047310.1|DFIC
OG0000003	LOC6549103|XP_001975568.1|DERE	LOC108087667|XP_017040650.1|DFIC
OG0000003	LOC6548983|XP_001975566.1|DERE	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC6548982|XP_001975565.1|DERE	LOC108087705|XP_017040710.1|DFIC
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC26526619|XP_015012824.1|DERE, LOC6549104|XP_001975569.3|DERE	LOC108087668|XP_017040651.1|DFIC
OG0000003	LOC6549102|XP_001975567.1|DERE	LOC108087749|XP_017040761.1|DFIC
OG0000003	LOC6549105|XP_001975570.1|DERE	LOC108087605|XP_017040533.1|DFIC
OG0000003	LOC6541262|XP_001970448.1|DERE	LOC108090320|XP_017044421.1|DFIC
OG0000003	LOC6543237|XP_001970449.1|DERE	LOC108090319|XP_017044419.1|DFIC
OG0000004	LOC113564789|XP_026839439.1|DERE, LOC113564794|XP_026839442.1|DERE, LOC113564793|XP_026839441.1|DERE, LOC113564762|XP_026839397.1|DERE, LOC113564780|XP_026839412.1|DERE, LOC113564788|XP_026839438.1|DERE, LOC113564798|XP_026839446.1|DERE, LOC113564782|XP_026839414.1|DERE, LOC113564781|XP_026839413.1|DERE	LOC108094043|XP_017049969.1|DFIC
OG0000005	LOC6556051|XP_001982911.1|DERE, LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE, LOC6556058|XP_001982915.1|DERE, LOC113564801|XP_026839449.1|DERE, LOC113564800|XP_026839448.1|DERE, LOC6548707|XP_001973996.1|DERE, LOC6556031|XP_001982896.1|DERE, LOC6556046|XP_001982906.1|DERE, LOC6556228|XP_001983059.1|DERE, LOC6556303|XP_001983113.1|DERE	LOC108094052|XP_017049981.1|DFIC
OG0000006	LOC6548691|XP_001974010.1|DERE	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000007	LOC6546441|XP_001972927.1|DERE	LOC108099856|XP_017058991.1|DFIC
OG0000007	LOC6545298|XP_001972056.1|DERE	LOC108093252|XP_017048717.1|DFIC
OG0000007	LOC6545299|XP_001972057.1|DERE	LOC108093253|XP_017048718.1|DFIC
OG0000007	LOC6545296|XP_001972054.1|DERE	LOC108093241|XP_017048705.1|DFIC
OG0000007	LOC6545102|XP_001972053.1|DERE	LOC108093261|XP_017048727.1|DFIC
OG0000007	LOC6540938|XP_001968734.1|DERE	LOC108089978|XP_017043968.1|DFIC
OG0000007	LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE	LOC108099497|XP_017058547.1|DFIC
OG0000007	LOC6540876|XP_001968735.1|DERE	LOC108089778|XP_017043661.1|DFIC
OG0000007	LOC6545660|XP_001971664.1|DERE	LOC108088950|XP_017042460.1|DFIC
OG0000007	LOC6540935|XP_001968733.1|DERE	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC
OG0000007	LOC6545300|XP_001972058.2|DERE	LOC108093152|XP_017048588.1|DFIC
OG0000007	LOC6545301|XP_001972059.1|DERE	LOC108093153|XP_017048589.1|DFIC
OG0000008	LOC6553905|XP_001979522.1|DERE	LOC108101034|XP_017060691.1|DFIC
OG0000008	LOC6543719|XP_001971862.1|DERE	LOC108100331|XP_017059630.1|DFIC
OG0000008	LOC6541660|XP_001969797.3|DERE	LOC108093477|XP_017049051.1|DFIC
OG0000008	LOC6543717|XP_001971860.3|DERE	LOC108100333|XP_017059632.1|DFIC
OG0000008	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC
OG0000008	LOC6553018|XP_001979109.1|DERE	LOC108091746|XP_017046577.1|DFIC
OG0000008	LOC6553016|XP_001979107.1|DERE	LOC108091769|XP_017046605.1|DFIC
OG0000008	LOC6553019|XP_001979110.3|DERE	LOC108091757|XP_017046589.1|DFIC
OG0000008	LOC6553017|XP_001979108.1|DERE	LOC108091754|XP_017046587.1|DFIC
OG0000008	LOC6553015|XP_001979106.1|DERE	LOC108091767|XP_017046601.1|DFIC
OG0000009	LOC6554105|XP_001979501.1|DERE	LOC108101115|XP_017060823.1|DFIC
OG0000009	LOC6554107|XP_001979503.1|DERE	LOC108101125|XP_017060838.1|DFIC
OG0000009	LOC6554108|XP_001979504.1|DERE	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC
OG0000009	LOC6554106|XP_001979502.1|DERE	LOC108101116|XP_017060824.1|DFIC
OG0000009	LOC6548094|XP_001976600.1|DERE	LOC108101809|XP_017061774.1|DFIC
OG0000009	LOC6553884|XP_001980458.1|DERE	LOC108088079|XP_017041220.1|DFIC
OG0000009	LOC6546804|XP_001975914.1|DERE	LOC108086769|XP_017039304.1|DFIC
OG0000009	LOC6546805|XP_001975915.1|DERE	LOC108086655|XP_017039128.1|DFIC
OG0000010	LOC113564802|XP_026839451.1|DERE	LOC108098255|XP_017056544.1|DFIC
OG0000010	LOC6556049|XP_001982909.3|DERE	LOC108101428|XP_017061247.1|DFIC
OG0000011	LOC113564152|XP_026835545.1|DERE	LOC108101273|XP_017061049.1|DFIC
OG0000011	LOC6543446|XP_001968684.2|DERE	LOC108101289|XP_017061078.1|DFIC
OG0000011	LOC6543815|XP_001973630.3|DERE, LOC6555031|XP_001981173.1|DERE	LOC108100104|XP_017059339.1|DFIC
OG0000011	LOC6547233|XP_026836236.1|DERE	LOC108098171|XP_017056393.1|DFIC
OG0000011	LOC6551039|XP_001978306.1|DERE	LOC108095556|XP_017052180.1|DFIC
OG0000011	LOC6545632|XP_001972694.2|DERE	LOC108086883|XP_017039433.1|DFIC
OG0000011	LOC6545633|XP_001972695.1|DERE	LOC108086913|XP_017039476.1|DFIC
OG0000011	LOC6552127|XP_001980788.1|DERE	LOC108098799|XP_017057429.1|DFIC
OG0000012	LOC6547483|XP_015011854.1|DERE	LOC108096904|XP_017054341.1|DFIC
OG0000012	LOC6547482|XP_001974798.1|DERE	LOC108096903|XP_017054340.1|DFIC
OG0000012	LOC6547337|XP_015012184.1|DERE	LOC108096929|XP_017054370.1|DFIC
OG0000012	LOC6547484|XP_026836781.1|DERE	LOC108096943|XP_017054393.1|DFIC
OG0000012	LOC6547486|XP_001974802.1|DERE	LOC108096563|XP_017053746.1|DFIC
OG0000012	LOC6547485|XP_015012185.1|DERE	LOC108096571|XP_017053756.1|DFIC
OG0000012	LOC6546830|XP_026836193.1|DERE	LOC108086628|XP_017039092.1|DFIC
OG0000012	LOC6546691|XP_001975936.3|DERE	LOC108086618|XP_017039083.1|DFIC
OG0000012	LOC6546690|XP_001975935.1|DERE	LOC108086755|XP_017039283.1|DFIC
OG0000012	LOC26526953|XP_026835974.1|DERE	LOC108086630|XP_017039094.1|DFIC
OG0000012	LOC6546689|XP_001975934.2|DERE	LOC108086627|XP_017039091.1|DFIC
OG0000012	LOC6546688|XP_001975933.1|DERE	LOC108086756|XP_017039284.1|DFIC
OG0000013	LOC6549620|XP_001975657.1|DERE	LOC108101557|XP_017061445.1|DFIC
OG0000013	LOC6551261|XP_026838843.1|DERE	LOC108101682|XP_017061593.1|DFIC
OG0000013	LOC6553110|XP_001980016.1|DERE	LOC108098830|XP_017057474.1|DFIC
OG0000013	LOC6545627|XP_026832753.1|DERE	LOC108086910|XP_017039470.1|DFIC
OG0000013	LOC6553734|XP_001980320.1|DERE	LOC108087118|XP_017039788.1|DFIC
OG0000013	LOC6554353|XP_001982051.1|DERE	LOC108091996|XP_017046910.1|DFIC
OG0000013	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000015	LOC6541487|XP_001968624.1|DERE	LOC108094767|XP_017051032.1|DFIC, LOC108094097|XP_017050010.1|DFIC, LOC108101938|XP_017062014.1|DFIC, LOC108101948|XP_017062025.1|DFIC, LOC108091404|XP_017046083.1|DFIC, LOC108091405|XP_017046084.1|DFIC
OG0000015	LOC26527019|XP_015015589.1|DERE	LOC108094095|XP_017050008.1|DFIC
OG0000015	LOC6549638|XP_026836388.1|DERE	LOC108094122|XP_017050032.1|DFIC
OG0000015	LOC6542316|XP_001970154.1|DERE	LOC108100911|XP_017060514.1|DFIC, LOC108100840|XP_017060402.1|DFIC
OG0000015	LOC6541306|XP_001970208.1|DERE	LOC108100786|XP_017060316.1|DFIC, LOC108100835|XP_017060395.1|DFIC, LOC108100853|XP_017060421.1|DFIC, LOC108100833|XP_017060393.1|DFIC
OG0000015	LOC6554572|XP_026839568.1|DERE	LOC108098714|XP_017057318.1|DFIC, LOC108094483|XP_017050559.1|DFIC
OG0000016	LOC6553473|XP_001980267.1|DERE	LOC108091644|XP_017046435.1|DFIC
OG0000016	LOC6547825|XP_001974973.1|DERE	LOC108095161|XP_017051608.1|DFIC
OG0000016	LOC6553744|XP_001980362.1|DERE	LOC108088049|XP_017041175.1|DFIC
OG0000016	LOC6548497|XP_001975310.2|DERE	LOC108090474|XP_017044659.1|DFIC
OG0000016	LOC6551195|XP_001977029.1|DERE	LOC108092889|XP_017048224.1|DFIC
OG0000016	LOC6542573|XP_026835446.1|DERE	LOC108091135|XP_017045658.1|DFIC
OG0000016	LOC6553157|XP_026831618.1|DERE	LOC108096392|XP_017053452.1|DFIC
OG0000016	LOC6544283|XP_001973711.1|DERE	LOC108093583|XP_017049197.1|DFIC
OG0000017	LOC6550521|XP_001977911.1|DERE	LOC108098017|XP_017056155.1|DFIC
OG0000017	LOC6540975|XP_001970557.1|DERE	LOC108101533|XP_017061396.1|DFIC
OG0000017	LOC6542635|XP_001970806.1|DERE	LOC108099991|XP_017059177.1|DFIC
OG0000017	LOC6552914|XP_001980977.1|DERE	LOC108097740|XP_017055736.1|DFIC
OG0000017	LOC6544876|XP_001973836.1|DERE	LOC108095642|XP_017052296.1|DFIC
OG0000017	LOC6547791|XP_001976408.1|DERE	LOC108087716|XP_017040726.1|DFIC
OG0000017	LOC6542668|XP_001970804.1|DERE	LOC108099990|XP_017059176.1|DFIC
OG0000017	LOC6547792|XP_001976409.1|DERE	LOC108087715|XP_017040725.1|DFIC
OG0000017	LOC6543081|XP_001968299.1|DERE	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC
OG0000018	LOC6545112|XP_001972081.1|DERE	LOC108093126|XP_017048560.1|DFIC
OG0000018	LOC6545115|XP_001972084.1|DERE	LOC108093128|XP_017048562.1|DFIC
OG0000018	LOC6545114|XP_001972083.1|DERE	LOC108093130|XP_017048564.1|DFIC
OG0000018	LOC6545189|XP_001972077.1|DERE, LOC6545191|XP_001972079.1|DERE	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC
OG0000019	LOC113564308|XP_026836578.1|DERE	LOC108086541|XP_017038967.1|DFIC
OG0000019	LOC113564837|XP_026839515.1|DERE	LOC108086542|XP_017038968.1|DFIC
OG0000019	LOC6555070|XP_001981612.1|DERE	LOC108086535|XP_017038961.1|DFIC
