Orthogroup	DERE.longest_only	DMEL.longest_only
OG0000000	LOC6545981|XP_001972189.2|DERE	CG33700|NP_001027121.3|DMEL
OG0000000	LOC6546799|XP_001975893.2|DERE	CG33752|NP_001027409.1|DMEL
OG0000000	LOC6541982|XP_001968936.1|DERE	CG33679|NP_001027273.1|DMEL
OG0000000	LOC6552159|XP_001980711.1|DERE	CG33783|NP_001027168.1|DMEL
OG0000000	LOC6544810|XP_026832924.1|DERE	CG33687|NP_001027130.2|DMEL
OG0000000	LOC6544813|XP_001973192.2|DERE	CG33690|NP_001368948.1|DMEL
OG0000000	LOC6544812|XP_001973191.2|DERE	CG33689|NP_001027132.2|DMEL
OG0000000	LOC6548572|XP_026836220.1|DERE	CG12849|NP_611969.2|DMEL
OG0000000	LOC6551988|XP_026839788.1|DERE	CG33654|NP_001027165.1|DMEL
OG0000000	LOC6554923|XP_001981128.1|DERE	CG33920|NP_001027214.1|DMEL
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	CG33773|NP_001027213.1|DMEL
OG0000000	LOC6541136|XP_001969303.1|DERE	CG33723|NP_001027235.1|DMEL
OG0000000	LOC6554482|XP_001981927.3|DERE	CG33658|NP_001027209.1|DMEL
OG0000000	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE	CG33798|NP_001027414.1|DMEL
OG0000000	LOC6548870|XP_001975456.3|DERE	CG33463|NP_995846.2|DMEL
OG0000000	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE	CG33764|NP_001027107.1|DMEL
OG0000000	LOC6542210|XP_026835022.1|DERE	CG33912|NP_001027139.1|DMEL
OG0000000	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE	CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL
OG0000000	LOC6544187|XP_026833238.1|DERE	CG33777|NP_001027108.1|DMEL
OG0000000	LOC26526690|XP_015009401.1|DERE	CG33721|NP_001036743.1|DMEL
OG0000000	LOC6549399|XP_001974447.1|DERE	CG33928|NP_001027276.1|DMEL
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE	CG13590|NP_611919.1|DMEL
OG0000000	LOC6548099|XP_001976605.1|DERE	CG13589|NP_611918.2|DMEL
OG0000000	LOC26526070|XP_026831673.1|DERE	CG14518|NP_651653.2|DMEL
OG0000000	LOC6551915|XP_001978850.1|DERE	CG33927|NP_001027147.1|DMEL
OG0000000	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE	CG33796|NP_001027128.1|DMEL
OG0000002	LOC6548491|XP_001975304.1|DERE	CG5550|NP_001246376.1|DMEL
OG0000002	LOC6548172|XP_001975155.3|DERE	CG30281|NP_726164.1|DMEL
OG0000002	LOC6548171|XP_001975154.2|DERE	CG30280|NP_611641.6|DMEL
OG0000002	LOC6540746|XP_001968931.3|DERE	CG31832|NP_723894.2|DMEL
OG0000002	LOC6545786|XP_001973422.2|DERE	CG7668|NP_649170.1|DMEL
OG0000002	LOC6543212|XP_026834323.1|DERE	CG9500|NP_609018.3|DMEL
OG0000003	LOC6549103|XP_001975568.1|DERE	Cyp6a9|NP_523748.2|DMEL
OG0000003	LOC6548983|XP_001975566.1|DERE	Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC6554587|XP_001981543.2|DERE	Cyp6a18|NP_651563.1|DMEL
OG0000003	LOC6548982|XP_001975565.1|DERE	Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC6541170|XP_001970725.1|DERE	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC26526619|XP_015012824.1|DERE	Cyp6a23|NP_611000.2|DMEL
OG0000003	LOC6549104|XP_001975569.3|DERE	Cyp6a17|NP_652018.1|DMEL
OG0000003	LOC6549105|XP_001975570.1|DERE	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC6541262|XP_001970448.1|DERE	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC6543184|XP_001968830.1|DERE	Cyp6a16|NP_001285631.1|DMEL
OG0000004	LOC113564789|XP_026839439.1|DERE, LOC113564794|XP_026839442.1|DERE, LOC113564793|XP_026839441.1|DERE, LOC113564762|XP_026839397.1|DERE, LOC113564780|XP_026839412.1|DERE, LOC113564788|XP_026839438.1|DERE, LOC113564798|XP_026839446.1|DERE, LOC113564782|XP_026839414.1|DERE, LOC113564781|XP_026839413.1|DERE	His1_CG33834|NP_001027334.1|DMEL, His1_CG33813|NP_001027299.1|DMEL, His1_CG33852|NP_001027364.1|DMEL, His1_CG33846|NP_001027354.1|DMEL, His1_CG33828|NP_001027324.1|DMEL, His1_CG33819|NP_001027309.1|DMEL, His1_CG33855|NP_001027369.1|DMEL, His1_CG33837|NP_001027339.1|DMEL, His1_CG33861|NP_001027379.1|DMEL, His1_CG33831|NP_001027329.1|DMEL, His1_CG33843|NP_001027349.1|DMEL, His1_CG33864|NP_001027384.1|DMEL, His1_CG33858|NP_001027374.1|DMEL, His1_CG33810|NP_001027295.1|DMEL, His1_CG33840|NP_001027344.1|DMEL, His1_CG33804|NP_001027286.1|DMEL, His1_CG33801|NP_001027282.1|DMEL, His1_CG33807|NP_001027290.1|DMEL, His1_CG33816|NP_001027304.1|DMEL, His1_CG33822|NP_001027314.1|DMEL, His1_CG33825|NP_001027319.1|DMEL, His1_CG33849|NP_001027359.1|DMEL, His1_CG31617|NP_724341.1|DMEL
OG0000005	LOC6556051|XP_001982911.1|DERE	His2B_CG33874|NP_001027370.1|DMEL
OG0000005	LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE	His2B_CG33910|NP_001027283.1|DMEL
OG0000005	LOC113564801|XP_026839449.1|DERE	His2B_CG33900|NP_001027305.1|DMEL, His2B_CG33892|NP_001027325.1|DMEL
OG0000005	LOC6548707|XP_001973996.1|DERE	His2B_CG33876|NP_001027365.1|DMEL
OG0000005	LOC6556046|XP_001982906.1|DERE	His2B_CG33882|NP_001027350.1|DMEL
OG0000006	LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	LOC6548691|XP_001974010.1|DERE	His2A_CG33862|NP_001027381.1|DMEL, His2A_CG33838|NP_001027341.1|DMEL, His2A_CG33823|NP_001027316.1|DMEL, His2A_CG33865|NP_001027386.1|DMEL, His2A_CG33829|NP_001027326.1|DMEL, His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL, His2A_CG33844|NP_001027351.1|DMEL
OG0000007	LOC6545298|XP_001972056.1|DERE	Jon65Aiv|NP_648012.1|DMEL
OG0000007	LOC6545299|XP_001972057.1|DERE	Jon65Aiii|NP_648013.1|DMEL
OG0000007	LOC6545296|XP_001972054.1|DERE	yip7|NP_523944.1|DMEL
OG0000007	LOC6545102|XP_001972053.1|DERE	CG10477|NP_648010.1|DMEL
OG0000007	LOC6540938|XP_001968734.1|DERE	Jon25Bii|NP_608882.1|DMEL
OG0000007	LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE	Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL
OG0000007	LOC6554433|XP_001981284.1|DERE, LOC6554432|XP_001981283.1|DERE	Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL
OG0000007	LOC6540876|XP_001968735.1|DERE	Jon25Bi|NP_001033873.1|DMEL
OG0000007	LOC6545660|XP_001971664.1|DERE	Jon66Ci|NP_729372.1|DMEL
OG0000007	LOC6540935|XP_001968733.1|DERE	Jon25Biii|NP_608881.1|DMEL
OG0000007	LOC6545300|XP_001972058.2|DERE	Jon65Aii|NP_648014.1|DMEL
OG0000007	LOC6545301|XP_001972059.1|DERE	Jon65Ai|NP_648015.1|DMEL
OG0000008	LOC6553905|XP_001979522.1|DERE	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC6543716|XP_001971859.1|DERE	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC6543719|XP_001971862.1|DERE	Cpr64Ad|NP_647875.1|DMEL
OG0000008	LOC6541660|XP_001969797.3|DERE	Crys|NP_476906.1|DMEL
OG0000008	LOC6543717|XP_001971860.3|DERE	Cpr64Ab|NP_647873.2|DMEL
OG0000008	LOC6551209|XP_001977016.1|DERE	Cpr5C|NP_572266.1|DMEL
OG0000008	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL
OG0000008	LOC6553018|XP_001979109.1|DERE	Ccp84Ad|NP_649680.1|DMEL
