Orthogroup	DERE.longest_only	DSIM.longest_only
OG0000000	LOC6545981|XP_001972189.2|DERE	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM
OG0000000	LOC6555364|XP_026831619.1|DERE	LOC27208741|XP_016036703.2|DSIM
OG0000000	LOC6546799|XP_001975893.2|DERE	LOC6734181|XP_016027194.1|DSIM
OG0000000	LOC6541982|XP_001968936.1|DERE	LOC6732391|XP_002079512.1|DSIM
OG0000000	LOC6552159|XP_001980711.1|DERE	LOC6728686|XP_016035358.1|DSIM
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC6738254|XP_039150029.1|DSIM
OG0000000	LOC6544813|XP_001973192.2|DERE	LOC6738257|XP_016032137.1|DSIM
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC6551988|XP_026839788.1|DERE	LOC6728763|XP_002104098.1|DSIM
OG0000000	LOC6551986|XP_026839789.1|DERE	LOC6730296|XP_039151807.1|DSIM
OG0000000	LOC6554923|XP_001981128.1|DERE	LOC6730295|XP_016037057.1|DSIM
OG0000000	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE	LOC6730724|XP_016023153.2|DSIM
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC6541136|XP_001969303.1|DERE	LOC6731633|XP_002078773.1|DSIM
OG0000000	LOC6554482|XP_001981927.3|DERE	LOC6729478|XP_002104788.3|DSIM
OG0000000	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE	LOC6734251|XP_039147854.1|DSIM
OG0000000	LOC6548870|XP_001975456.3|DERE	LOC6734670|XP_039148016.1|DSIM
OG0000000	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE	LOC27209298|XP_016030381.1|DSIM
OG0000000	LOC6542210|XP_026835022.1|DERE	LOC6738897|XP_002085692.1|DSIM
OG0000000	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE	LOC6730565|XP_016023011.1|DSIM, LOC6730566|XP_002077745.1|DSIM
OG0000000	LOC6544187|XP_026833238.1|DERE	LOC6736799|XP_039149212.1|DSIM
OG0000000	LOC26526690|XP_015009401.1|DERE	LOC6729069|XP_016035716.1|DSIM
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC6732608|XP_002079727.1|DSIM
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE	LOC6736069|XP_002082970.1|DSIM
OG0000000	LOC6548099|XP_001976605.1|DERE	LOC6736068|XP_002082969.1|DSIM
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC6729989|XP_002105283.1|DSIM
OG0000000	LOC6551915|XP_001978850.1|DERE	LOC6726722|XP_002102133.3|DSIM
OG0000000	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE	LOC6738252|XP_002085064.1|DSIM
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC6734821|XP_002081824.1|DSIM
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC6547452|XP_001974865.2|DERE	LOC6735327|XP_016028674.2|DSIM
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC6738777|XP_016032596.1|DSIM
OG0000002	LOC6543212|XP_026834323.1|DERE	LOC6731201|XP_002078360.1|DSIM
OG0000003	LOC6549103|XP_001975568.1|DERE	LOC6734558|XP_002081567.1|DSIM
OG0000003	LOC6548983|XP_001975566.1|DERE	LOC6734560|XP_016027665.1|DSIM
OG0000003	LOC6554587|XP_001981543.2|DERE	LOC6729847|XP_016036585.1|DSIM
OG0000003	LOC6548982|XP_001975565.1|DERE	LOC6734561|XP_002081570.1|DSIM
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC6733269|XP_002080332.1|DSIM
OG0000003	LOC6549104|XP_001975569.3|DERE	LOC6734555|XP_002081564.3|DSIM
OG0000003	LOC6549102|XP_001975567.1|DERE	LOC6734559|XP_002081568.1|DSIM
OG0000003	LOC6549105|XP_001975570.1|DERE	LOC6734554|XP_039147555.1|DSIM
OG0000003	LOC6541262|XP_001970448.1|DERE	LOC6733557|XP_016026506.1|DSIM
OG0000003	LOC6543237|XP_001970449.1|DERE	LOC6733555|XP_039148197.1|DSIM
OG0000003	LOC6543184|XP_001968830.1|DERE	LOC6731100|XP_002078257.3|DSIM
OG0000004	LOC113564789|XP_026839439.1|DERE, LOC113564794|XP_026839442.1|DERE, LOC113564793|XP_026839441.1|DERE, LOC113564762|XP_026839397.1|DERE, LOC113564780|XP_026839412.1|DERE, LOC113564788|XP_026839438.1|DERE, LOC113564798|XP_026839446.1|DERE, LOC113564782|XP_026839414.1|DERE, LOC113564781|XP_026839413.1|DERE	LOC27206793|XP_016022768.2|DSIM, LOC120285540|XP_039154131.1|DSIM, LOC120285538|XP_039154129.1|DSIM, LOC120285535|XP_039154126.1|DSIM, LOC120285537|XP_039154128.1|DSIM, LOC120285539|XP_039154130.1|DSIM, LOC120285536|XP_039154127.1|DSIM, LOC120285792|XP_039154341.1|DSIM, LOC120285796|XP_039154345.1|DSIM, LOC120285257|XP_039152608.1|DSIM, LOC120285256|XP_039152600.1|DSIM, LOC120285795|XP_039154344.1|DSIM, LOC120285791|XP_039154340.1|DSIM, LOC6733079|XP_002080156.3|DSIM, LOC120285793|XP_039154342.1|DSIM, LOC120285794|XP_039154343.1|DSIM, LOC6740700|XP_002077499.3|DSIM
OG0000005	LOC113564801|XP_026839449.1|DERE	LOC120285549|XP_039154139.1|DSIM, LOC27207875|XP_039154141.1|DSIM
OG0000005	LOC6548707|XP_001973996.1|DERE	LOC120285804|XP_039154354.1|DSIM
OG0000005	LOC6556031|XP_001982896.1|DERE	LOC6740385|XP_002077244.1|DSIM
OG0000005	LOC6556046|XP_001982906.1|DERE	LOC120285279|XP_039152693.1|DSIM
OG0000006	LOC113564783|XP_026839415.1|DERE	LOC120285260|XP_039152620.1|DSIM
OG0000006	LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE	LOC120285545|XP_039154135.1|DSIM
OG0000006	LOC6548691|XP_001974010.1|DERE	LOC120285543|XP_039154133.1|DSIM, LOC120285261|XP_039152626.1|DSIM, LOC120285802|XP_039154352.1|DSIM, LOC120285799|XP_039154349.1|DSIM, LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM, LOC120285266|XP_039152652.1|DSIM
OG0000007	LOC6546441|XP_001972927.1|DERE	LOC6738477|XP_016032322.1|DSIM
OG0000007	LOC6545298|XP_001972056.1|DERE	LOC6736955|XP_002083802.1|DSIM
OG0000007	LOC6545299|XP_001972057.1|DERE	LOC6736956|XP_002083803.1|DSIM
OG0000007	LOC6545296|XP_001972054.1|DERE	LOC6736953|XP_002083800.1|DSIM
OG0000007	LOC6545101|XP_001972052.1|DERE	LOC6736948|XP_039149135.1|DSIM
OG0000007	LOC6545102|XP_001972053.1|DERE	LOC6736952|XP_002083799.1|DSIM
OG0000007	LOC6540938|XP_001968734.1|DERE	LOC6731020|XP_002078181.1|DSIM
OG0000007	LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE	LOC6730230|XP_002105513.1|DSIM, LOC6740467|XP_002077312.3|DSIM, LOC6730231|XP_002105514.2|DSIM
OG0000007	LOC6554433|XP_001981284.1|DERE, LOC6554432|XP_001981283.1|DERE	LOC120284928|XP_039150400.1|DSIM, LOC6730135|XP_039150399.1|DSIM
OG0000007	LOC6540876|XP_001968735.1|DERE	LOC6731021|XP_002078182.1|DSIM
OG0000007	LOC6545660|XP_001971664.1|DERE	LOC27206286|XP_016030986.1|DSIM
OG0000007	LOC6540935|XP_001968733.1|DERE	LOC6731019|XP_002078180.2|DSIM
OG0000007	LOC6545300|XP_001972058.2|DERE	LOC6736957|XP_016030597.1|DSIM
OG0000007	LOC6545301|XP_001972059.1|DERE	LOC27207276|XP_016030598.2|DSIM
OG0000008	LOC6553905|XP_001979522.1|DERE	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC6543716|XP_001971859.1|DERE	LOC6736741|XP_002083597.1|DSIM
OG0000008	LOC6543719|XP_001971862.1|DERE	LOC6736744|XP_016030372.1|DSIM
OG0000008	LOC6541660|XP_001969797.3|DERE	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC6543717|XP_001971860.3|DERE	LOC6736742|XP_002083598.1|DSIM
OG0000008	LOC6551209|XP_001977016.1|DERE	LOC6725212|XP_002106235.2|DSIM
OG0000008	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE	LOC6726999|XP_039151364.1|DSIM
OG0000008	LOC6553018|XP_001979109.1|DERE	LOC6726998|XP_016033494.2|DSIM
OG0000008	LOC6553016|XP_001979107.1|DERE	LOC6726996|XP_002102397.1|DSIM
OG0000008	LOC6553017|XP_001979108.1|DERE	LOC6726997|XP_002102398.2|DSIM
OG0000008	LOC6553015|XP_001979106.1|DERE	LOC6726995|XP_002102396.1|DSIM
OG0000009	LOC6554105|XP_001979501.1|DERE	LOC6727419|XP_002102801.1|DSIM
OG0000009	LOC6554107|XP_001979503.1|DERE	LOC6727422|XP_002102804.2|DSIM
OG0000009	LOC6554108|XP_001979504.1|DERE	LOC6727423|XP_016033975.1|DSIM
OG0000009	LOC6554106|XP_001979502.1|DERE	LOC6727420|XP_002102802.1|DSIM
OG0000009	LOC6548094|XP_001976600.1|DERE	LOC6736062|XP_002082963.1|DSIM
OG0000009	LOC6553884|XP_001980458.1|DERE	LOC6728414|XP_016035007.1|DSIM
OG0000009	LOC6546804|XP_001975914.1|DERE	LOC6734157|XP_002081186.1|DSIM
OG0000009	LOC6546805|XP_001975915.1|DERE	LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM
OG0000010	LOC6556039|XP_015008608.2|DERE	LOC120285280|XP_039152696.1|DSIM
OG0000010	LOC113564802|XP_026839451.1|DERE	LOC120285556|XP_039154147.1|DSIM, LOC120285554|XP_039154145.1|DSIM, LOC120285286|XP_039152711.1|DSIM, LOC120285281|XP_039152698.1|DSIM, LOC120285287|XP_039152722.1|DSIM, LOC120285553|XP_039154144.1|DSIM, LOC120285282|XP_039152699.1|DSIM
OG0000010	LOC6556049|XP_001982909.3|DERE	LOC6728075|XP_016034694.1|DSIM
OG0000011	LOC6540864|XP_001968531.3|DERE	LOC6730832|XP_016023246.1|DSIM
OG0000011	LOC6540904|XP_026835063.1|DERE	LOC6730831|XP_002077997.2|DSIM
OG0000011	LOC6543446|XP_001968684.2|DERE	LOC27207823|XP_016023441.1|DSIM
OG0000011	LOC6543815|XP_001973630.3|DERE	LOC27206207|XP_039149631.1|DSIM
OG0000011	LOC6555031|XP_001981173.1|DERE	LOC27208543|XP_016037023.1|DSIM
OG0000011	LOC113564144|XP_026835345.1|DERE	LOC27207879|XP_016023440.1|DSIM
OG0000011	LOC6547227|XP_026836974.1|DERE	LOC27208182|XP_016025194.2|DSIM
OG0000011	LOC6547233|XP_026836236.1|DERE	LOC6732545|XP_016025201.1|DSIM
OG0000011	LOC6551039|XP_001978306.1|DERE	LOC6725826|XP_016039150.1|DSIM, LOC27206349|XP_016039152.1|DSIM
OG0000011	LOC6545632|XP_001972694.2|DERE	LOC6737998|XP_002084813.2|DSIM
OG0000011	LOC6545633|XP_001972695.1|DERE	LOC27206230|XP_016031794.1|DSIM
OG0000011	LOC6552127|XP_001980788.1|DERE	LOC6728756|XP_002104091.1|DSIM
OG0000012	LOC6547483|XP_015011854.1|DERE	LOC6735247|XP_016028572.1|DSIM
OG0000012	LOC6547482|XP_001974798.1|DERE	LOC6735246|XP_016028570.1|DSIM
OG0000012	LOC6547337|XP_015012184.1|DERE	LOC6735245|XP_016028569.1|DSIM
OG0000012	LOC6547484|XP_026836781.1|DERE	LOC6735248|XP_016028574.1|DSIM
OG0000012	LOC6547486|XP_001974802.1|DERE	LOC6735250|XP_002082223.1|DSIM
OG0000012	LOC6547485|XP_015012185.1|DERE	LOC6735249|XP_016028575.1|DSIM
OG0000012	LOC6546830|XP_026836193.1|DERE	LOC6734131|XP_002081160.1|DSIM
OG0000012	LOC6546691|XP_001975936.3|DERE	LOC6734132|XP_016027145.1|DSIM
OG0000012	LOC6546690|XP_001975935.1|DERE	LOC6734133|XP_002081162.3|DSIM
OG0000012	LOC26526953|XP_026835974.1|DERE	LOC6734134|XP_016027146.1|DSIM
OG0000012	LOC6546689|XP_001975934.2|DERE	LOC6734135|XP_002081164.1|DSIM
OG0000012	LOC6546688|XP_001975933.1|DERE	LOC6734136|XP_016027147.1|DSIM
OG0000013	LOC6549620|XP_001975657.1|DERE	LOC6734455|XP_002081474.1|DSIM
OG0000013	LOC6551261|XP_026838843.1|DERE	LOC6725717|XP_016038992.1|DSIM
OG0000013	LOC6553110|XP_001980016.1|DERE	LOC6728006|XP_016034604.1|DSIM
OG0000013	LOC6545627|XP_026832753.1|DERE	LOC6737992|XP_016031791.1|DSIM
OG0000013	LOC6553734|XP_001980320.1|DERE	LOC6728269|XP_002103618.2|DSIM
OG0000013	LOC6554353|XP_001982051.1|DERE	LOC6729335|XP_016035977.1|DSIM
OG0000013	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE	LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM
OG0000013	LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE	LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM
OG0000015	LOC6549487|XP_001974261.3|DERE	LOC6732807|XP_002079920.3|DSIM
OG0000015	LOC6541487|XP_001968624.1|DERE	LOC27208270|XP_016038606.1|DSIM
OG0000015	LOC26527019|XP_015015589.1|DERE	LOC6730642|XP_002077813.2|DSIM
OG0000015	LOC6549638|XP_026836388.1|DERE	LOC6739194|XP_002076105.3|DSIM
OG0000015	LOC6542316|XP_001970154.1|DERE	LOC6731349|XP_002078505.1|DSIM
OG0000015	LOC6541306|XP_001970208.1|DERE	LOC6731405|XP_002078558.1|DSIM
