Orthogroup	DERE.longest_only	DEUG.longest_only
OG0000000	LOC6545981|XP_001972189.2|DERE	LOC108114097|XP_017080345.1|DEUG
OG0000000	LOC6541982|XP_001968936.1|DERE	LOC108105829|XP_017068062.1|DEUG
OG0000000	LOC6552159|XP_001980711.1|DERE	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC108113889|XP_017080083.1|DEUG
OG0000000	LOC6544813|XP_001973192.2|DERE	LOC108114143|XP_017080414.1|DEUG
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC6554922|XP_001981127.2|DERE	LOC108104209|XP_017065641.1|DEUG
OG0000000	LOC6554923|XP_001981128.1|DERE	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG
OG0000000	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE	LOC108113894|XP_017080088.1|DEUG
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG
OG0000000	LOC6541136|XP_001969303.1|DERE	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG
OG0000000	LOC6554482|XP_001981927.3|DERE	LOC108117463|XP_017085374.1|DEUG
OG0000000	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG
OG0000000	LOC6548870|XP_001975456.3|DERE	LOC108112677|XP_017078310.1|DEUG
OG0000000	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE, LOC6542210|XP_026835022.1|DERE, LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE	LOC108108192|XP_017071633.1|DEUG
OG0000000	LOC26526690|XP_015009401.1|DERE	LOC108115565|XP_017082560.1|DEUG
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC108103054|XP_017063857.1|DEUG
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE	LOC108105763|XP_017067972.1|DEUG
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC108115960|XP_017083085.1|DEUG
OG0000000	LOC6551915|XP_001978850.1|DERE	LOC108114927|XP_017081602.1|DEUG
OG0000000	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE	LOC108114139|XP_017080411.1|DEUG
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC108112852|XP_017078659.1|DEUG
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC108112853|XP_017078660.1|DEUG
OG0000002	LOC6547452|XP_001974865.2|DERE	LOC108108874|XP_017072580.1|DEUG
OG0000002	LOC6540746|XP_001968931.3|DERE	LOC108105850|XP_017068103.1|DEUG
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG
OG0000002	LOC6542167|XP_001968638.1|DERE	LOC108110800|XP_017075517.1|DEUG
OG0000003	LOC6549103|XP_001975568.1|DERE	LOC108106604|XP_017069284.1|DEUG
OG0000003	LOC6548983|XP_001975566.1|DERE	LOC108106709|XP_017069429.1|DEUG
OG0000003	LOC6554587|XP_001981543.2|DERE	LOC108115764|XP_017082821.1|DEUG
OG0000003	LOC6548982|XP_001975565.1|DERE	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC108106562|XP_017069219.1|DEUG
OG0000003	LOC26526619|XP_015012824.1|DERE	LOC108106678|XP_017069398.1|DEUG
OG0000003	LOC6549102|XP_001975567.1|DERE	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG
OG0000003	LOC6549105|XP_001975570.1|DERE	LOC108106224|XP_017068639.1|DEUG
OG0000003	LOC6541262|XP_001970448.1|DERE	LOC108104525|XP_017066146.1|DEUG
OG0000003	LOC6543237|XP_001970449.1|DERE	LOC108104523|XP_017066143.1|DEUG
OG0000006	LOC113564783|XP_026839415.1|DERE, LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE	LOC108103399|XP_017064345.1|DEUG
OG0000007	LOC6545298|XP_001972056.1|DERE	LOC108107881|XP_017071156.1|DEUG
OG0000007	LOC6545102|XP_001972053.1|DERE	LOC108107883|XP_017071158.1|DEUG
OG0000007	LOC6540938|XP_001968734.1|DERE	LOC108102687|XP_017063316.1|DEUG
OG0000007	LOC6540876|XP_001968735.1|DERE	LOC108102695|XP_017063328.1|DEUG
OG0000007	LOC6545660|XP_001971664.1|DERE	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG
OG0000007	LOC6540935|XP_001968733.1|DERE	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG
OG0000007	LOC6545300|XP_001972058.2|DERE	LOC108107529|XP_017070559.1|DEUG
OG0000007	LOC6545301|XP_001972059.1|DERE	LOC108107925|XP_017071238.1|DEUG
OG0000008	LOC6553905|XP_001979522.1|DERE	LOC108117090|XP_017084777.1|DEUG
OG0000008	LOC6543716|XP_001971859.1|DERE	LOC108107847|XP_017071090.1|DEUG
OG0000008	LOC6543719|XP_001971862.1|DERE	LOC108107843|XP_017071086.1|DEUG
OG0000008	LOC6541660|XP_001969797.3|DERE	LOC108104027|XP_017065348.1|DEUG
OG0000008	LOC6543717|XP_001971860.3|DERE	LOC108107848|XP_017071091.1|DEUG
OG0000008	LOC6551209|XP_001977016.1|DERE	LOC108103232|XP_017064122.1|DEUG
OG0000008	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE	LOC108116557|XP_017083985.1|DEUG
OG0000008	LOC6553018|XP_001979109.1|DERE	LOC108116118|XP_017083331.1|DEUG
OG0000008	LOC6553016|XP_001979107.1|DERE	LOC108116121|XP_017083334.1|DEUG
OG0000008	LOC6553019|XP_001979110.3|DERE	LOC108116123|XP_017083335.1|DEUG
OG0000008	LOC6553017|XP_001979108.1|DERE	LOC108116120|XP_017083333.1|DEUG
OG0000008	LOC6553015|XP_001979106.1|DERE	LOC108116119|XP_017083332.1|DEUG
OG0000009	LOC6554105|XP_001979501.1|DERE	LOC108117308|XP_017085159.1|DEUG
OG0000009	LOC6554107|XP_001979503.1|DERE	LOC108117290|XP_017085135.1|DEUG
OG0000009	LOC6554108|XP_001979504.1|DERE	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG
OG0000009	LOC6554106|XP_001979502.1|DERE	LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG
OG0000009	LOC6548094|XP_001976600.1|DERE	LOC108107216|XP_017070122.1|DEUG
OG0000009	LOC6553884|XP_001980458.1|DERE	LOC108111728|XP_017076770.1|DEUG
OG0000009	LOC6546804|XP_001975914.1|DERE	LOC108106283|XP_017068739.1|DEUG
OG0000009	LOC6546805|XP_001975915.1|DERE	LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG
OG0000010	LOC113564795|XP_026839443.1|DERE, LOC6556039|XP_015008608.2|DERE	LOC108105230|XP_017067186.1|DEUG
OG0000011	LOC6540864|XP_001968531.3|DERE	LOC108111192|XP_017076075.1|DEUG
OG0000011	LOC6543446|XP_001968684.2|DERE	LOC108102616|XP_017063214.1|DEUG
OG0000011	LOC6543815|XP_001973630.3|DERE	LOC108108695|XP_017072289.1|DEUG
OG0000011	LOC6555031|XP_001981173.1|DERE	LOC108118231|XP_017086302.1|DEUG
OG0000011	LOC113564144|XP_026835345.1|DERE	LOC108102619|XP_017063216.1|DEUG
OG0000011	LOC6547227|XP_026836974.1|DERE	LOC108118458|XP_017086666.1|DEUG
OG0000011	LOC113564269|XP_026836076.1|DERE	LOC108118456|XP_017086662.1|DEUG
OG0000011	LOC6551039|XP_001978306.1|DERE	LOC108103884|XP_017065103.1|DEUG
OG0000011	LOC6545632|XP_001972694.2|DERE	LOC108105968|XP_017068261.1|DEUG
OG0000011	LOC6545633|XP_001972695.1|DERE	LOC108105967|XP_017068260.1|DEUG
OG0000011	LOC6552127|XP_001980788.1|DERE	LOC108109998|XP_017074326.1|DEUG
OG0000012	LOC6547483|XP_015011854.1|DERE	LOC108113192|XP_017079208.1|DEUG
OG0000012	LOC6547482|XP_001974798.1|DERE	LOC108113191|XP_017079207.1|DEUG
OG0000012	LOC6547337|XP_015012184.1|DERE	LOC108113343|XP_017079393.1|DEUG
OG0000012	LOC6547484|XP_026836781.1|DERE	LOC108113377|XP_017079435.1|DEUG
OG0000012	LOC6547486|XP_001974802.1|DERE	LOC108112131|XP_017077370.1|DEUG
OG0000012	LOC6547485|XP_015012185.1|DERE	LOC108112267|XP_017077578.1|DEUG
OG0000012	LOC6546830|XP_026836193.1|DERE	LOC108106282|XP_017068738.1|DEUG
OG0000012	LOC6546691|XP_001975936.3|DERE	LOC108106301|XP_017068761.1|DEUG
OG0000012	LOC6546690|XP_001975935.1|DERE	LOC108106279|XP_017068735.1|DEUG
OG0000012	LOC26526953|XP_026835974.1|DERE	LOC108106300|XP_017068760.1|DEUG
OG0000012	LOC6546689|XP_001975934.2|DERE	LOC108106742|XP_017069468.1|DEUG
OG0000012	LOC6546688|XP_001975933.1|DERE	LOC108106739|XP_017069464.1|DEUG
OG0000013	LOC6549620|XP_001975657.1|DERE	LOC108106511|XP_017069094.1|DEUG
OG0000013	LOC6551261|XP_026838843.1|DERE	LOC108104346|XP_017065833.1|DEUG
OG0000013	LOC6553110|XP_001980016.1|DERE	LOC108105608|XP_017067774.1|DEUG
OG0000013	LOC6545627|XP_026832753.1|DERE	LOC108105962|XP_017068250.1|DEUG
OG0000013	LOC6553734|XP_001980320.1|DERE	LOC108116899|XP_017084498.1|DEUG
OG0000013	LOC6554353|XP_001982051.1|DERE	LOC108116618|XP_017084081.1|DEUG
OG0000013	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG
OG0000015	LOC6549487|XP_001974261.3|DERE	LOC108106955|XP_017069721.1|DEUG
