Orthogroup	DERE.longest_only	DSUP.longest_only
OG0000000	LOC6545981|XP_001972189.2|DERE	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP
OG0000000	LOC6541982|XP_001968936.1|DERE	LOC119548573|XP_037711818.1|DSUP
OG0000000	LOC6552159|XP_001980711.1|DERE	LOC119560985|XP_037730690.1|DSUP
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC119555358|XP_037722624.1|DSUP
OG0000000	LOC6544813|XP_001973192.2|DERE	LOC119555354|XP_037722619.1|DSUP
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC119552809|XP_037718575.1|DSUP
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE	LOC119551506|XP_037716808.1|DSUP
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC119554400|XP_037721217.1|DSUP
OG0000000	LOC6541136|XP_001969303.1|DERE	LOC119546175|XP_037708225.1|DSUP
OG0000000	LOC6548870|XP_001975456.3|DERE	LOC119549570|XP_037713651.1|DSUP
OG0000000	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE, LOC6542210|XP_026835022.1|DERE, LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE	LOC119555097|XP_037722243.1|DSUP
OG0000000	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE	LOC119548144|XP_037711170.1|DSUP
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC119546339|XP_037708468.1|DSUP
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC119563146|XP_037732330.1|DSUP
OG0000000	LOC6551915|XP_001978850.1|DERE	LOC119560562|XP_037730007.1|DSUP
OG0000000	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE	LOC119552808|XP_037718574.1|DSUP
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC119550810|XP_037715678.1|DSUP
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC119551092|XP_037716195.1|DSUP
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC119551091|XP_037716194.1|DSUP
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP
OG0000002	LOC6541336|XP_001968621.3|DERE	LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP
OG0000003	LOC6549103|XP_001975568.1|DERE	LOC119549193|XP_037712950.1|DSUP
OG0000003	LOC6548983|XP_001975566.1|DERE	LOC119549691|XP_037713842.1|DSUP
OG0000003	LOC6554587|XP_001981543.2|DERE	LOC119553060|XP_037719113.1|DSUP
OG0000003	LOC6548982|XP_001975565.1|DERE	LOC119549692|XP_037713843.1|DSUP
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC119548975|XP_037712493.1|DSUP
OG0000003	LOC26526619|XP_015012824.1|DERE	LOC119549192|XP_037712949.1|DSUP
OG0000003	LOC6549104|XP_001975569.3|DERE	LOC119549585|XP_037713671.1|DSUP
OG0000003	LOC6549102|XP_001975567.1|DERE	LOC119550953|XP_037715907.1|DSUP
OG0000003	LOC6549105|XP_001975570.1|DERE	LOC119549586|XP_037713672.1|DSUP
OG0000003	LOC6541262|XP_001970448.1|DERE	LOC119551761|XP_037717216.1|DSUP
OG0000003	LOC6543237|XP_001970449.1|DERE	LOC119551759|XP_037717214.1|DSUP
OG0000003	LOC6543184|XP_001968830.1|DERE	LOC119546510|XP_037708761.1|DSUP
