Orthogroup	DERE.longest_only	DELE.longest_only
OG0000000	LOC6545981|XP_001972189.2|DERE	LOC108150093|XP_017133546.1|DELE
OG0000000	LOC6555364|XP_026831619.1|DERE	LOC108148460|XP_017130981.1|DELE
OG0000000	LOC6546799|XP_001975893.2|DERE	LOC108143366|XP_017123177.1|DELE
OG0000000	LOC6541982|XP_001968936.1|DERE	LOC108139044|XP_017117150.1|DELE
OG0000000	LOC6552159|XP_001980711.1|DERE	LOC108135022|XP_017111043.1|DELE
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC108145637|XP_017126661.1|DELE
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE	LOC108134556|XP_017110398.1|DELE
OG0000000	LOC6554923|XP_001981128.1|DERE	LOC108136678|XP_017113490.1|DELE
OG0000000	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE	LOC108150089|XP_017133542.1|DELE
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC108143736|XP_017123759.1|DELE
OG0000000	LOC6541136|XP_001969303.1|DERE	LOC108141650|XP_017120608.1|DELE
OG0000000	LOC6554482|XP_001981927.3|DERE	LOC108142885|XP_017122450.1|DELE
OG0000000	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE	LOC108145618|XP_017126643.1|DELE
OG0000000	LOC6548870|XP_001975456.3|DERE	LOC108141344|XP_017120143.1|DELE
OG0000000	LOC26526690|XP_015009401.1|DERE	LOC108148604|XP_017131171.1|DELE
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE	LOC108144147|XP_017124279.1|DELE
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC108147230|XP_017129111.1|DELE
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC108144341|XP_017124554.1|DELE
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE
OG0000002	LOC6542167|XP_001968638.1|DERE	LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE
