Orthogroup	DERE.longest_only	DMIR.longest_only
OG0000000	LOC6545981|XP_001972189.2|DERE	LOC108150869|XP_017134661.1|DMIR
OG0000000	LOC6555364|XP_026831619.1|DERE	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR
OG0000000	LOC6546799|XP_001975893.2|DERE	LOC117187734|XP_033246410.1|DMIR
OG0000000	LOC6541982|XP_001968936.1|DERE	LOC108158045|XP_017145679.2|DMIR
OG0000000	LOC6552159|XP_001980711.1|DERE	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC117185812|XP_033243800.1|DMIR
OG0000000	LOC6544813|XP_001973192.2|DERE	LOC108165373|XP_017156898.2|DMIR
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC108151290|XP_017135310.1|DMIR
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR
OG0000000	LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE, LOC6554922|XP_001981127.2|DERE, LOC6554923|XP_001981128.1|DERE	LOC108153842|XP_033245237.1|DMIR
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR
OG0000000	LOC26526690|XP_015009401.1|DERE	LOC108153951|XP_017139538.1|DMIR
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC108154608|XP_017140414.2|DMIR
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC108159521|XP_017148375.1|DMIR
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR
OG0000002	LOC6540746|XP_001968931.3|DERE	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC108152350|XP_017137109.1|DMIR
OG0000002	LOC6543212|XP_026834323.1|DERE	LOC108161232|XP_017150945.1|DMIR
OG0000003	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE	LOC108160528|XP_017150077.1|DMIR
OG0000003	LOC6554587|XP_001981543.2|DERE, LOC6548982|XP_001975565.1|DERE	LOC108160529|XP_017150078.1|DMIR
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC108160375|XP_017149841.1|DMIR
OG0000003	LOC26526619|XP_015012824.1|DERE, LOC6549104|XP_001975569.3|DERE	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR
OG0000003	LOC6549102|XP_001975567.1|DERE	LOC108160818|XP_017150534.1|DMIR
OG0000003	LOC6549105|XP_001975570.1|DERE	LOC108160275|XP_017149646.1|DMIR
OG0000003	LOC6541262|XP_001970448.1|DERE	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR
OG0000003	LOC6543237|XP_001970449.1|DERE	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR
OG0000003	LOC6543184|XP_001968830.1|DERE	LOC108163634|XP_017154532.1|DMIR
OG0000006	LOC6548669|XP_001974020.1|DERE	LOC117187301|XP_033245562.1|DMIR
OG0000006	LOC6548691|XP_001974010.1|DERE	LOC108156704|XP_017143842.2|DMIR
OG0000007	LOC6546441|XP_001972927.1|DERE	LOC108153040|XP_017138288.1|DMIR
OG0000007	LOC6545298|XP_001972056.1|DERE	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR
OG0000007	LOC6545299|XP_001972057.1|DERE	LOC108152481|XP_017137344.1|DMIR
OG0000007	LOC6545296|XP_001972054.1|DERE, LOC6545101|XP_001972052.1|DERE, LOC6545102|XP_001972053.1|DERE	LOC108152482|XP_017137345.1|DMIR
OG0000007	LOC6540938|XP_001968734.1|DERE	LOC108163948|XP_017154978.1|DMIR
OG0000007	LOC6540876|XP_001968735.1|DERE	LOC108164248|XP_017155372.1|DMIR
OG0000007	LOC6545660|XP_001971664.1|DERE	LOC108165521|XP_017157067.1|DMIR
OG0000007	LOC6540935|XP_001968733.1|DERE	LOC108164169|XP_017155268.2|DMIR
OG0000007	LOC6545300|XP_001972058.2|DERE	LOC108152483|XP_017137346.1|DMIR
OG0000007	LOC6545301|XP_001972059.1|DERE	LOC108152484|XP_017137347.1|DMIR
OG0000008	LOC6553905|XP_001979522.1|DERE	LOC108154982|XP_017141010.1|DMIR
OG0000008	LOC6543716|XP_001971859.1|DERE	LOC108151537|XP_017135681.1|DMIR
OG0000008	LOC6543719|XP_001971862.1|DERE	LOC108151536|XP_017135679.1|DMIR
OG0000008	LOC6541660|XP_001969797.3|DERE	LOC108161577|XP_017151355.1|DMIR
OG0000008	LOC6543717|XP_001971860.3|DERE	LOC108151539|XP_017135683.2|DMIR
OG0000008	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE	LOC108154402|XP_017140161.1|DMIR
OG0000008	LOC6553016|XP_001979107.1|DERE	LOC108153895|XP_033244232.1|DMIR
OG0000008	LOC6553019|XP_001979110.3|DERE	LOC108154515|XP_017140305.2|DMIR
OG0000008	LOC6553017|XP_001979108.1|DERE	LOC108153896|XP_017139483.1|DMIR
OG0000008	LOC6553015|XP_001979106.1|DERE	LOC108154491|XP_017140280.1|DMIR
OG0000009	LOC6554105|XP_001979501.1|DERE	LOC108157813|XP_017145500.1|DMIR
OG0000009	LOC6554107|XP_001979503.1|DERE	LOC108154360|XP_017140115.1|DMIR
OG0000009	LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR
OG0000009	LOC6548094|XP_001976600.1|DERE	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR
OG0000009	LOC6553884|XP_001980458.1|DERE	LOC108154377|XP_017140130.1|DMIR
OG0000009	LOC6546804|XP_001975914.1|DERE	LOC108160943|XP_017150721.1|DMIR
OG0000009	LOC6546805|XP_001975915.1|DERE	LOC108158336|XP_017146065.1|DMIR
OG0000010	LOC6556039|XP_015008608.2|DERE	LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR
OG0000010	LOC113564802|XP_026839451.1|DERE	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR
OG0000010	LOC6548705|XP_026839404.1|DERE, LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE	LOC117187312|XP_033245576.1|DMIR
OG0000010	LOC6556049|XP_001982909.3|DERE	LOC117187316|XP_033245580.1|DMIR
OG0000011	LOC113564152|XP_026835545.1|DERE, LOC6550533|XP_001977930.3|DERE, LOC6540864|XP_001968531.3|DERE, LOC6540904|XP_026835063.1|DERE, LOC6543446|XP_001968684.2|DERE, LOC6543815|XP_001973630.3|DERE, LOC6555031|XP_001981173.1|DERE, LOC113564144|XP_026835345.1|DERE, LOC113564056|XP_026834236.1|DERE, LOC6547227|XP_026836974.1|DERE, LOC113564269|XP_026836076.1|DERE, LOC6547226|XP_026836976.1|DERE, LOC6547233|XP_026836236.1|DERE, LOC6551039|XP_001978306.1|DERE	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR
OG0000011	LOC6545632|XP_001972694.2|DERE	LOC108165384|XP_017156911.1|DMIR
OG0000011	LOC6545633|XP_001972695.1|DERE	LOC108153161|XP_017138453.1|DMIR
OG0000011	LOC6552127|XP_001980788.1|DERE	LOC108154131|XP_017139754.1|DMIR
OG0000012	LOC6547483|XP_015011854.1|DERE	LOC108159199|XP_017147755.1|DMIR
OG0000012	LOC6547482|XP_001974798.1|DERE	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR
OG0000012	LOC6547337|XP_015012184.1|DERE	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR
OG0000012	LOC6547484|XP_026836781.1|DERE	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR
OG0000012	LOC6547486|XP_001974802.1|DERE	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR
OG0000012	LOC6547485|XP_015012185.1|DERE	LOC108160910|XP_017150675.1|DMIR
OG0000012	LOC6546830|XP_026836193.1|DERE	LOC108158925|XP_017147218.1|DMIR
OG0000012	LOC6546691|XP_001975936.3|DERE	LOC108158929|XP_017147224.1|DMIR
OG0000012	LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE	LOC108158928|XP_017147221.1|DMIR
OG0000012	LOC6546689|XP_001975934.2|DERE	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR
OG0000012	LOC6546688|XP_001975933.1|DERE	LOC108158927|XP_017147219.1|DMIR
OG0000013	LOC6549620|XP_001975657.1|DERE	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR
OG0000013	LOC6551261|XP_026838843.1|DERE	LOC108152903|XP_017138042.1|DMIR
OG0000013	LOC6553110|XP_001980016.1|DERE	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR
OG0000013	LOC6545627|XP_026832753.1|DERE	LOC108151516|XP_033243870.1|DMIR
OG0000013	LOC6554353|XP_001982051.1|DERE	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR
OG0000013	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR
OG0000016	LOC6553473|XP_001980267.1|DERE	LOC108156024|XP_017142762.1|DMIR
