Orthogroup	DERE.longest_only	DMAU.longest_only
OG0000000	LOC6545981|XP_001972189.2|DERE	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU
OG0000000	LOC6555364|XP_026831619.1|DERE	LOC117145695|XP_033167327.1|DMAU
OG0000000	LOC6546799|XP_001975893.2|DERE	LOC117138434|XP_033156436.1|DMAU
OG0000000	LOC6541982|XP_001968936.1|DERE	LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC6552159|XP_001980711.1|DERE	LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC6544813|XP_001973192.2|DERE	LOC117139149|XP_033157198.1|DMAU
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC6551988|XP_026839788.1|DERE	LOC117144786|XP_033166045.1|DMAU
OG0000000	LOC6554922|XP_001981127.2|DERE	LOC117142323|XP_033162125.1|DMAU
OG0000000	LOC6554923|XP_001981128.1|DERE	LOC117142325|XP_033162128.1|DMAU
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC6541136|XP_001969303.1|DERE	LOC117136304|XP_033153082.1|DMAU
OG0000000	LOC6554482|XP_001981927.3|DERE	LOC117145451|XP_033167010.1|DMAU
OG0000000	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE	LOC117137412|XP_033154732.1|DMAU
OG0000000	LOC6548870|XP_001975456.3|DERE	LOC117138341|XP_033156269.1|DMAU
OG0000000	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE	LOC117140233|XP_033158923.1|DMAU
OG0000000	LOC6542210|XP_026835022.1|DERE	LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU
OG0000000	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE	LOC117150663|XP_033173544.1|DMAU
OG0000000	LOC6544187|XP_026833238.1|DERE	LOC117139179|XP_033157239.1|DMAU
OG0000000	LOC26526690|XP_015009401.1|DERE	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC6551915|XP_001978850.1|DERE	LOC117145160|XP_033166598.1|DMAU
OG0000000	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE	LOC117140539|XP_033159419.1|DMAU
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC117138082|XP_033155798.1|DMAU
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC6547452|XP_001974865.2|DERE	LOC117136987|XP_033154052.1|DMAU
OG0000002	LOC6540746|XP_001968931.3|DERE	LOC117149870|XP_033172720.1|DMAU
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC117140283|XP_033159002.1|DMAU
OG0000002	LOC6543212|XP_026834323.1|DERE	LOC117136934|XP_033153971.1|DMAU
OG0000003	LOC6549103|XP_001975568.1|DERE	LOC117136850|XP_033153839.1|DMAU
OG0000003	LOC6548983|XP_001975566.1|DERE	LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC6554587|XP_001981543.2|DERE	LOC117145313|XP_033166799.1|DMAU
OG0000003	LOC6548982|XP_001975565.1|DERE	LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC6549104|XP_001975569.3|DERE	LOC117136849|XP_033153838.1|DMAU
OG0000003	LOC6549102|XP_001975567.1|DERE	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC6549105|XP_001975570.1|DERE	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC6541262|XP_001970448.1|DERE	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC6543237|XP_001970449.1|DERE	LOC117137102|XP_033154279.1|DMAU
OG0000003	LOC6543184|XP_001968830.1|DERE	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC6546441|XP_001972927.1|DERE	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC6545299|XP_001972057.1|DERE	LOC117142070|XP_033161841.1|DMAU
OG0000007	LOC6545101|XP_001972052.1|DERE	LOC117139205|XP_033157267.1|DMAU
OG0000007	LOC6545102|XP_001972053.1|DERE	LOC117140665|XP_033159603.1|DMAU
OG0000007	LOC6540938|XP_001968734.1|DERE	LOC117150742|XP_033173667.1|DMAU
OG0000007	LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE	LOC117143375|XP_033163942.1|DMAU, LOC117144956|XP_033166302.1|DMAU
OG0000007	LOC6554433|XP_001981284.1|DERE, LOC6554432|XP_001981283.1|DERE	LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU
OG0000007	LOC6540876|XP_001968735.1|DERE	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC6545660|XP_001971664.1|DERE	LOC117139147|XP_033157196.1|DMAU
OG0000007	LOC6540935|XP_001968733.1|DERE	LOC117139091|XP_033157106.1|DMAU
OG0000007	LOC6545300|XP_001972058.2|DERE	LOC117142071|XP_033161842.1|DMAU
OG0000007	LOC6545301|XP_001972059.1|DERE	LOC117142072|XP_033161843.1|DMAU
OG0000008	LOC6553905|XP_001979522.1|DERE	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC6543716|XP_001971859.1|DERE	LOC117140615|XP_033159521.1|DMAU
OG0000008	LOC6543719|XP_001971862.1|DERE	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC6541660|XP_001969797.3|DERE	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC6543717|XP_001971860.3|DERE	LOC117140617|XP_033159524.1|DMAU
OG0000008	LOC6551209|XP_001977016.1|DERE	LOC117147420|XP_033170189.1|DMAU
OG0000008	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU
OG0000008	LOC6553018|XP_001979109.1|DERE	LOC117144387|XP_033165412.1|DMAU
OG0000008	LOC6553016|XP_001979107.1|DERE	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC6553017|XP_001979108.1|DERE	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC6553015|XP_001979106.1|DERE	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC6554105|XP_001979501.1|DERE	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC6554107|XP_001979503.1|DERE	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC6554108|XP_001979504.1|DERE	LOC117145633|XP_033167244.1|DMAU
OG0000009	LOC6554106|XP_001979502.1|DERE	LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC6548094|XP_001976600.1|DERE	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC6553884|XP_001980458.1|DERE	LOC117143616|XP_033164265.1|DMAU
OG0000009	LOC6546804|XP_001975914.1|DERE	LOC117135792|XP_033152175.1|DMAU
OG0000009	LOC6546805|XP_001975915.1|DERE	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
OG0000010	LOC6552863|XP_026831792.1|DERE, LOC113564795|XP_026839443.1|DERE, LOC6556039|XP_015008608.2|DERE, LOC6548695|XP_001974014.1|DERE, LOC113564802|XP_026839451.1|DERE, LOC113564785|XP_026839418.1|DERE, LOC26526498|XP_026839417.1|DERE	LOC117142722|XP_033162774.1|DMAU
OG0000011	LOC6540864|XP_001968531.3|DERE	LOC117148149|XP_033171274.1|DMAU
OG0000011	LOC6540904|XP_026835063.1|DERE	LOC117148158|XP_033171286.1|DMAU
OG0000011	LOC6543446|XP_001968684.2|DERE	LOC117138313|XP_033156221.1|DMAU
OG0000011	LOC6543815|XP_001973630.3|DERE	LOC117140362|XP_033159107.1|DMAU
OG0000011	LOC113564144|XP_026835345.1|DERE	LOC117142406|XP_033162250.1|DMAU
OG0000011	LOC6547227|XP_026836974.1|DERE	LOC117150358|XP_033173108.1|DMAU
OG0000011	LOC6547233|XP_026836236.1|DERE	LOC117135201|XP_033151176.1|DMAU
OG0000011	LOC6551039|XP_001978306.1|DERE	LOC117148130|XP_033171246.1|DMAU, LOC117148131|XP_033171247.1|DMAU
