Orthogroup	DERE.longest_only	CQUI.longest_only
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI
OG0000002	LOC6543212|XP_026834323.1|DERE	LOC6031922|XP_001842608.2|CQUI, LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI, LOC6038017|XP_038110782.1|CQUI
OG0000006	LOC113564783|XP_026839415.1|DERE, LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE	LOC6045306|XP_001862695.1|CQUI
OG0000006	LOC6548691|XP_001974010.1|DERE	LOC6045329|XP_001862718.1|CQUI, LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI
OG0000007	LOC6546441|XP_001972927.1|DERE, LOC6545298|XP_001972056.1|DERE, LOC6545299|XP_001972057.1|DERE, LOC6545296|XP_001972054.1|DERE, LOC6545101|XP_001972052.1|DERE, LOC6545102|XP_001972053.1|DERE, LOC6540938|XP_001968734.1|DERE, LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE, LOC6554433|XP_001981284.1|DERE, LOC6554432|XP_001981283.1|DERE, LOC6540876|XP_001968735.1|DERE, LOC6545660|XP_001971664.1|DERE, LOC6540935|XP_001968733.1|DERE, LOC6545300|XP_001972058.2|DERE, LOC6545301|XP_001972059.1|DERE	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI
OG0000008	LOC6553905|XP_001979522.1|DERE	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	LOC6543716|XP_001971859.1|DERE	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI
OG0000008	LOC6543719|XP_001971862.1|DERE	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC6541660|XP_001969797.3|DERE	LOC6041962|XP_038113753.1|CQUI
OG0000008	LOC6543717|XP_001971860.3|DERE	LOC6035809|XP_001845931.2|CQUI
