Orthogroup	DSUP.longest_only	DANA.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP	LOC26513897|XP_014765549.1|DANA
OG0000000	LOC119551980|XP_037717623.1|DSUP	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA
OG0000000	LOC119548573|XP_037711818.1|DSUP	LOC6496234|XP_001960509.1|DANA
OG0000000	LOC119551998|XP_037717650.1|DSUP	LOC6494335|XP_001960511.2|DANA
OG0000000	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA
OG0000000	LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP	LOC6503296|XP_001967564.2|DANA
OG0000000	LOC119553046|XP_037719085.1|DSUP	LOC6502666|XP_032305659.1|DANA
OG0000000	LOC119546175|XP_037708225.1|DSUP, LOC119549570|XP_037713651.1|DSUP, LOC119549516|XP_037713556.1|DSUP, LOC119555097|XP_037722243.1|DSUP	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA
OG0000000	LOC119554309|XP_037721101.1|DSUP	LOC26514259|XP_032305722.1|DANA
OG0000000	LOC119546339|XP_037708468.1|DSUP	LOC6497917|XP_001961708.2|DANA
OG0000000	LOC119548570|XP_037711816.1|DSUP	LOC26514098|XP_032306915.1|DANA
OG0000000	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP	LOC6494112|XP_001960945.2|DANA
OG0000000	LOC119563146|XP_037732330.1|DSUP	LOC6499064|XP_032305682.1|DANA
OG0000000	LOC119560562|XP_037730007.1|DSUP	LOC6498897|XP_032305704.1|DANA
OG0000000	LOC119555440|XP_037722739.1|DSUP, LOC119555832|XP_037723387.1|DSUP	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA
OG0000002	LOC119550810|XP_037715678.1|DSUP	LOC6494276|XP_032306810.1|DANA
OG0000002	LOC119551092|XP_037716195.1|DSUP	LOC6496130|XP_001960293.1|DANA
OG0000002	LOC119551091|XP_037716194.1|DSUP	LOC6502577|XP_001960292.2|DANA
OG0000002	LOC119550446|XP_037715049.1|DSUP	LOC6495823|XP_001959659.3|DANA, LOC116654680|XP_032306049.1|DANA, LOC6495824|XP_001959660.3|DANA
OG0000002	LOC119546867|XP_037709399.1|DSUP	LOC116655418|XP_032309202.1|DANA
OG0000003	LOC119549193|XP_037712950.1|DSUP	LOC6495486|XP_001958950.1|DANA
OG0000003	LOC119549691|XP_037713842.1|DSUP	LOC6495485|XP_001958948.1|DANA
OG0000003	LOC119553060|XP_037719113.1|DSUP, LOC119549692|XP_037713843.1|DSUP	LOC6495484|XP_001958947.1|DANA
OG0000003	LOC119548975|XP_037712493.1|DSUP	LOC6496624|XP_001961285.3|DANA
OG0000003	LOC119549751|XP_037713922.1|DSUP, LOC119549192|XP_037712949.1|DSUP, LOC119549585|XP_037713671.1|DSUP	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA
OG0000003	LOC119550953|XP_037715907.1|DSUP	LOC6495154|XP_001958949.2|DANA
OG0000003	LOC119549586|XP_037713672.1|DSUP	LOC6495150|XP_014763173.1|DANA
OG0000003	LOC119551761|XP_037717216.1|DSUP	LOC6495217|XP_001958825.1|DANA
OG0000003	LOC119551759|XP_037717214.1|DSUP	LOC6495430|XP_001958829.1|DANA
OG0000003	LOC119551760|XP_037717215.1|DSUP	LOC6495216|XP_001958826.1|DANA
OG0000004	LOC119561504|XP_037731082.1|DSUP, LOC119546078|XP_037708083.1|DSUP	LOC116655976|XP_032310860.1|DANA, LOC26514479|XP_014758928.2|DANA, LOC116655701|XP_032309456.1|DANA, LOC116655709|XP_032309467.1|DANA, LOC116655975|XP_032310859.1|DANA, LOC6501745|XP_001967751.3|DANA, LOC6502880|XP_001967788.3|DANA, LOC6498691|XP_001967677.3|DANA, LOC116655427|XP_032309213.1|DANA, LOC116655702|XP_032309457.1|DANA, LOC6506068|XP_001967797.3|DANA, LOC6504968|XP_001964805.3|DANA, LOC116655977|XP_032310861.1|DANA, LOC116655978|XP_032310862.1|DANA, LOC116655704|XP_032309459.1|DANA, LOC6504908|XP_001964815.2|DANA, LOC6504940|XP_001964810.3|DANA, LOC116655703|XP_032309458.1|DANA, LOC6504875|XP_001964820.3|DANA, LOC6502394|XP_032309212.1|DANA, LOC6504999|XP_001964802.3|DANA
OG0000005	LOC119559217|XP_037728216.1|DSUP, LOC119559243|XP_037728242.1|DSUP, LOC119559230|XP_037728229.1|DSUP, LOC119559236|XP_037728234.1|DSUP, LOC119559223|XP_037728222.1|DSUP, LOC119559229|XP_037728228.1|DSUP, LOC119559222|XP_037728221.1|DSUP	LOC6501749|XP_001967750.2|DANA
OG0000006	LOC119548246|XP_037711314.1|DSUP	LOC6501746|XP_001967749.1|DANA
OG0000006	LOC119559188|XP_037728177.1|DSUP, LOC119559189|XP_037728178.1|DSUP, LOC119559257|XP_037728256.1|DSUP	LOC116656005|XP_032310965.1|DANA
OG0000006	LOC119547943|XP_037710919.1|DSUP	LOC6504195|XP_001967916.1|DANA, LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA
OG0000007	LOC119555653|XP_037723160.1|DSUP	LOC6506540|XP_001957688.2|DANA
OG0000007	LOC119554492|XP_037721353.1|DSUP	LOC6493534|XP_001957954.1|DANA
OG0000007	LOC119554495|XP_037721355.1|DSUP	LOC6493532|XP_001957952.1|DANA
OG0000007	LOC119546692|XP_037709098.1|DSUP	LOC6504215|XP_001965139.1|DANA
OG0000007	LOC119550735|XP_037715578.1|DSUP	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA
OG0000007	LOC119546891|XP_037709439.1|DSUP	LOC6504214|XP_001965140.1|DANA
OG0000007	LOC119553820|XP_037720375.1|DSUP	LOC6492986|XP_032310804.1|DANA
OG0000007	LOC119553445|XP_037719763.1|DSUP	LOC6507027|XP_001956797.1|DANA
OG0000007	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA
OG0000007	LOC119554496|XP_037721356.1|DSUP	LOC6506391|XP_001957958.1|DANA
OG0000008	LOC119559922|XP_037729053.1|DSUP	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC119554295|XP_037721083.1|DSUP	LOC6506513|XP_001957739.1|DANA
OG0000008	LOC119554293|XP_037721080.1|DSUP	LOC6493433|XP_001957742.1|DANA
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC6504295|XP_001965067.1|DANA
OG0000008	LOC119554296|XP_037721084.1|DSUP	LOC6506512|XP_001957740.2|DANA
OG0000008	LOC119556861|XP_037725260.1|DSUP	LOC6503895|XP_001963800.1|DANA
OG0000008	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP	LOC6499974|XP_001953515.1|DANA
OG0000008	LOC119560393|XP_037729749.1|DSUP	LOC6499973|XP_001953518.1|DANA
OG0000008	LOC119560395|XP_037729751.1|DSUP	LOC6500585|XP_001953520.1|DANA
OG0000008	LOC119560394|XP_037729750.1|DSUP	LOC6500584|XP_001953519.1|DANA
OG0000008	LOC119560107|XP_037729380.1|DSUP	LOC6499972|XP_001953521.2|DANA
OG0000009	LOC119560146|XP_037729428.1|DSUP	LOC6500401|XP_001953140.1|DANA
OG0000009	LOC119560480|XP_037729870.1|DSUP	LOC6500399|XP_001953138.1|DANA
OG0000009	LOC119560408|XP_037729769.1|DSUP	LOC6500144|XP_001953137.1|DANA
OG0000009	LOC119560481|XP_037729871.1|DSUP	LOC6500400|XP_001953139.2|DANA
OG0000009	LOC119550480|XP_037715097.1|DSUP	LOC6494113|XP_001960938.1|DANA
OG0000009	LOC119560195|XP_037729489.1|DSUP	LOC6500524|XP_001953390.1|DANA
OG0000009	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP	LOC6494922|XP_001959416.1|DANA
OG0000009	LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA
OG0000010	LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP	LOC6500231|XP_001952977.1|DANA
OG0000010	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP	LOC116656007|XP_032310968.1|DANA
