Orthogroup	DSUP.longest_only	DYAK.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP	LOC6532541|XP_002093287.2|DYAK
OG0000000	LOC119548573|XP_037711818.1|DSUP	LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC119560985|XP_037730690.1|DSUP	LOC6536475|XP_002097056.2|DYAK
OG0000000	LOC119551998|XP_037717650.1|DSUP	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC119555358|XP_037722624.1|DSUP	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC119555354|XP_037722619.1|DSUP	LOC6535097|XP_039229817.1|DYAK
OG0000000	LOC119552809|XP_037718575.1|DSUP	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC119549854|XP_037714077.1|DSUP	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC119554400|XP_037721217.1|DSUP	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC119546175|XP_037708225.1|DSUP	LOC6527857|XP_002088929.1|DYAK
OG0000000	LOC119549570|XP_037713651.1|DSUP	LOC6531513|XP_002092312.3|DYAK
OG0000000	LOC119555097|XP_037722243.1|DSUP	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK, LOC26534860|XP_015046022.1|DYAK, LOC26535167|XP_015046650.1|DYAK
OG0000000	LOC119548144|XP_037711170.1|DSUP	LOC6526414|XP_002087533.2|DYAK
OG0000000	LOC119554309|XP_037721101.1|DSUP	LOC26535595|XP_015049129.2|DYAK
OG0000000	LOC119563229|XP_037732462.1|DSUP	LOC6538949|XP_002099452.1|DYAK
OG0000000	LOC119546339|XP_037708468.1|DSUP	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC119549506|XP_037713545.1|DSUP	LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK
OG0000000	LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP	LOC6530976|XP_002091814.2|DYAK
OG0000000	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC119563146|XP_037732330.1|DSUP	LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC119560562|XP_037730007.1|DSUP	LOC6535316|XP_002095972.1|DYAK
OG0000000	LOC119552808|XP_037718574.1|DSUP	LOC6539519|XP_002086405.1|DYAK
OG0000000	LOC119555360|XP_037722626.1|DSUP	LOC6539518|XP_039230304.1|DYAK
OG0000000	LOC119555832|XP_037723387.1|DSUP	LOC6533890|XP_002094590.1|DYAK
OG0000002	LOC119550810|XP_037715678.1|DSUP	LOC6531354|XP_002092157.1|DYAK
OG0000002	LOC119551092|XP_037716195.1|DSUP	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC119551091|XP_037716194.1|DSUP	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP	LOC26535670|XP_015050876.2|DYAK
OG0000002	LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP	LOC6526775|XP_002087878.2|DYAK
OG0000003	LOC119549193|XP_037712950.1|DSUP	LOC6530460|XP_002091376.2|DYAK
OG0000003	LOC119549691|XP_037713842.1|DSUP	LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC119553060|XP_037719113.1|DSUP	LOC6538264|XP_002098791.1|DYAK
OG0000003	LOC119549692|XP_037713843.1|DSUP	LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC119548975|XP_037712493.1|DSUP	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC119549192|XP_037712949.1|DSUP	LOC6530458|XP_002091374.1|DYAK
OG0000003	LOC119549585|XP_037713671.1|DSUP	LOC6530457|XP_002091373.1|DYAK
OG0000003	LOC119550953|XP_037715907.1|DSUP	LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC119549586|XP_037713672.1|DSUP	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC119551761|XP_037717216.1|DSUP	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC119551759|XP_037717214.1|DSUP	LOC6528606|XP_002089649.1|DYAK
OG0000003	LOC119551760|XP_037717215.1|DSUP	LOC120320435|XP_002089650.1|DYAK
OG0000003	LOC119546510|XP_037708761.1|DSUP	LOC6528128|XP_002089195.3|DYAK
OG0000004	LOC119546076|XP_037708081.1|DSUP, LOC119561441|XP_037731022.1|DSUP, LOC119559251|XP_037728250.1|DSUP, LOC119561442|XP_037731023.1|DSUP	LOC120322179|XP_039233170.1|DYAK, LOC6529212|XP_002090219.3|DYAK, LOC120322177|XP_039233168.1|DYAK, LOC120322178|XP_039233169.1|DYAK, LOC6539223|XP_002086123.3|DYAK
OG0000004	LOC119561429|XP_037731011.1|DSUP, LOC119559242|XP_037728241.1|DSUP, LOC119559173|XP_037728162.1|DSUP, LOC119559174|XP_037728163.1|DSUP, LOC119561440|XP_037731020.1|DSUP, LOC119559179|XP_037728167.1|DSUP, LOC119546618|XP_037708984.1|DSUP, LOC119561433|XP_037731015.1|DSUP, LOC119559178|XP_037728166.1|DSUP, LOC119547940|XP_037710915.1|DSUP, LOC119561511|XP_037731090.1|DSUP, LOC119548245|XP_037711313.1|DSUP, LOC119559232|XP_037728231.1|DSUP, LOC119561428|XP_037731010.1|DSUP, LOC119561434|XP_037731016.1|DSUP, LOC119559226|XP_037728224.1|DSUP, LOC119561431|XP_037731013.1|DSUP, LOC119561435|XP_037731017.1|DSUP, LOC119559225|XP_037728223.1|DSUP, LOC119559219|XP_037728218.1|DSUP, LOC119561432|XP_037731014.1|DSUP, LOC119559218|XP_037728217.1|DSUP, LOC119547941|XP_037710916.1|DSUP, LOC119561427|XP_037731009.1|DSUP, LOC119559175|XP_037728164.1|DSUP, LOC119559177|XP_037728165.1|DSUP, LOC119561512|XP_037731091.1|DSUP, LOC119559231|XP_037728230.1|DSUP, LOC119546960|XP_037709531.1|DSUP, LOC119559171|XP_037728160.1|DSUP, LOC119561438|XP_037731019.1|DSUP	LOC120322176|XP_039233166.1|DYAK
OG0000004	LOC119561503|XP_037731081.1|DSUP, LOC119561533|XP_037731112.1|DSUP, LOC119561508|XP_037731087.1|DSUP	LOC6540440|XP_039228255.1|DYAK
OG0000005	LOC119559203|XP_037728200.1|DSUP	LOC120322210|XP_039233201.1|DYAK
OG0000005	LOC119561464|XP_037731045.1|DSUP	LOC120321200|XP_039229119.1|DYAK, LOC120321199|XP_039229118.1|DYAK
OG0000005	LOC119547945|XP_037710922.1|DSUP, LOC119559201|XP_037728196.1|DSUP	LOC120321241|XP_039229337.1|DYAK
OG0000005	LOC119559197|XP_037728189.1|DSUP	LOC6539222|XP_002086121.1|DYAK
OG0000005	LOC119561417|XP_037730999.1|DSUP	LOC120322200|XP_039233191.1|DYAK
OG0000005	LOC119561470|XP_037731051.1|DSUP	LOC120321243|XP_039229339.1|DYAK
OG0000006	LOC119547990|XP_037710974.1|DSUP	LOC6540215|XP_039233179.1|DYAK
OG0000006	LOC119559257|XP_037728256.1|DSUP	LOC120322197|XP_039233188.1|DYAK, LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC119546622|XP_037708987.1|DSUP	LOC120321198|XP_039229117.1|DYAK
OG0000006	LOC119547943|XP_037710919.1|DSUP	LOC120322189|XP_039233180.1|DYAK, LOC26535831|XP_015045247.2|DYAK
OG0000007	LOC119555653|XP_037723160.1|DSUP	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
OG0000007	LOC119554492|XP_037721353.1|DSUP	LOC6533142|XP_002093868.1|DYAK
OG0000007	LOC119554489|XP_037721348.1|DSUP	LOC6533143|XP_002093869.1|DYAK
OG0000007	LOC119554495|XP_037721355.1|DSUP	LOC6533140|XP_002093866.1|DYAK
OG0000007	LOC119554490|XP_037721351.1|DSUP	LOC6533138|XP_002093864.1|DYAK
OG0000007	LOC119546692|XP_037709098.1|DSUP	LOC6527619|XP_002088707.1|DYAK
OG0000007	LOC119550735|XP_037715578.1|DSUP	LOC6528628|XP_002089670.1|DYAK
OG0000007	LOC119546891|XP_037709439.1|DSUP	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC119553820|XP_037720375.1|DSUP	LOC6532723|XP_002093465.1|DYAK
OG0000007	LOC119553445|XP_037719763.1|DSUP	LOC6532724|XP_002093466.1|DYAK
OG0000007	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP	LOC6527620|XP_002088708.1|DYAK
OG0000007	LOC119554496|XP_037721356.1|DSUP	LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC119559922|XP_037729053.1|DSUP	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC119554295|XP_037721083.1|DSUP	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC119554293|XP_037721080.1|DSUP	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC119554296|XP_037721084.1|DSUP	LOC6532928|XP_002093664.1|DYAK
OG0000008	LOC119556861|XP_037725260.1|DSUP	LOC6524096|XP_002099960.1|DYAK
OG0000008	LOC119560392|XP_037729748.1|DSUP	LOC6536138|XP_039231652.1|DYAK
OG0000008	LOC119560393|XP_037729749.1|DSUP	LOC6536141|XP_039231654.1|DYAK
OG0000008	LOC119560395|XP_037729751.1|DSUP	LOC6536143|XP_002096744.1|DYAK
OG0000008	LOC119560394|XP_037729750.1|DSUP	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC119560107|XP_037729380.1|DSUP	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC119560146|XP_037729428.1|DSUP	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC119560480|XP_037729870.1|DSUP	LOC6535721|XP_002096347.1|DYAK
OG0000009	LOC119560408|XP_037729769.1|DSUP	LOC6535720|XP_002096346.1|DYAK
OG0000009	LOC119560481|XP_037729871.1|DSUP	LOC6535722|XP_002096348.1|DYAK
OG0000009	LOC119550480|XP_037715097.1|DSUP	LOC6532044|XP_002092821.1|DYAK
OG0000009	LOC119560195|XP_037729489.1|DSUP	LOC6536768|XP_002097339.1|DYAK
OG0000009	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP	LOC6530109|XP_002091055.1|DYAK
OG0000009	LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP	LOC120322219|XP_039233209.1|DYAK
OG0000010	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP	LOC120322218|XP_039233208.1|DYAK
OG0000010	LOC119548250|XP_037711321.1|DSUP	LOC120322222|XP_039233212.1|DYAK
OG0000010	LOC119547947|XP_037710925.1|DSUP	LOC26535638|XP_039229341.1|DYAK, LOC120322220|XP_039233210.1|DYAK, LOC26535724|XP_039233215.1|DYAK, LOC120322221|XP_039233211.1|DYAK
OG0000011	LOC119548026|XP_037711028.1|DSUP	LOC26534881|XP_015054560.1|DYAK
OG0000011	LOC119558003|XP_037727039.1|DSUP	LOC6525318|XP_002101154.2|DYAK
