Orthogroup	DSUP.longest_only	DKIK.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP	LOC108078585|XP_017027994.1|DKIK
OG0000000	LOC119551980|XP_037717623.1|DSUP	LOC108077905|XP_017026932.1|DKIK
OG0000000	LOC119560985|XP_037730690.1|DSUP	LOC108084016|XP_017035518.1|DKIK
OG0000000	LOC119551998|XP_037717650.1|DSUP	LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC119555358|XP_037722624.1|DSUP	LOC108078602|XP_017028011.1|DKIK
OG0000000	LOC119555354|XP_037722619.1|DSUP	LOC108078603|XP_017028013.1|DKIK
OG0000000	LOC119549854|XP_037714077.1|DSUP	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC119551506|XP_037716808.1|DSUP	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK
OG0000000	LOC119562944|XP_037732029.1|DSUP	LOC108085312|XP_017037357.1|DKIK
OG0000000	LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK
OG0000000	LOC119549516|XP_037713556.1|DSUP	LOC108080867|XP_017031259.1|DKIK
OG0000000	LOC119562016|XP_037731317.1|DSUP	LOC108073657|XP_017020873.1|DKIK, LOC108073658|XP_017020874.1|DKIK, LOC108073660|XP_017020875.1|DKIK, LOC108073704|XP_017020929.1|DKIK
OG0000000	LOC119554309|XP_037721101.1|DSUP	LOC108073703|XP_017020927.1|DKIK
OG0000000	LOC119547184|XP_037709847.1|DSUP	LOC108080896|XP_017031287.1|DKIK
OG0000000	LOC119547564|XP_037710393.1|DSUP	LOC108082281|XP_017033101.1|DKIK
OG0000000	LOC119546339|XP_037708468.1|DSUP	LOC108076851|XP_017025370.1|DKIK
OG0000000	LOC119548570|XP_037711816.1|DSUP	LOC108086044|XP_017038352.1|DKIK
