Orthogroup	DSUP.longest_only	DMEL.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP	CG33700|NP_001027121.3|DMEL
OG0000000	LOC119548573|XP_037711818.1|DSUP	CG33679|NP_001027273.1|DMEL
OG0000000	LOC119560985|XP_037730690.1|DSUP	CG33783|NP_001027168.1|DMEL
OG0000000	LOC119551998|XP_037717650.1|DSUP	CG33775|NP_001027410.1|DMEL
OG0000000	LOC119555358|XP_037722624.1|DSUP	CG33687|NP_001027130.2|DMEL
OG0000000	LOC119555354|XP_037722619.1|DSUP	CG33690|NP_001368948.1|DMEL
OG0000000	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP	CG33688|NP_001027131.1|DMEL
OG0000000	LOC119552809|XP_037718575.1|DSUP	CG33689|NP_001027132.2|DMEL
OG0000000	LOC119549854|XP_037714077.1|DSUP	CG12849|NP_611969.2|DMEL
OG0000000	LOC119554400|XP_037721217.1|DSUP	CG33773|NP_001027213.1|DMEL
OG0000000	LOC119546175|XP_037708225.1|DSUP	CG33723|NP_001027235.1|DMEL
OG0000000	LOC119549570|XP_037713651.1|DSUP	CG33463|NP_995846.2|DMEL
OG0000000	LOC119555097|XP_037722243.1|DSUP	CG33764|NP_001027107.1|DMEL, CG33912|NP_001027139.1|DMEL, CG33632|NP_001036537.1|DMEL
OG0000000	LOC119548144|XP_037711170.1|DSUP	CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL
OG0000000	LOC119563229|XP_037732462.1|DSUP	CG33483|NP_001189327.1|DMEL
OG0000000	LOC119547184|XP_037709847.1|DSUP	CG33648|NP_001027265.2|DMEL
OG0000000	LOC119546339|XP_037708468.1|DSUP	CG33928|NP_001027276.1|DMEL
OG0000000	LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP	CG33453|NP_995888.1|DMEL
OG0000000	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC119563146|XP_037732330.1|DSUP	CG14518|NP_651653.2|DMEL
OG0000000	LOC119560562|XP_037730007.1|DSUP	CG33927|NP_001027147.1|DMEL
OG0000000	LOC119552808|XP_037718574.1|DSUP	CG33796|NP_001027128.1|DMEL
OG0000000	LOC119555360|XP_037722626.1|DSUP	CG33795|NP_001027129.2|DMEL
OG0000000	LOC119555832|XP_037723387.1|DSUP	CG33725|NP_001027125.1|DMEL
OG0000002	LOC119550810|XP_037715678.1|DSUP	CG5550|NP_001246376.1|DMEL
OG0000002	LOC119551092|XP_037716195.1|DSUP	CG30281|NP_726164.1|DMEL
OG0000002	LOC119551091|XP_037716194.1|DSUP	CG30280|NP_611641.6|DMEL
OG0000002	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP	CG7668|NP_649170.1|DMEL
OG0000003	LOC119549193|XP_037712950.1|DSUP	Cyp6a9|NP_523748.2|DMEL
OG0000003	LOC119549691|XP_037713842.1|DSUP	Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC119553060|XP_037719113.1|DSUP	Cyp6a18|NP_651563.1|DMEL
OG0000003	LOC119549692|XP_037713843.1|DSUP	Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC119548975|XP_037712493.1|DSUP	Cyp6a2|NP_523628.1|DMEL
