Orthogroup	DSUP.longest_only	DSEC.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC119548573|XP_037711818.1|DSUP	LOC6611330|XP_002035877.1|DSEC
OG0000000	LOC119551998|XP_037717650.1|DSUP	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC119555358|XP_037722624.1|DSUP	LOC6605884|XP_032575999.1|DSEC
OG0000000	LOC119555354|XP_037722619.1|DSUP	LOC6605885|XP_032575997.1|DSEC
OG0000000	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP	LOC116800964|XP_032573791.1|DSEC
OG0000000	LOC119552809|XP_037718575.1|DSUP	LOC116801306|XP_032575998.1|DSEC
OG0000000	LOC119549854|XP_037714077.1|DSUP	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC119551506|XP_037716808.1|DSUP	LOC6613111|XP_032569894.1|DSEC
OG0000000	LOC119554400|XP_037721217.1|DSUP	LOC6612936|XP_002037428.1|DSEC
OG0000000	LOC119546175|XP_037708225.1|DSUP	LOC6611813|XP_002036335.1|DSEC
OG0000000	LOC119549570|XP_037713651.1|DSUP	LOC6609340|XP_032572102.1|DSEC
OG0000000	LOC119555097|XP_037722243.1|DSUP	LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC, LOC6616347|XP_002040707.1|DSEC, LOC116800542|XP_032571951.1|DSEC
OG0000000	LOC119548144|XP_037711170.1|DSUP	LOC116803586|XP_032583371.1|DSEC
OG0000000	LOC119554309|XP_037721101.1|DSUP	LOC6612926|XP_032578042.1|DSEC
OG0000000	LOC119563229|XP_037732462.1|DSUP	LOC6612925|XP_002037417.1|DSEC
OG0000000	LOC119547184|XP_037709847.1|DSUP	LOC6611281|XP_032582965.1|DSEC
OG0000000	LOC119546339|XP_037708468.1|DSUP	LOC6614481|XP_002038914.1|DSEC
OG0000000	LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP	LOC6609905|XP_032572518.1|DSEC
OG0000000	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC
OG0000000	LOC119563146|XP_037732330.1|DSUP	LOC6612634|XP_002037138.2|DSEC
OG0000000	LOC119560562|XP_037730007.1|DSUP	LOC6613854|XP_002038323.1|DSEC
OG0000000	LOC119555832|XP_037723387.1|DSUP	LOC6605446|XP_002030279.1|DSEC
OG0000002	LOC119550810|XP_037715678.1|DSUP	LOC6609498|XP_002034183.1|DSEC
OG0000002	LOC119551092|XP_037716195.1|DSUP	LOC6615482|XP_002039862.2|DSEC
OG0000002	LOC119551091|XP_037716194.1|DSUP	LOC6615481|XP_002039861.2|DSEC
OG0000002	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP	LOC6619439|XP_032575015.1|DSEC
OG0000003	LOC119549193|XP_037712950.1|DSUP	LOC6609226|XP_032570279.1|DSEC
OG0000003	LOC119549691|XP_037713842.1|DSUP	LOC6609227|XP_002033918.2|DSEC
OG0000003	LOC119553060|XP_037719113.1|DSUP	LOC6617182|XP_002041509.2|DSEC
OG0000003	LOC119549692|XP_037713843.1|DSUP	LOC6609229|XP_032570278.1|DSEC
OG0000003	LOC119548975|XP_037712493.1|DSUP	LOC6607893|XP_002032647.1|DSEC
OG0000003	LOC119549585|XP_037713671.1|DSUP	LOC6609222|XP_002033913.1|DSEC
OG0000003	LOC119550953|XP_037715907.1|DSUP	LOC116800691|XP_032572969.1|DSEC
OG0000003	LOC119549586|XP_037713672.1|DSUP	LOC6609221|XP_002033912.1|DSEC
OG0000003	LOC119551761|XP_037717216.1|DSUP	LOC6608196|XP_002032941.1|DSEC
OG0000003	LOC119551759|XP_037717214.1|DSUP	LOC6608194|XP_002032939.1|DSEC
OG0000003	LOC119546510|XP_037708761.1|DSUP	LOC6613508|XP_002037976.1|DSEC
OG0000007	LOC119554492|XP_037721353.1|DSUP	LOC116800972|XP_032573823.1|DSEC
OG0000007	LOC119554489|XP_037721348.1|DSUP	LOC6610954|XP_002035511.1|DSEC
OG0000007	LOC119554495|XP_037721355.1|DSUP	LOC6610952|XP_032575303.1|DSEC
OG0000007	LOC119554494|XP_037721354.1|DSUP	LOC6610951|XP_002035508.1|DSEC
OG0000007	LOC119546692|XP_037709098.1|DSUP	LOC6613406|XP_032583270.1|DSEC
OG0000007	LOC119550735|XP_037715578.1|DSUP	LOC6608215|XP_032572281.1|DSEC
OG0000007	LOC119546891|XP_037709439.1|DSUP	LOC6613407|XP_032570241.1|DSEC
