Orthogroup	DSUP.longest_only	CCAP.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP
OG0000000	LOC119551980|XP_037717623.1|DSUP, LOC119548573|XP_037711818.1|DSUP, LOC119560985|XP_037730690.1|DSUP, LOC119551998|XP_037717650.1|DSUP	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP
OG0000000	LOC119555358|XP_037722624.1|DSUP, LOC119555354|XP_037722619.1|DSUP, LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP, LOC119549854|XP_037714077.1|DSUP, LOC119563094|XP_037732252.1|DSUP, LOC119551506|XP_037716808.1|DSUP, LOC119562944|XP_037732029.1|DSUP, LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP, LOC119553046|XP_037719085.1|DSUP, LOC119546175|XP_037708225.1|DSUP, LOC119549570|XP_037713651.1|DSUP, LOC119549516|XP_037713556.1|DSUP, LOC119555097|XP_037722243.1|DSUP, LOC119548144|XP_037711170.1|DSUP, LOC119562016|XP_037731317.1|DSUP, LOC119554309|XP_037721101.1|DSUP, LOC119563229|XP_037732462.1|DSUP, LOC119547184|XP_037709847.1|DSUP, LOC119552082|XP_037717789.1|DSUP, LOC119547564|XP_037710393.1|DSUP, LOC119546339|XP_037708468.1|DSUP, LOC119548570|XP_037711816.1|DSUP	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP
OG0000000	LOC119549506|XP_037713545.1|DSUP, LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP, LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP, LOC119563146|XP_037732330.1|DSUP, LOC119560562|XP_037730007.1|DSUP, LOC119552808|XP_037718574.1|DSUP, LOC119555364|XP_037722629.1|DSUP, LOC119555366|XP_037722632.1|DSUP, LOC119555360|XP_037722626.1|DSUP, LOC119555363|XP_037722628.1|DSUP, LOC119555440|XP_037722739.1|DSUP, LOC119555832|XP_037723387.1|DSUP	CCAP1982_LOCUS11001|CAD7002512.1|CCAP
OG0000001	LOC119561984|XP_037731306.1|DSUP	CCAP1982_LOCUS10053|CAD7001559.1|CCAP, CCAP1982_LOCUS9335|CAD7000861.1|CCAP, CCAP1982_LOCUS10394|CAD7001907.1|CCAP, CCAP1982_LOCUS19569|CAD7011469.1|CCAP, CCAP1982_LOCUS10233|CAD7001743.1|CCAP, CCAP1982_LOCUS10606|CAD7002118.1|CCAP, CCAP1982_LOCUS9920|CAD7001423.1|CCAP, CCAP1982_LOCUS10362|CAD7001875.1|CCAP
OG0000002	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP	CCAP1982_LOCUS4991|CAD6996312.1|CCAP
OG0000002	LOC119546867|XP_037709399.1|DSUP, LOC119547584|XP_037710417.1|DSUP, LOC119548714|XP_037712115.1|DSUP, LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP
OG0000003	LOC119549193|XP_037712950.1|DSUP, LOC119549691|XP_037713842.1|DSUP	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP
OG0000003	LOC119553060|XP_037719113.1|DSUP, LOC119549692|XP_037713843.1|DSUP, LOC119548975|XP_037712493.1|DSUP	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP
OG0000003	LOC119549586|XP_037713672.1|DSUP	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP
OG0000003	LOC119551759|XP_037717214.1|DSUP, LOC119551760|XP_037717215.1|DSUP	CCAP1982_LOCUS20941|CAD7012841.1|CCAP
OG0000003	LOC119546510|XP_037708761.1|DSUP	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
OG0000004	LOC119561523|XP_037731102.1|DSUP, LOC119561407|XP_037730990.1|DSUP, LOC119559172|XP_037728161.1|DSUP, LOC119561436|XP_037731018.1|DSUP, LOC119561507|XP_037731086.1|DSUP, LOC119547987|XP_037710970.1|DSUP, LOC119547988|XP_037710972.1|DSUP, LOC119546069|XP_037708068.1|DSUP, LOC119561521|XP_037731100.1|DSUP, LOC119561518|XP_037731097.1|DSUP, LOC119546076|XP_037708081.1|DSUP, LOC119561441|XP_037731022.1|DSUP, LOC119559251|XP_037728250.1|DSUP, LOC119561442|XP_037731023.1|DSUP, LOC119561429|XP_037731011.1|DSUP, LOC119559242|XP_037728241.1|DSUP, LOC119559173|XP_037728162.1|DSUP, LOC119559174|XP_037728163.1|DSUP, LOC119561440|XP_037731020.1|DSUP, LOC119559179|XP_037728167.1|DSUP, LOC119546618|XP_037708984.1|DSUP, LOC119561433|XP_037731015.1|DSUP, LOC119559178|XP_037728166.1|DSUP, LOC119547940|XP_037710915.1|DSUP, LOC119561511|XP_037731090.1|DSUP, LOC119548245|XP_037711313.1|DSUP, LOC119559232|XP_037728231.1|DSUP, LOC119561428|XP_037731010.1|DSUP, LOC119561434|XP_037731016.1|DSUP, LOC119559226|XP_037728224.1|DSUP, LOC119561431|XP_037731013.1|DSUP, LOC119561435|XP_037731017.1|DSUP, LOC119559225|XP_037728223.1|DSUP, LOC119559219|XP_037728218.1|DSUP, LOC119561432|XP_037731014.1|DSUP, LOC119559218|XP_037728217.1|DSUP, LOC119547941|XP_037710916.1|DSUP, LOC119561427|XP_037731009.1|DSUP, LOC119559175|XP_037728164.1|DSUP, LOC119559177|XP_037728165.1|DSUP, LOC119561512|XP_037731091.1|DSUP, LOC119559231|XP_037728230.1|DSUP, LOC119546960|XP_037709531.1|DSUP, LOC119559171|XP_037728160.1|DSUP, LOC119561438|XP_037731019.1|DSUP, LOC119561510|XP_037731089.1|DSUP, LOC119561504|XP_037731082.1|DSUP, LOC119546078|XP_037708083.1|DSUP, LOC119561499|XP_037731078.1|DSUP	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000006	LOC119559257|XP_037728256.1|DSUP	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000006	LOC119546622|XP_037708987.1|DSUP	CCAP1982_LOCUS9859|CAD7001361.1|CCAP, CCAP1982_LOCUS9861|CAD7001363.1|CCAP
OG0000006	LOC119559259|XP_037728258.1|DSUP, LOC119547943|XP_037710919.1|DSUP	CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000007	LOC119555653|XP_037723160.1|DSUP	CCAP1982_LOCUS12646|CAD7004227.1|CCAP
