Orthogroup	DSUP.longest_only	DNOV.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC119551980|XP_037717623.1|DSUP, LOC119548573|XP_037711818.1|DSUP	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC119551998|XP_037717650.1|DSUP	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC119549506|XP_037713545.1|DSUP, LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP, LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP, LOC119563146|XP_037732330.1|DSUP	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC119560562|XP_037730007.1|DSUP, LOC119552808|XP_037718574.1|DSUP, LOC119555364|XP_037722629.1|DSUP, LOC119555366|XP_037722632.1|DSUP, LOC119555360|XP_037722626.1|DSUP, LOC119555363|XP_037722628.1|DSUP	LOC115762365|XP_030560399.1|DNOV
OG0000002	LOC119550810|XP_037715678.1|DSUP	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC119551092|XP_037716195.1|DSUP	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC119551091|XP_037716194.1|DSUP	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC119546867|XP_037709399.1|DSUP, LOC119547584|XP_037710417.1|DSUP, LOC119548714|XP_037712115.1|DSUP, LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000003	LOC119549193|XP_037712950.1|DSUP, LOC119549691|XP_037713842.1|DSUP	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC119549751|XP_037713922.1|DSUP, LOC119549192|XP_037712949.1|DSUP, LOC119549585|XP_037713671.1|DSUP	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC119551761|XP_037717216.1|DSUP	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC119551759|XP_037717214.1|DSUP, LOC119551760|XP_037717215.1|DSUP	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC119546510|XP_037708761.1|DSUP	LOC115758743|XP_030555359.1|DNOV
OG0000005	LOC119559204|XP_037728202.1|DSUP, LOC119559203|XP_037728200.1|DSUP, LOC119547991|XP_037710975.1|DSUP, LOC119559202|XP_037728198.1|DSUP, LOC119547992|XP_037710977.1|DSUP, LOC119559198|XP_037728191.1|DSUP, LOC119561464|XP_037731045.1|DSUP, LOC119546625|XP_037708992.1|DSUP, LOC119561418|XP_037731001.1|DSUP, LOC119548248|XP_037711317.1|DSUP, LOC119559195|XP_037728185.1|DSUP, LOC119559194|XP_037728183.1|DSUP, LOC119547945|XP_037710922.1|DSUP, LOC119559201|XP_037728196.1|DSUP, LOC119559197|XP_037728189.1|DSUP, LOC119547944|XP_037710920.1|DSUP, LOC119559200|XP_037728193.1|DSUP, LOC119546493|XP_037708718.1|DSUP, LOC119561417|XP_037730999.1|DSUP, LOC119561470|XP_037731051.1|DSUP, LOC119561465|XP_037731047.1|DSUP, LOC119559196|XP_037728187.1|DSUP, LOC119561467|XP_037731049.1|DSUP, LOC119546624|XP_037708989.1|DSUP, LOC119561415|XP_037730997.1|DSUP, LOC119559588|XP_037728530.1|DSUP	LOC115761952|XP_030559851.1|DNOV
OG0000006	LOC119559186|XP_037728175.1|DSUP	LOC115761994|XP_030559922.1|DNOV
OG0000006	LOC119559257|XP_037728256.1|DSUP	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV
OG0000006	LOC119547943|XP_037710919.1|DSUP	LOC115770895|XP_030572190.1|DNOV, LOC115770611|XP_030571807.1|DNOV, LOC115770813|XP_030572094.1|DNOV
OG0000007	LOC119555653|XP_037723160.1|DSUP	LOC115771063|XP_030572475.1|DNOV
OG0000007	LOC119554492|XP_037721353.1|DSUP	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC119554495|XP_037721355.1|DSUP, LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP, LOC119554490|XP_037721351.1|DSUP, LOC119554494|XP_037721354.1|DSUP	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	LOC119550735|XP_037715578.1|DSUP	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	LOC119546891|XP_037709439.1|DSUP	LOC115767684|XP_030567836.1|DNOV
OG0000007	LOC119553820|XP_037720375.1|DSUP, LOC119553445|XP_037719763.1|DSUP, LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC119559922|XP_037729053.1|DSUP	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC119554295|XP_037721083.1|DSUP	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC119554293|XP_037721080.1|DSUP	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC119554296|XP_037721084.1|DSUP	LOC115762865|XP_030561099.1|DNOV
OG0000008	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	LOC119560393|XP_037729749.1|DSUP	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV
OG0000008	LOC119560395|XP_037729751.1|DSUP	LOC115765613|XP_030565123.1|DNOV
OG0000008	LOC119560394|XP_037729750.1|DSUP	LOC115765588|XP_030565098.1|DNOV
OG0000008	LOC119560107|XP_037729380.1|DSUP	LOC115765592|XP_030565101.1|DNOV
OG0000009	LOC119560146|XP_037729428.1|DSUP	LOC115763759|XP_030562333.1|DNOV
OG0000009	LOC119560480|XP_037729870.1|DSUP	LOC115763738|XP_030562299.1|DNOV
OG0000009	LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV
OG0000009	LOC119550480|XP_037715097.1|DSUP	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV
OG0000009	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP	LOC115760928|XP_030558363.1|DNOV
OG0000009	LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	LOC115759272|XP_030556034.1|DNOV
OG0000010	LOC119559220|XP_037728219.1|DSUP	LOC115770894|XP_030572189.1|DNOV
OG0000010	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP	LOC115761953|XP_030559852.1|DNOV
OG0000010	LOC119547994|XP_037710979.1|DSUP	LOC115761848|XP_030559690.1|DNOV
OG0000010	LOC119559205|XP_037728203.1|DSUP	LOC115770596|XP_030571794.1|DNOV
OG0000010	LOC119548250|XP_037711321.1|DSUP	LOC115770584|XP_030571769.1|DNOV
OG0000010	LOC119547947|XP_037710925.1|DSUP	LOC115759945|XP_030556945.1|DNOV
OG0000011	LOC119555960|XP_037723606.1|DSUP, LOC119554626|XP_037721550.1|DSUP	LOC115769277|XP_030569859.1|DNOV
OG0000011	LOC119554762|XP_037721730.1|DSUP	LOC115765906|XP_030565511.1|DNOV
OG0000011	LOC119560188|XP_037729480.1|DSUP	LOC115764504|XP_030563454.1|DNOV
OG0000012	LOC119550822|XP_037715693.1|DSUP	LOC115760603|XP_030557904.1|DNOV
OG0000012	LOC119550821|XP_037715691.1|DSUP	LOC115760694|XP_030558018.1|DNOV
OG0000012	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP	LOC115760695|XP_030558019.1|DNOV
OG0000012	LOC119551494|XP_037716788.1|DSUP	LOC115760604|XP_030557906.1|DNOV
OG0000012	LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP, LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV
OG0000012	LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP	LOC115760685|XP_030558012.1|DNOV
OG0000012	LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP	LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC119549437|XP_037713458.1|DSUP	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC119558255|XP_037727511.1|DSUP	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC119563541|XP_037732953.1|DSUP	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC119555401|XP_037722683.1|DSUP	LOC115766188|XP_030565895.1|DNOV
OG0000013	LOC119556345|XP_037724379.1|DSUP	LOC115761668|XP_030559377.1|DNOV
OG0000013	LOC119545787|XP_037707587.1|DSUP	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV
OG0000013	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000015	LOC119548635|XP_037711952.1|DSUP	LOC115763530|XP_030562001.1|DNOV
OG0000016	LOC119560964|XP_037730645.1|DSUP	LOC115761678|XP_030559394.1|DNOV
OG0000016	LOC119551792|XP_037717267.1|DSUP	LOC115762276|XP_030560298.1|DNOV
OG0000016	LOC119560636|XP_037730116.1|DSUP	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC119549928|XP_037714197.1|DSUP, LOC119549685|XP_037713828.1|DSUP	LOC115764479|XP_030563416.1|DNOV
OG0000016	LOC119557630|XP_037726388.1|DSUP	LOC115768679|XP_030569221.1|DNOV
OG0000016	LOC119559471|XP_037728511.1|DSUP	LOC115762287|XP_030560311.1|DNOV
OG0000016	LOC119561925|XP_037731293.1|DSUP	LOC115757701|XP_030553908.1|DNOV
OG0000016	LOC119555565|XP_037722943.1|DSUP	LOC115770022|XP_030570941.1|DNOV
OG0000017	LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV
OG0000017	LOC119552736|XP_037718429.1|DSUP	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV
OG0000017	LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP	LOC115760654|XP_030557981.1|DNOV
OG0000017	LOC119562595|XP_037731744.1|DSUP	LOC115762485|XP_030560583.1|DNOV
OG0000017	LOC119546290|XP_037708399.1|DSUP	LOC115759266|XP_030556027.1|DNOV
OG0000018	LOC119554781|XP_037721753.1|DSUP	LOC115762746|XP_030560944.1|DNOV
OG0000018	LOC119554782|XP_037721754.1|DSUP	LOC115762718|XP_030560904.1|DNOV
OG0000018	LOC119554784|XP_037721757.1|DSUP	LOC115762873|XP_030561108.1|DNOV
OG0000019	LOC119545699|XP_037707379.1|DSUP	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV
OG0000019	LOC119553849|XP_037720426.1|DSUP	LOC115771639|XP_030573299.1|DNOV
OG0000019	LOC119545700|XP_037707380.1|DSUP	LOC115771840|XP_030573582.1|DNOV
