Orthogroup	DSUP.longest_only	DELE.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP	LOC108150093|XP_017133546.1|DELE
OG0000000	LOC119551980|XP_037717623.1|DSUP	LOC108148460|XP_017130981.1|DELE
OG0000000	LOC119548573|XP_037711818.1|DSUP	LOC108139044|XP_017117150.1|DELE
OG0000000	LOC119560985|XP_037730690.1|DSUP	LOC108135022|XP_017111043.1|DELE
OG0000000	LOC119555358|XP_037722624.1|DSUP	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP	LOC108145787|XP_017126846.1|DELE
OG0000000	LOC119552809|XP_037718575.1|DSUP	LOC108145637|XP_017126661.1|DELE
OG0000000	LOC119549854|XP_037714077.1|DSUP	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC119551506|XP_037716808.1|DSUP	LOC108150089|XP_017133542.1|DELE
OG0000000	LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP	LOC108143736|XP_017123759.1|DELE
OG0000000	LOC119553046|XP_037719085.1|DSUP	LOC108142886|XP_017122451.1|DELE
OG0000000	LOC119546175|XP_037708225.1|DSUP	LOC108141650|XP_017120608.1|DELE
OG0000000	LOC119549570|XP_037713651.1|DSUP	LOC108141344|XP_017120143.1|DELE
OG0000000	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP	LOC108144147|XP_017124279.1|DELE
OG0000000	LOC119563146|XP_037732330.1|DSUP	LOC108147230|XP_017129111.1|DELE
OG0000000	LOC119555360|XP_037722626.1|DSUP	LOC108145639|XP_017126664.1|DELE
OG0000000	LOC119555363|XP_037722628.1|DSUP	LOC108145640|XP_017126665.1|DELE
OG0000000	LOC119555440|XP_037722739.1|DSUP, LOC119555832|XP_037723387.1|DSUP	LOC108141030|XP_017119608.1|DELE
OG0000002	LOC119550810|XP_037715678.1|DSUP	LOC108144341|XP_017124554.1|DELE
OG0000002	LOC119551092|XP_037716195.1|DSUP	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC119551091|XP_037716194.1|DSUP	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP	LOC108147339|XP_017129256.1|DELE
OG0000002	LOC119553745|XP_037720272.1|DSUP	LOC108142258|XP_017121466.1|DELE
OG0000002	LOC119546867|XP_037709399.1|DSUP	LOC108147831|XP_017130074.1|DELE
OG0000002	LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP	LOC108134735|XP_017110639.1|DELE
OG0000003	LOC119549193|XP_037712950.1|DSUP	LOC108144467|XP_017124860.1|DELE
OG0000003	LOC119549691|XP_037713842.1|DSUP	LOC108144671|XP_017125217.1|DELE
OG0000003	LOC119549692|XP_037713843.1|DSUP	LOC108144670|XP_017125215.1|DELE
OG0000003	LOC119548975|XP_037712493.1|DSUP	LOC108145092|XP_017125773.1|DELE
OG0000003	LOC119549751|XP_037713922.1|DSUP, LOC119549192|XP_037712949.1|DSUP, LOC119549585|XP_037713671.1|DSUP	LOC108144466|XP_017124858.1|DELE
OG0000003	LOC119549194|XP_037712951.1|DSUP	LOC108144468|XP_017124861.1|DELE
OG0000003	LOC119550953|XP_037715907.1|DSUP	LOC108144801|XP_017125415.1|DELE
OG0000003	LOC119549586|XP_037713672.1|DSUP	LOC108144820|XP_017125440.1|DELE
OG0000003	LOC119551761|XP_037717216.1|DSUP	LOC108145352|XP_017126230.1|DELE
OG0000003	LOC119551759|XP_037717214.1|DSUP	LOC108145367|XP_017126250.1|DELE
OG0000007	LOC119555653|XP_037723160.1|DSUP	LOC108135575|XP_017111853.1|DELE
OG0000007	LOC119554492|XP_037721353.1|DSUP	LOC108142600|XP_017122060.1|DELE
OG0000007	LOC119554489|XP_037721348.1|DSUP	LOC108142393|XP_017121722.1|DELE
OG0000007	LOC119554495|XP_037721355.1|DSUP	LOC108142601|XP_017122061.1|DELE
OG0000007	LOC119554494|XP_037721354.1|DSUP	LOC108142394|XP_017121723.1|DELE
OG0000007	LOC119546692|XP_037709098.1|DSUP	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE
OG0000007	LOC119546891|XP_037709439.1|DSUP	LOC108138842|XP_017116842.1|DELE
OG0000007	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE
OG0000007	LOC119554496|XP_037721356.1|DSUP	LOC108142396|XP_017121725.1|DELE
OG0000008	LOC119559922|XP_037729053.1|DSUP	LOC108149642|XP_017132905.1|DELE
OG0000008	LOC119554295|XP_037721083.1|DSUP	LOC108145869|XP_017126996.1|DELE
OG0000008	LOC119554293|XP_037721080.1|DSUP	LOC108145867|XP_017126995.1|DELE
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC119554296|XP_037721084.1|DSUP	LOC108145871|XP_017126998.1|DELE
OG0000008	LOC119556861|XP_037725260.1|DSUP	LOC108149861|XP_017133230.1|DELE
OG0000008	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
OG0000008	LOC119560393|XP_037729749.1|DSUP	LOC108148323|XP_017130803.1|DELE
OG0000008	LOC119560395|XP_037729751.1|DSUP	LOC108148325|XP_017130805.1|DELE
OG0000008	LOC119560394|XP_037729750.1|DSUP	LOC108148322|XP_017130802.1|DELE
OG0000008	LOC119560107|XP_037729380.1|DSUP	LOC108148324|XP_017130804.1|DELE
OG0000009	LOC119560146|XP_037729428.1|DSUP	LOC108137036|XP_017114024.1|DELE
OG0000009	LOC119560480|XP_037729870.1|DSUP	LOC108136709|XP_017113523.1|DELE
OG0000009	LOC119545681|XP_037707348.1|DSUP	LOC108144089|XP_017124230.1|DELE
OG0000009	LOC119560408|XP_037729769.1|DSUP	LOC108136793|XP_017113657.1|DELE
OG0000009	LOC119560481|XP_037729871.1|DSUP	LOC108137037|XP_017114025.1|DELE
OG0000009	LOC119550480|XP_037715097.1|DSUP	LOC108144916|XP_017125568.1|DELE
OG0000009	LOC119560195|XP_037729489.1|DSUP	LOC108135151|XP_017111261.1|DELE
OG0000009	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP	LOC108137992|XP_017115455.1|DELE
OG0000009	LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	LOC108137889|XP_017115317.1|DELE
OG0000010	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP	LOC108139189|XP_017117303.1|DELE
OG0000011	LOC119548026|XP_037711028.1|DSUP	LOC108139056|XP_017117164.1|DELE
OG0000011	LOC119558003|XP_037727039.1|DSUP	LOC108136397|XP_017112996.1|DELE
OG0000011	LOC119548095|XP_037711111.1|DSUP, LOC119548094|XP_037711110.1|DSUP, LOC119548461|XP_037711657.1|DSUP, LOC119548363|XP_037711507.1|DSUP, LOC119548364|XP_037711508.1|DSUP	LOC108146665|XP_017128206.1|DELE
OG0000011	LOC119546642|XP_037709016.1|DSUP	LOC108139057|XP_017117165.1|DELE
OG0000011	LOC119548873|XP_037712431.1|DSUP, LOC119546938|XP_037709503.1|DSUP	LOC108138672|XP_017116504.1|DELE
OG0000011	LOC119555066|XP_037722201.1|DSUP	LOC108146131|XP_017127468.1|DELE, LOC108146591|XP_017128102.1|DELE
OG0000011	LOC119557843|XP_037726753.1|DSUP, LOC119560943|XP_037730609.1|DSUP, LOC119554642|XP_037721569.1|DSUP, LOC119560221|XP_037729507.1|DSUP, LOC119560941|XP_037730605.1|DSUP, LOC119553270|XP_037719489.1|DSUP, LOC119554912|XP_037721943.1|DSUP, LOC119555170|XP_037722349.1|DSUP, LOC119555608|XP_037723034.1|DSUP	LOC108143859|XP_017123910.1|DELE, LOC108137357|XP_017114480.1|DELE
OG0000011	LOC119547187|XP_037709849.1|DSUP, LOC119548093|XP_037711109.1|DSUP, LOC119547435|XP_037710223.1|DSUP	LOC108138785|XP_017116749.1|DELE
OG0000011	LOC119546050|XP_037708041.1|DSUP, LOC119548232|XP_037711301.1|DSUP	LOC108150498|XP_017134198.1|DELE
OG0000011	LOC119547347|XP_037710088.1|DSUP	LOC108150409|XP_017134056.1|DELE
OG0000011	LOC119556682|XP_037724981.1|DSUP	LOC108138422|XP_017116107.1|DELE
OG0000011	LOC119554627|XP_037721551.1|DSUP	LOC108146667|XP_017128209.1|DELE
OG0000011	LOC119554626|XP_037721550.1|DSUP	LOC108146666|XP_017128208.1|DELE
OG0000011	LOC119554762|XP_037721730.1|DSUP	LOC108139281|XP_017117466.1|DELE
OG0000012	LOC119550822|XP_037715693.1|DSUP	LOC108145523|XP_017126497.1|DELE
OG0000012	LOC119550821|XP_037715691.1|DSUP	LOC108145522|XP_017126496.1|DELE
OG0000012	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP	LOC108145538|XP_017126526.1|DELE
OG0000012	LOC119551494|XP_037716788.1|DSUP	LOC108145542|XP_017126531.1|DELE
OG0000012	LOC119550209|XP_037714688.1|DSUP	LOC108147065|XP_017128845.1|DELE
OG0000012	LOC119551074|XP_037716130.1|DSUP	LOC108145377|XP_017126261.1|DELE
OG0000012	LOC119551639|XP_037716997.1|DSUP	LOC108145375|XP_017126259.1|DELE
