Orthogroup	DSUP.longest_only	DBIA.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP	LOC108034778|XP_016965225.1|DBIA
OG0000000	LOC119555236|XP_037722444.1|DSUP	LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC119551980|XP_037717623.1|DSUP	LOC108029324|XP_016957007.1|DBIA
OG0000000	LOC119548573|XP_037711818.1|DSUP	LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC119560985|XP_037730690.1|DSUP	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC119551998|XP_037717650.1|DSUP	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC119555358|XP_037722624.1|DSUP	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC119555354|XP_037722619.1|DSUP	LOC108034424|XP_016964798.1|DBIA
OG0000000	LOC119555355|XP_037722621.1|DSUP	LOC108034427|XP_016964800.1|DBIA
OG0000000	LOC119555357|XP_037722623.1|DSUP	LOC108034428|XP_016964801.1|DBIA
OG0000000	LOC119552809|XP_037718575.1|DSUP	LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC119549854|XP_037714077.1|DSUP	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC119563094|XP_037732252.1|DSUP	LOC108024280|XP_016949667.1|DBIA
OG0000000	LOC119551506|XP_037716808.1|DSUP	LOC108024997|XP_016950742.1|DBIA
OG0000000	LOC119562944|XP_037732029.1|DSUP	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA
OG0000000	LOC119554400|XP_037721217.1|DSUP	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC119553046|XP_037719085.1|DSUP	LOC108031001|XP_016959690.1|DBIA
OG0000000	LOC119546175|XP_037708225.1|DSUP	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA
OG0000000	LOC119549570|XP_037713651.1|DSUP	LOC108030080|XP_016958186.1|DBIA
OG0000000	LOC119548144|XP_037711170.1|DSUP	LOC108033578|XP_016963412.1|DBIA
OG0000000	LOC119562016|XP_037731317.1|DSUP	LOC108025172|XP_016950938.1|DBIA
OG0000000	LOC119554309|XP_037721101.1|DSUP	LOC108025165|XP_016950931.1|DBIA
