Orthogroup	DSUP.longest_only	DFIC.longest_only
OG0000000	LOC119551980|XP_037717623.1|DSUP	LOC108096481|XP_017053581.1|DFIC
OG0000000	LOC119548573|XP_037711818.1|DSUP	LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC119560985|XP_037730690.1|DSUP	LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC119555358|XP_037722624.1|DSUP	LOC108089295|XP_017042962.1|DFIC
OG0000000	LOC119555357|XP_037722623.1|DSUP	LOC108089296|XP_017042963.1|DFIC
OG0000000	LOC119552809|XP_037718575.1|DSUP	LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC
OG0000000	LOC119563094|XP_037732252.1|DSUP	LOC108098802|XP_017057433.1|DFIC
OG0000000	LOC119551506|XP_037716808.1|DSUP	LOC108086784|XP_017039313.1|DFIC
OG0000000	LOC119553046|XP_037719085.1|DSUP	LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC
OG0000000	LOC119546175|XP_037708225.1|DSUP	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC
OG0000000	LOC119549570|XP_037713651.1|DSUP	LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC
OG0000000	LOC119554309|XP_037721101.1|DSUP, LOC119563229|XP_037732462.1|DSUP	LOC108086787|XP_017039316.1|DFIC
OG0000000	LOC119552082|XP_037717789.1|DSUP	LOC108087064|XP_017039728.1|DFIC
OG0000000	LOC119547564|XP_037710393.1|DSUP	LOC108087061|XP_017039726.1|DFIC, LOC108087063|XP_017039727.1|DFIC
OG0000000	LOC119546339|XP_037708468.1|DSUP	LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP	LOC108095110|XP_017051537.1|DFIC
OG0000000	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
OG0000000	LOC119563146|XP_037732330.1|DSUP	LOC108097696|XP_017055657.1|DFIC
OG0000000	LOC119552808|XP_037718574.1|DSUP	LOC108089293|XP_017042959.1|DFIC
OG0000000	LOC119555360|XP_037722626.1|DSUP	LOC108089294|XP_017042961.1|DFIC
OG0000000	LOC119555440|XP_037722739.1|DSUP	LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC
OG0000002	LOC119550810|XP_037715678.1|DSUP	LOC108090526|XP_017044733.1|DFIC
OG0000002	LOC119551092|XP_037716195.1|DSUP	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC119551091|XP_037716194.1|DSUP	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC119546867|XP_037709399.1|DSUP	LOC108092580|XP_017047713.1|DFIC
OG0000002	LOC119547584|XP_037710417.1|DSUP, LOC119548714|XP_037712115.1|DSUP, LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP	LOC108092286|XP_017047310.1|DFIC
OG0000003	LOC119549193|XP_037712950.1|DSUP	LOC108087667|XP_017040650.1|DFIC
OG0000003	LOC119549691|XP_037713842.1|DSUP	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC119549692|XP_037713843.1|DSUP	LOC108087705|XP_017040710.1|DFIC
OG0000003	LOC119548975|XP_037712493.1|DSUP	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC119549751|XP_037713922.1|DSUP, LOC119549192|XP_037712949.1|DSUP, LOC119549585|XP_037713671.1|DSUP	LOC108087668|XP_017040651.1|DFIC
OG0000003	LOC119549194|XP_037712951.1|DSUP	LOC108099209|XP_017058075.1|DFIC
OG0000003	LOC119550953|XP_037715907.1|DSUP	LOC108087749|XP_017040761.1|DFIC
OG0000003	LOC119549586|XP_037713672.1|DSUP	LOC108087605|XP_017040533.1|DFIC
OG0000003	LOC119551761|XP_037717216.1|DSUP	LOC108090320|XP_017044421.1|DFIC
OG0000003	LOC119551759|XP_037717214.1|DSUP	LOC108090319|XP_017044419.1|DFIC
OG0000003	LOC119551760|XP_037717215.1|DSUP	LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC
