Orthogroup	DSUP.longest_only	CPIP.longest_only
OG0000001	LOC119561984|XP_037731306.1|DSUP	LOC120431875|XP_039452940.1|CPIP, LOC120428660|XP_039449641.1|CPIP, LOC120427923|XP_039448796.1|CPIP, LOC120413598|XP_039430439.1|CPIP, LOC120416220|XP_039433853.1|CPIP, LOC120427231|XP_039448028.1|CPIP, LOC120415698|XP_039433224.1|CPIP, LOC120426893|XP_039447632.1|CPIP, LOC120414714|XP_039431954.1|CPIP, LOC120413348|XP_039430064.1|CPIP, LOC120417098|XP_039435011.1|CPIP, LOC120431144|XP_039452219.1|CPIP, LOC120423997|XP_039443940.1|CPIP, LOC120426643|XP_039447364.1|CPIP, LOC120412573|XP_039429021.1|CPIP, LOC120432360|XP_039453488.1|CPIP, LOC120432034|XP_039453102.1|CPIP, LOC120423032|XP_039442606.1|CPIP, LOC120431782|XP_039452837.1|CPIP, LOC120417948|XP_039436116.1|CPIP
OG0000002	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP	LOC120432609|XP_039453790.1|CPIP, LOC120426099|XP_039446736.1|CPIP, LOC120422400|XP_039441752.1|CPIP, LOC120426484|XP_039447184.1|CPIP, LOC120414036|XP_039430992.1|CPIP, LOC120421041|XP_039440119.1|CPIP, LOC120421040|XP_039440118.1|CPIP, LOC120420327|XP_039439256.1|CPIP, LOC120428552|XP_039449518.1|CPIP, LOC120419373|XP_039437975.1|CPIP, LOC120419367|XP_039437970.1|CPIP, LOC120419375|XP_039437981.1|CPIP, LOC120419374|XP_039437979.1|CPIP
OG0000004	LOC119561503|XP_037731081.1|DSUP, LOC119561533|XP_037731112.1|DSUP, LOC119561508|XP_037731087.1|DSUP	LOC120431997|XP_039453064.1|CPIP, LOC120425541|XP_039446037.1|CPIP, LOC120425520|XP_039446008.1|CPIP
OG0000005	LOC119559217|XP_037728216.1|DSUP, LOC119559243|XP_037728242.1|DSUP, LOC119559230|XP_037728229.1|DSUP, LOC119559236|XP_037728234.1|DSUP, LOC119559223|XP_037728222.1|DSUP, LOC119559229|XP_037728228.1|DSUP, LOC119559222|XP_037728221.1|DSUP	LOC120415438|XP_039432920.1|CPIP, LOC120430243|XP_039451256.1|CPIP, LOC120425531|XP_039446020.1|CPIP, LOC120425546|XP_039446041.1|CPIP, LOC120425522|XP_039446010.1|CPIP, LOC120415356|XP_039432779.1|CPIP
OG0000006	LOC119547943|XP_037710919.1|DSUP	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP, LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP
OG0000007	LOC119555653|XP_037723160.1|DSUP, LOC119554492|XP_037721353.1|DSUP, LOC119554489|XP_037721348.1|DSUP, LOC119554495|XP_037721355.1|DSUP, LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP, LOC119554490|XP_037721351.1|DSUP, LOC119554494|XP_037721354.1|DSUP, LOC119546692|XP_037709098.1|DSUP, LOC119550735|XP_037715578.1|DSUP, LOC119546637|XP_037709013.1|DSUP, LOC119546891|XP_037709439.1|DSUP, LOC119553820|XP_037720375.1|DSUP, LOC119553445|XP_037719763.1|DSUP, LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP, LOC119554496|XP_037721356.1|DSUP	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP
OG0000008	LOC119559922|XP_037729053.1|DSUP	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP
OG0000008	LOC119554295|XP_037721083.1|DSUP	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP
OG0000008	LOC119554293|XP_037721080.1|DSUP	LOC120421619|XP_039440783.1|CPIP
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC120421726|XP_039440908.1|CPIP
